"","X","commGIS","tot_pop","family","male_18_60","fem_18_60","pop_over61","tot_ind","numPrimLivFarm","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","F6_24_sch","M6_24_sch","F15_45_ill","M15_45_ill","propPrimLivFarm","propPrimSec","propSecSec","propTerSec","propQuatSec","Les1_R_Land","pig_fam","garbage","crim_case","dist_sch","KM_Comm","KM_Heal_cent","Province","Commune","year","diffPix","ForPix","areaKM","pop_den","mean_elev","dist_border","habitat","dist_provCap","elc","PA_cat","PA"
"29",29,20207,9278,1895,2159,2259,646,0,1295,31,0,8,0,0.7339545045,0.7877267295,0.144462158,0.13635994625,0.6661753525,0.6661753525,0.00270562775,0.0031184,0.054508736,0.52161925075,0.46281720825,0,0.0036107795,6.9666666665,4,4,"Battambang","Boeng Pring",2007,0,8,81.04248995,114.483155758469,7.955573381,56.24761713,"CP",26.69128762,0,"none",0
"30",30,20404,11392,2288,2666,2818,539,0,2288,25,46,0,0,0.716631036777778,0.717272501555556,0.229183208666667,0.213513059111111,1,1,0,0,0.0247126467777778,0.24913598,0.402640380444444,0,0,2.533333333,3,2.5,"Battambang","Prey Khpos",2007,0,6,186.1821363,61.1873954526109,23.5255739,34.86930737,"CP",31.08502737,0,"none",0
"31",31,20405,11233,2298,2497,2697,982,0,2298,14,64,19,0,0.745578093375,0.773419250625,0.167162553,0.152644148625,1,1,0,0,0.0218203545,0.375748902625,0.251017030125,0,0.001170002875,4.733333333,1.25,1.5,"Battambang","Ampil Pram Daeum",2007,0,11,187.7717136,59.8226419977668,31.90661437,39.40833101,"CP",40.43284907,0,"WS",1
"32",32,20406,21829,4354,5710,5635,1065,0,4252,73,220,109,0,0.637223696814815,0.650264124,0.178354254185185,0.170983213888889,0.98933766037037,0.98933766037037,0,0,0.0505558392222222,0.192821688296296,0.140762128296296,0,0.00218890151851852,6.666666667,8,4,"Battambang","Kdol Tahen",2007,0,102,382.3578304,57.0905007415797,31.15557342,34.69435043,"CP",39.55629392,0,"WS",1
"33",33,20501,14255,2758,3439,3672,1193,0,2126,17,87,79,0,0.6793895741,0.6538747068,0.0759447104,0.0486317429,0.8034390996,0.8684226396,0.0021878246,0.0517437656,0.1122060713,0.5284882977,0.05136593,0,0.0022431089,2.5666666665,3,2.75,"Battambang","Preaek Norint",2007,0,67,91.2943908,156.143218384891,5.956658635,82.39666814,"CP",17.26550621,0,"MUA",1
"34",34,20504,9197,1938,2441,2573,567,0,1648,38,40,39,0,0.554053140571429,0.568731054571429,0.108043832428571,0.0842317185714286,0.859474205142857,0.895218589428571,0.00291094657142857,0.0198963981428571,0.050359583,0.460402651714286,0.041375307,0,0.00263970371428571,4.5,3,4,"Battambang","Preaek Luong",2007,0,70,64.05136925,143.587874977396,6.786215773,87.85786734,"CP",18.31757746,0,"MUA",1
"35",35,20505,13589,2946,3574,3775,1066,0,1891,31,52,12,0,0.618769012875,0.59560023075,0.02932570275,0.03205988925,0.669656311,0.694633585875,0.02033033625,0.0103487945,0.127182335375,0.378858139125,0.061180875,0,0.0025848345,4.333333333,1.75,1.75,"Battambang","Peam Aek",2007,0,49,94.67853117,143.527786416545,6.919294354,76.93127241,"CP",13.46204899,0,"MUA",1
"36",36,20506,4456,814,967,997,333,0,0,2,9,33,0,0.4092626986,0.3688852186,0.2127764962,0.2070868104,0,0.9650450572,0,0.0327077518,0.0105165856,0,0.0591195372,0,0.01301779,28.66666667,10,9,"Battambang","Prey Chas",2007,0,369,324.2770464,13.7413364574175,4.818725714,88.47715393,"NF",31.5233912,0,"MUA",1
"37",37,20507,10419,1956,2305,2377,482,0,102,0,0,21,0,0.427642056,0.424264006,0.4739389134,0.4791210208,0.050835254,0.8589384528,0.0007229342,0.0673310934,0.056305655,0,0.0281495522,0.0025906736,0.0051073752,27.66666667,2,2.5,"Battambang","Kaoh Chiveang",2007,-3,187,446.0868226,23.3564397604781,4.90346045,111.9916102,"NF",32.43372273,0,"MUA",1
"38",38,20604,14149,2866,3325,3413,708,0,2718,32,72,77,0,0.6050670937,0.6397188169,0.2251119478,0.1971634812,0.9483890396,0.9698498829,0,0.0020790357,0.0752112593,0.1213957214,0.4098950666,0,0.0007903955,10.4999999985,7,7,"Battambang","Ruessei Krang",2007,0,29,163.1152299,86.7423600400418,9.331565718,93.8591954,"CP",38.51415301,0,"none",0
"39",39,20605,26494,5204,6188,6733,1426,0,3641,44,95,156,0,0.626947139888889,0.625686931888889,0.110842642,0.0978049101666667,0.714381023277778,0.743957073222222,0.00282497127777778,0.0497014628888889,0.192796849777778,0.283175148611111,0.136970723888889,0,0.00128655155555556,3,1.5,1.1,"Battambang","Chrey",2007,-20,687,491.6633894,53.8864608819702,5.840168811,106.0264271,"NF",49.88286823,0,"MUA",1
"40",40,20606,9105,1795,2053,2327,543,0,1527,26,20,39,0,0.523751759333333,0.534393016111111,0.112496253222222,0.126125263666667,0.854302343,0.867043715555556,0,0.00808018855555555,0.122080003777778,0.190563914555556,0.215716473555556,0,0.00252032044444444,3.5,2,2.5,"Battambang","Ta Loas",2007,0,310,135.9046623,66.9954940905659,8.915012236,93.50853139,"CP",38.81568343,0,"none",0
"41",41,20607,12573,2583,3005,3337,840,0,2405,14,71,80,0,0.655477147571429,0.631304990142857,0.220249828142857,0.200605838,0.941357357714286,0.947270318857143,0.00184161471428571,0.00540898414285714,0.0296659084285714,0.133574928428571,0.505781520857143,0,0.000781371,5.333333333,2.5,2.5,"Battambang","Kakaoh",2007,0,9,85.63293537,146.824349132434,12.58185162,82.51906639,"CP",35.91761944,0,"none",0
"42",42,20608,10164,2028,2399,2593,452,0,1989,19,102,89,0,0.6465572235,0.71933760525,0.1536847135,0.109960842875,0.984591025125,0.993242993125,0.001294732875,0.004930359125,0.072408142875,0.206589350625,0.508347367,0,0.002523054375,6.583333333,2.5,2.5,"Battambang","Prey Touch",2007,0,64,116.4300738,87.2970330454261,11.44413438,83.01925334,"CP",30.10527784,0,"none",0
