"","Province","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap"
"24","Kampong Chhnang",2012,4959.230602,6780,0,488285,684,18203,8633,0,198.351051428571,0.603083219047619,0.817914861904762,0.0327212036825397,0.562360747619048,0.236740149301587,4.97183424267725,0.00882094687142857,2.72793650793651,0.00108200636984127,28.9170237142857,137.126049206349,25.6123308730159
"25","Kampong Speu",2007,5388.91547373,17977,0,713152,1270,3599,3938,0.00143534388514919,263.487429567068,0.686189029358629,0.945018123283135,0.00145461864475952,0.516252501301244,0.405295884724386,6.81213725542549,0.00369580539902704,3.24117647058824,0.0023551296735719,61.2545701838824,78.1720710229412,23.1896651398941
"26","Kampong Speu",2008,5388.91547373,17977,0,719275,1469,4311,3938,0.00281899191560102,265.474021332084,0.695901415799016,0.959244182350444,0.00134630400853819,0.531636817486543,0.351862581419176,6.20245098116078,0.000553046638385614,3.21176470588235,0.00239532086961778,61.2545701838824,78.1720710229412,23.1896651398941
"27","Kampong Speu",2009,5388.91547373,17977,0,736729,1119,5425,3179,0.00281167508836318,270.837990181407,0.702690624084041,0.943111630238608,0.00109480519241811,0.558701229739407,0.324865679000868,6.20245098116078,0.00359931091221079,3.20882352941176,0.00202296013552165,61.2545701838824,78.1720710229412,23.1896651398941
"28","Kampong Speu",2010,5388.91547373,17977,-1,719275,1469,4311,3938,0.00281899191560102,265.474021332084,0.695901415799016,0.959244182350444,0.00134630400853819,0.531636817486543,0.351862581419176,6.20245098116078,0.00297746195223895,3.21176470588235,0.00239532086961778,61.2545701838824,78.1720710229412,23.1896651398941
"29","Kampong Speu",2011,4942.60128299,17542,0,654299,697,4294,1603,0.00166268373045411,269.341980987276,0.600739483133488,0.866805275073408,0.015400212953053,0.576673552658628,0.240805073074251,5.10282222307556,0.00433866006994147,3.23066666666667,0.0013527982284169,62.5831642564,77.7072708224,23.4146402722667
"30","Kampong Speu",2012,4942.60138,17542,0,670348,601,9088,3977,0.000726697185333333,273.351788933333,0.573400818666667,0.822273144,0.0171540516066667,0.600821622666667,0.2302414436,5.07037780918222,0.005390803824,3.244,0.00124290665733333,62.5831610666667,77.7072721333333,23.4146398133333
"31","Kampong Thom",2007,11946.8648483,58332,-892,651994,1819,3823,3618,0.0133638460933206,258.336222652489,0.677933482468202,0.907065259942366,0.00191307556306026,0.428249915201677,0.422331563477106,4.46309523814286,0.0144343849375358,2.75487012987013,0.0017905124472014,22.8709577386494,133.816604732597,35.756571366
"32","Kampong Thom",2008,11946.8648483,57440,-1464,655456,1768,3878,3680,0.0152225154922063,257.846107898439,0.676804034779197,0.886409395763081,0.00171514742543196,0.416732389227615,0.398530845841273,4.98041125541558,0.00288015363096362,2.69967532467532,0.0018702073813563,22.8709577386494,133.816604732597,35.756571366
"33","Kampong Thom",2009,11946.8648483,55976,-1791,669426,1578,5626,3355,0.0134902320015975,260.367297357564,0.690875196429773,0.874771522530651,0.00189243063626228,0.402500208471946,0.352405918670824,4.93443722935714,0.00967585174196042,2.67045454545455,0.00159972639964784,22.8709577386494,133.816604732597,35.756571366
"34","Kampong Thom",2010,11946.8648483,54185,-1523,655456,1768,3878,3680,0.0152225154922063,257.846107898439,0.676804034779197,0.886409395763081,0.00171514742543196,0.416732389227615,0.398530845841273,4.98041125541558,0.0135214539059074,2.69967532467532,0.0018702073813563,22.8709577386494,133.816604732597,35.756571366
"35","Kampong Thom",2011,10856.99272925,48517,-701,622567,964,18490,12843,0.0284431945626574,277.1066348197,0.590088591755533,0.810503342852364,0.0164833519515575,0.449567229567848,0.191885273187681,4.68951690812319,0.0228576162178399,2.77130434782609,0.0010859904292527,23.399020728971,133.192644107101,35.7801877823333
"36","Kampong Thom",2012,10856.9926751,47816,-792,637096,812,23461,16753,0.0213747999202899,284.188123594203,0.563506388405797,0.798038844927536,0.014910533726087,0.469846269463768,0.196819482956522,4.50241538695652,0.0257476385652174,2.82347826086957,0.000867538006666667,23.3990207101449,133.192645797101,35.780188015942
"37","Kampot",2007,3843.66840178,8235,-47,596088,1443,4488,2112,1.69381864623244e-06,346.677952211334,0.737846312048352,0.939692436818945,0.0027903843238004,0.552778351374013,0.736304248174408,3.31915708814368,0.0150765855358238,1.98494252873563,0.00246467584269999,39.3929110267816,20.705225764023,25.5022617242299
"38","Kampot",2008,3843.66840178,8188,-24,602591,1114,3702,2119,0,346.935198190997,0.755623903258212,0.928678126636301,0.00168367325072523,0.565704537835963,0.694031777018958,3.19329501917816,0.00428099678429119,1.87672413793103,0.00232200052246314,39.3929110267816,20.705225764023,25.5022617242299
"39","Kampot",2009,3843.66840178,8164,-109,612319,1046,3358,2154,0,348.588803395344,0.762490481259215,0.923868640099479,0.0021219543606185,0.522252303417877,0.68024158611281,3.27674329502299,0.0257752380070881,1.87959770114943,0.00196974452974822,39.3929110267816,20.705225764023,25.5022617242299
"40","Kampot",2010,3843.66840178,8055,-55,601821,1114,3702,2119,0,344.925593899164,0.755623903258212,0.928678126636301,0.00168367325072523,0.565704537835963,0.694031777018958,3.19329501917816,0.0231580360860153,1.87672413793103,0.00232200052246314,39.3929110267816,20.705225764023,25.5022617242299
"41","Kampot",2011,2364.74373973,1693,0,484327,616,13243,4728,0,371.410577242654,0.666949807985853,0.819223850752422,0.0207707738095238,0.601297980615467,0.502739697214984,2.91904761905714,0.033128505099881,1.80642857142857,0.00159847797828128,32.5306648885429,21.0935080872,25.2421367198286
"42","Kampot",2012,2364.743719,1693,13,489341,423,27265,10204,0,369.736112857143,0.652372698571429,0.812856651428571,0.0168116181814286,0.604675790742857,0.526099280128571,2.82547622428571,0.0325778199428571,1.80857142857143,0.00127080871657143,32.5306651,21.0935083285714,25.2421363428571
"43","Kandal",2007,3244.98401399,288,0,1201112,2402,5074,5074,0,608.426695870462,0.712538640632304,0.800156453294572,0.0166038952632867,0.488728577823037,0.179149939616567,3.06240049755224,0.00713234939173478,1.58931902985075,0.00172586298486808,7.48091980711194,61.0889284033955,20.0266257278433
"44","Kandal",2008,3244.98401399,288,-8,1197435,2239,5209,4496,0,584.866829275732,0.730232138825239,0.80503052671997,0.0185638962701876,0.468336006977533,0.145702156344228,3.05245024879104,0.00127001445679045,1.58801305970149,0.00166674602522796,7.48091980711194,61.0889284033955,20.0266257278433
"45","Kandal",2009,3244.98401399,280,0,1208070,2041,4408,4727,0,586.652865376712,0.734860555862225,0.8027953473066,0.016447187740378,0.475519099536312,0.122420902549461,3.05456467665299,0.00698723319078714,1.58801305970149,0.00155934012759331,7.48091980711194,61.0889284033955,20.0266257278433
"46","Kandal",2010,3244.98401399,280,0,1198952,2239,5209,4496,0,585.147963872316,0.730232138825239,0.80503052671997,0.0185638962701876,0.468336006977533,0.145702156344228,3.05245024879104,0.00638619250752192,1.58801305970149,0.00166674602522796,7.48091980711194,61.0889284033955,20.0266257278433
"47","Kandal",2011,2883.4588345,243,0,1051354,1021,15816,5313,0,600.752405566133,0.655307481250274,0.625749751201387,0.0186497951021895,0.592814811526455,0.060263744455023,2.93852678574107,0.0140000914151948,1.624765625,0.00149767750240715,7.19065027370536,59.2859365573661,20.8454411684018
"48","Kandal",2012,2883.458858,243,0,1055378,857,24208,7845,0,603.693412232143,0.635841539285714,0.624929894642857,0.0222242275107143,0.591475315776786,0.05892459694375,2.75846725982143,0.0136103727883929,1.6103125,0.00101001664964286,7.19065032142857,59.2859364732143,20.8454410803571
"49","Kep",2007,172.97646728,124,0,35206,128,93,116,0,242.328362259597,0.690398380113333,0.88421194672,0.000976137853333333,0.441668653086667,0.783909658106667,3.3966666665,0,2.04,0.00293051839,27.5004497686,3.4940999162,5.989715705
"50","Kep",2008,172.97646728,124,0,35854,85,179,249,0,240.711925136042,0.643496806786667,0.92141098224,0.00039867108,0.309637435516667,0.734826336956667,3.1299999998,0,2.09,0.00222365430333333,27.5004497686,3.4940999162,5.989715705
"51","Kep",2009,172.97646728,124,0,36738,94,111,146,0,246.691505631138,0.73181322306,0.935911207033333,0.00113718564,0.65006606542,0.73528619298,3.4733333334,0.0058744503,2.44,0.00247127422,27.5004497686,3.4940999162,5.989715705
"52","Kep",2010,172.97646728,124,0,35854,85,179,249,0,240.711925136042,0.643496806786667,0.92141098224,0.00039867108,0.309637435516667,0.734826336956667,3.1299999998,0,2.09,0.00222365430333333,27.5004497686,3.4940999162,5.989715705
"53","Kep",2011,135.06118,96,0,29713,19,451,273,0,265.709325,0.6405286,0.80309525,0.0134559525,0.745234375,0.6755882,3.25,0.007707145,2.0625,0.00081555655,30.65067575,3.6591305,5.47118395
"54","Kep",2012,135.06118,96,0,30771,21,1265,381,0,271.153475,0.627559725,0.804583325,0.0066,0.666792,0.5712623,2.916666675,0.0030963925,2.0625,0.00030161795,30.65067575,3.6591305,5.47118395
"55","Koh Kong",2007,10968.79580475,104661,-63,104310,392,934,1491,0,270.087098838281,0.508650480168727,0.777677947466392,0.00204351828832418,0.107909391502106,0.241940027002976,17.6465704910385,0.052572912313141,2.85096153846154,0.00467864141552198,142.429862765438,15.7891444453023,42.5969743474145
"56","Koh Kong",2008,10968.79580475,104598,-65,103420,403,1099,1108,0.0034965035,268.132345084919,0.567998300145879,0.795033946621978,0.00137712744130037,0.160976151987821,0.218236998232509,17.4154166449808,0.0138563383975275,2.63461538461538,0.00672043679606227,142.429862765438,15.7891444453023,42.5969743474145
"57","Koh Kong",2009,10968.79580475,104533,-69,106627,231,890,975,0,278.250139927302,0.579423806149267,0.80608557510696,0.00339000053369963,0.174730917701465,0.218659401157875,17.2688140807692,0.0550135245515568,3.35096153846154,0.002283245821337,142.429862765438,15.7891444453023,42.5969743474145
