CommCode,easting,northing
210502,484192,1186319
70510,428348,1187241
180105,308544,1185523
210503,493561,1189087
70709,405746,1179934
210501,493026,1184249
180210,367267,1182955
70107,464499,1185658
70215,449833,1183785
180301,341582,1187015
180214,372561,1184542
180302,348153,1182153
70205,455817,1186813
180105,310380,1189267
70106,462080,1183444
70204,452583,1184259
180303,355548,1183466
70210,459109,1183077
180211,380134,1183812
180301,346862,1186503
70213,451537,1177964
70506,436914,1180262
180101,342645,1176970
70507,434871,1177238
180201,366861,1179122
70703,410115,1178192
70711,388700,1173427
70201,462848,1175281
70502,441538,1182537
210302,504001,1182953
210410,475596,1180950
70211,456187,1182655
70712,412369,1179940
210504,497354,1180246
70705,423554,1178709
180212,382954,1178813
230200,427469,1155171
230200,428132,1155734
230200,426617,1153416
230200,427000,1155199
230200,428637,1152163
180208,369091,1152091
180208,368748,1150042
230200,427814,1150058
180208,343408,1161823
70602,447164,1157035
180208,346469,1159927
70613,443615,1157307
180208,342769,1160194
70614,440747,1155993
180208,349543,1159145
70616,437707,1157758
230200,427585,1149705
230200,427242,1149906
230200,426480,1148190
230200,427090,1149118
230200,425971,1144857
230200,424704,1145373
230200,426003,1144377
60404,476433,1463241
20208,290653,1465676
171106,398673,1465381
60604,552621,1450893
170904,390414,1463371
20401,271790,1466095
20505,306028,1461619
171102,404909,1465483
110201,735300,1461682
190204,609195,1467915
170909,396952,1470827
171009,374955,1468043
20402,276714,1463384
171109,406876,1470568
170907,392232,1470048
20209,286326,1465373
20406,263433,1453637
170405,420970,1452503
100401,591002,1444258
60607,534957,1455503
21205,225818,1457534
20203,295784,1456919
170408,437827,1455268
21206,247005,1455019
60808,456183,1455994
20501,313490,1463074
99,398271,1425994
170411,417882,1457322
171103,401355,1457475
20504,318300,1460474
20803,326469,1455819
171105,409292,1460329
21203,234895,1449394
20804,328157,1449367
20502,310791,1451774
110205,750019,1446839
21202,226606,1448545
20204,294174,1450250
170407,435368,1438211
20305,304053,1451900
60606,519720,1448301
60402,477002,1451740
20503,313494,1455344
20205,282439,1455363
170403,430194,1450544
21204,227912,1453693
20306,304498,1453430
171104,407199,1442381
60405,496959,1433918
20303,306889,1448504
20701,268393,1434113
170412,426940,1436433
60403,478230,1442608
60813,457106,1439640
60407,485134,1438844
170402,419394,1445459
20805,336315,1444957
20108,280032,1445660
