"","CommCode","Province","Commune.x","tot_pop","family","male_18_60","fem_18_60","pop_over61","numPrimLivFarm","Fish_man","ntfp_fam","land_confl","Pax_migt_in","Pax_migt_out","F6_24_sch","M6_24_sch","F18_60_ill","M18_60_ill","propPrimLivFarm","fam_prod","Cloth_craft","Trader","serv_prov","Les1_R_Land","No_R_Land","Les1_F_Land","No_F_Land","cow_fam","pig_fam","garbage","KM_Market","KM_Comm","wat_safe","wat_pipe","crim_case","KM_Heal_cent","inf_mort","U5_mort","Prop_Indigenous","dist_sch","Commune.y","perc_change_dir","perc_change"
"22","60608","Kampong Thom","Sochet",2903,486,1204,1203,66,486,0,0,0,0,0,0.343967921,0.431808738571429,0.600846233,0.510095654285714,1,0,0,0,0,0.344177959,0.194677404,0,0,0.834054412857143,0.687622642428571,0,88.5714285714286,5.21428571428571,0,0.803030303,0,21.4285714285714,0,0,0,23,"Sochet",-1.034126163,1.034126163
"23","60609","Kampong Thom","Tum Ring",4779,1047,2124,2044,181,1022,0,0,14,260,5,0.572678721625,0.50907242975,0.425081638125,0.45295816225,0.978266765,0.000683060125,0,0.00881534175,0.00292330625,0.340789963625,0.0670842215,0.02225678075,0.010245901625,0.414099784625,0.369628821625,0,42.125,3.9375,0.499152536375,0.96863387975,0.000994263875,11.6875,0.000342697125,0.000229779375,0,4.85,"Tum Ring",-4.66007022,4.66007022
"24","60701","Kampong Thom","Boeng Lvea",5969,1206,2392,2360,260,1195,1,0,1,86,2,0.547621844,0.600181183333333,0.183090443833333,0.247266329833333,0.973039215666667,0,0,0,0,0.36434436,0.145914297,0,0,0.6760689955,0.363771782,0,7.33333333333333,1.525,0.198553923833333,1,0,5.16666666666667,0,0.000116795166666667,0,0.5,"Boeng Lvea",-1.881134133,1.881134133
"25","60705","Kampong Thom","Kraya",9195,1977,3864,3876,536,1904,0,3,31,275,55,0.736887014166667,0.723903641833333,0.367011169333333,0.2799697985,0.978473320166667,0.000207296833333333,0,0.000829187333333333,0.0115294356666667,0.295397293666667,0.0813697161666667,0,0,0.801407651,0.5886071415,0,15.3333333333333,2.58333333333333,0.0456301026666667,0.962271973333333,4.75511666666667e-05,6.33333333333333,0.000733565333333333,0.000474980166666667,0,2.75,"Kraya",-8.439432521,8.439432521
"26","60802","Kampong Thom","Chamnar Kraom",11441,2297,4305,4093,802,2150,24,0,71,43,121,0.5855742135,0.6654461135,0.5185233681,0.4117687298,0.9487460757,0,0,0.0007633588,0.003516976,0.4440711437,0.0331781887,0,0,0.7561045783,0.5161584274,0,10.7,4.1,0.3038323394,0.7973542902,9.56023e-05,3.64,6.87758e-05,0.0001090513,0,3.5,"Chamnar Kraom",-4.851330203,4.851330203
"27","60806","Kampong Thom","Msar Krang",8871,1805,3601,3388,685,1659,142,0,26,63,37,0.663792259090909,0.682451964363636,0.307193426272727,0.243164181272727,0.92868139,0,0,0.000909090909090909,0,0.222985530818182,0.114912687363636,0,0,0.697365513545455,0.378967366272727,0,7.09090909090909,2.24545454545455,0.0229182581818182,0.111970160181818,0.000404800818181818,1.53181818181818,0.000229568454545455,0,0,1.5,"Msar Krang",-49.49494949,49.49494949
"28","60807","Kampong Thom","Peam Bang",2792,569,1197,1158,165,0,569,0,0,0,0,0.3529769424,0.3553047096,0.630928975,0.7796017826,0,0,0,0,0,0,0,0,0,0,0.2720601994,0,41,3.3,0.2,0.9961352658,0,51.4,0,0,0,3.2,"Peam Bang",-42.30769231,42.30769231
"29","60808","Kampong Thom","Popok",7588,1315,3041,3132,576,1183,0,0,37,93,6,0.41148087725,0.434975141125,0.318694219875,0.26270274625,0.937059360875,0,0,0.01324289875,0,0.27276351775,0.0364382635,0.034395973125,0,0.62436146675,0.2300099655,0,26.5,3.75,0.313135517375,1,0.000722491875,17.625,0.00028432125,0.000205704875,0,1.5,"Popok",-2.769230769,2.769230769
"30","60809","Kampong Thom","Pralay",12280,2527,5286,5150,749,2372,15,0,85,65,93,0.577763060285714,0.578088209,0.314037794642857,0.307189442071429,0.947952596285714,0,0,0.000585480071428571,0.001195419,0.230828056785714,0.0633923689285714,0,0,0.840041847071429,0.3463255155,0,12.2142857142857,4.125,0.340406424857143,0.816898531428571,0.000351337285714286,4.19642857142857,0.000151011785714286,0,0,3.5,"Pralay",-3.125,3.125
"31","60812","Kampong Thom","Samprouch",12497,2248,4907,4600,669,2165,9,0,71,83,47,0.685132359117647,0.670299787176471,0.326719275058824,0.275442595941176,0.964011881941176,0,0,0.00347260994117647,0.00293476376470588,0.364232433882353,0.0592250682941176,0,0,0.775882080117647,0.465866007058824,0,3.35882352941176,2.51764705882353,0.150651787352941,0.543166496235294,0.000744667294117647,2.96764705882353,0,0,0,3,"Samprouch",-24.94004796,24.94004796
