CODEKHUM,mean_elev,med_elev
200703,4.283491141,4
210204,24.4330665,19
190503,72.4155459,73
30702,8.686422997,9
140802,8.735255223,9
100105,64.93474048,72
150204,5.28436019,5
140402,10.16063286,10
140305,5.096159661,5
80806,19.29140779,20
70607,10.99973643,8
70608,6.19369251,6
70609,11.67920762,10
170905,20.07783999,20
20101,22.49217786,21
20102,31.16333743,22
171302,88.1055354,89
130306,109.4751263,90
100204,37.68319343,36
40202,4.689740119,5
31404,8.329730755,8
81002,4.399585308,4
140603,4.604856812,5
80905,5.532308346,6
20507,4.90346045,5
80304,5.905429354,5
100206,15.76166742,15
150502,11.87624555,12
80702,8.105468338,8
80604,4.315014289,4
90302,26.2530373,6
90302,40.96825397,31
81003,4.800366748,5
100404,40.95214521,40
81004,4.445181842,4
30605,4.760099036,5
80305,6.975984252,7
160905,308.7183995,283
160906,152.3399246,130
30904,5.472501755,5
10603,9.952695093,10
190201,41.64754031,40
80605,4.603060587,5
30606,7.719720393,6
140604,5,5
180105,100,100
180105,100,100
180105,100,100
180105,100,100
180105,100,100
190202,63.26121115,61
140605,5,5
30607,4.877842542,5
90201,30.78288431,24
90201,100,100
90201,33.33333333,20
90201,100,100
90201,100,100
90201,40.23697917,31
90201,50.49099099,47
90201,45.99074074,44
90201,59.83269764,43
190504,65.88460999,60
30802,4.517744899,5
190203,47.84288723,50
100304,15.10977573,15
80404,4.858224163,5
80405,4.652893917,5
30608,4.474273714,4
70707,280.2721363,126
100207,17.98097215,18
31205,22.6704266,23
50102,67.21199853,61
100403,74.2977198,72
80205,4.457289204,4
190102,86.46268819,80
150307,41.03180063,19
40804,163.628475,109
210607,5.305452292,5
60305,7.761880751,8
170703,19.24637892,19
140403,14.89577908,16
20306,7.705516495,8
20406,31.15557342,29
160302,253.5868286,248
20602,17.3842696,19
171106,12.17062705,11
30703,9.018939764,9
70503,20.43470296,19
70504,17.28157117,18
40805,86.58888457,60
120701,5.028252135,5
20402,18.4178596,18
171303,318.0831712,333
30301,14.51692649,11
40702,29.30425339,29
171107,50.76102716,47
31403,12.79088516,12
170301,46.21165067,46
