year,commGIS,MULTI,MUA,NP,PL,RMS,WS
2007,211002,NA,NA,NA,NA,NA,NA
2007,70101,NA,NA,NA,NA,NA,NA
2007,50301,NA,NA,NA,NA,NA,NA
2007,210401,NA,NA,NA,NA,NA,NA
2007,200404,NA,NA,NA,NA,NA,NA
2007,210901,NA,NA,NA,NA,NA,NA
2007,200501,NA,NA,NA,NA,NA,NA
2007,211001,NA,NA,NA,NA,NA,NA
2007,210601,NA,NA,NA,NA,NA,NA
2007,230101,NA,NA,NA,NA,NA,NA
2007,140601,NA,NA,NA,NA,NA,NA
2007,30701,NA,NA,NA,NA,NA,NA
2007,210101,NA,NA,NA,NA,NA,NA
2007,70102,NA,NA,NA,NA,NA,NA
2007,70509,NA,NA,NA,NA,NA,NA
2007,140901,NA,NA,NA,NA,NA,NA
2007,140501,NA,NA,NA,NA,NA,NA
2007,141001,NA,NA,NA,NA,NA,NA
2007,31601,NA,NA,NA,NA,NA,NA
2007,40101,NA,NA,NA,NA,NA,NA
2007,190505,NA,NA,NA,NA,NA,NA
2007,190501,NA,NA,NA,NA,NA,NA
2007,80102,NA,NA,NA,NA,NA,NA
2007,20205,NA,NA,NA,NA,NA,NA
2007,170401,NA,MUA,NA,NA,NA,NA
2007,150301,NA,MUA,NA,NA,NA,NA
2007,220101,NA,NA,NA,NA,NA,WS
2007,20801,NA,NA,NA,NA,NA,NA
2007,150201,NA,NA,NA,NA,NA,NA
2007,150302,NA,MUA,NA,NA,NA,NA
2007,150302,NA,MUA,NA,NA,NA,NA
2007,140301,NA,NA,NA,NA,NA,NA
2007,31501,NA,NA,NA,NA,NA,NA
2007,140701,NA,NA,NA,NA,NA,NA
2007,210102,NA,NA,NA,NA,NA,NA
2007,240104,NA,MUA,NA,NA,NA,NA
2007,80801,NA,NA,NA,NA,NA,NA
2007,220501,NA,NA,NA,NA,NA,WS
2007,150401,NA,NA,NA,NA,NA,NA
2007,80301,NA,NA,NA,NA,NA,NA
2007,80701,NA,NA,NA,NA,NA,NA
2007,90501,NA,NA,NA,NA,NA,WS
2007,60101,NA,NA,NA,NA,NA,NA
2007,170902,NA,NA,NA,NA,NA,NA
2007,170903,NA,NA,NA,NA,NA,NA
2007,60102,NA,NA,NA,NA,NA,NA
2007,210602,NA,NA,NA,NA,NA,NA
2007,160901,NA,NA,NA,NA,NA,NA
2007,70301,NA,NA,NA,NA,NA,NA
2007,140702,NA,NA,NA,NA,NA,NA
2007,220401,NA,NA,NA,NA,NA,NA
2007,20209,NA,NA,NA,NA,NA,NA
2007,140902,NA,NA,NA,NA,NA,NA
2007,10701,NA,NA,NA,PL,NA,NA
2007,80201,NA,NA,NA,NA,NA,NA
2007,150202,NA,NA,NA,NA,NA,NA
2007,200201,NA,NA,NA,NA,NA,NA
2007,70201,NA,NA,NA,NA,NA,NA
2007,70202,NA,NA,NA,NA,NA,NA
2007,10201,NA,NA,NA,NA,NA,NA
2007,40602,NA,NA,NA,NA,NA,NA
2007,60801,NA,NA,NA,NA,NA,NA
2007,160701,NA,NA,NA,NA,NA,NA
2007,31401,NA,NA,NA,NA,NA,NA
2007,141101,NA,NA,NA,NA,NA,NA
2007,210801,NA,NA,NA,NA,NA,NA
2007,60103,NA,NA,NA,NA,NA,NA
2007,31301,NA,NA,NA,NA,NA,NA
2007,80103,NA,NA,NA,NA,NA,NA
2007,80602,NA,NA,NA,NA,NA,NA
2007,200502,NA,NA,NA,NA,NA,NA
2007,50101,NA,NA,NA,NA,NA,NA
2007,10202,NA,NA,NA,NA,NA,NA
2007,30101,NA,NA,NA,NA,NA,NA
