"","year","Province","Commune","commGIS","areaKM","ForPix","diffPix","tot_pop","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","land_confl","crim_case","Pax_migt_in","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","PA_cat"
"41",2007,"Banteay Meanchey","Preah Ponlea",10607,14.14296379,0,0,14131,0,999.154081833367,0.680889490571429,0.411957514571429,0.00203082528571429,0.249472281428571,0.0732953247142857,1.333333333,0.120201508571429,1.5,15,0.002249656,125,143,13.51622003,35.33877064,2.888514087,0,0,"none"
"42",2007,"Banteay Meanchey","Banteay Chhmar",10701,460.0425442,99,0,13765,0,29.9211457147663,0.650233055571429,0.945897644357143,0.00965810535714286,0.206748085642857,0.359269531857143,5.4666666665,0.0169664065,5.8,53,0.00437506821428571,86,52,77.94647497,12.30616395,50.65232958,0,1,"PL"
"43",2007,"Banteay Meanchey","Kouk Romiet",10702,226.1852209,0,0,17586,0,77.7504380260771,0.570832645666667,0.987438013047619,0.000935014047619048,0.394290321952381,0.192406416238095,9.166666667,0,7,54,0.00317667404761905,157,140,43.88274307,6.247529714,41.85352588,0,1,"PL"
"44",2007,"Banteay Meanchey","Phum Thmei",10703,65.85071459,0,0,7460,0,113.286545885606,0.580889803142857,0.930060381,0,0.211280564285714,0.689492375,2.666666667,0,1.5,3,0.00186589842857143,22,145,33.71975707,21.84814971,35.30639282,0,0,"none"
"45",2007,"Banteay Meanchey","Thma Puok",10704,133.1509198,41,0,8058,0,60.5177944854122,0.65226589,0.871748251,0,0.11689919,0.609104143857143,1.5,0,0.8,5,0.000924512857142857,3,35,56.19919691,22.86524017,45.54031362,0,1,"PL"
"46",2007,"Banteay Meanchey","Kouk Kakthen",10705,131.5531787,46,0,7381,0,56.1065880196782,0.741909365666667,0.919781931444444,0.000778816222222222,0.196632073888889,0.222586614666667,5.366666667,0.000519210777777778,5,25,0.000722412888888889,10,9,36.29603437,29.55709153,38.07614364,0,0,"none"
"47",2007,"Banteay Meanchey","Kumru",10706,72.74999372,0,0,8705,0,119.656367717416,0.692872397857143,0.962187832714286,0,0.344425917571429,0.587240178857143,1.666666667,0,2,4,0.00663543371428571,26,52,41.72031336,13.44047401,44.41978185,0,1,"PL"
"48",2007,"Banteay Meanchey","Phkoam",10801,88.73970906,7,0,10462,0,117.895360609378,0.590081206909091,0.996926792090909,0.00115807763636364,0.302646232454545,0.607024932363636,3.333333333,0,4,14,0.000316758545454545,29,31,28.38952883,34.35703467,32.51551569,0,0,"none"
"49",2007,"Banteay Meanchey","Sarongk",10802,46.93855396,0,0,4556,0,97.0630668316396,0.578194094666667,1,0,0.119879427166667,0.621185449666667,6.8333333335,0,1,48,0.00421034583333333,19,111,21.04624401,36.40128214,25.33781289,0,0,"none"
"50",2007,"Banteay Meanchey","Sla Kram",10803,168.4517925,4,0,9542,0,56.6452862174203,0.498569850555556,0.923071895444444,0.00111111111111111,0.254011218,0.261713553222222,5.333333333,0,4,8,0.00144580444444444,101,24,30.8623683,16.5390086,20.85183833,0,0,"none"
"51",2007,"Banteay Meanchey","Svay Chek",10804,210.2611913,9,0,9283,0,44.1498497302579,0.518896751642857,0.979332314714286,0,0.110920732071429,0.141517171785714,1.75,0,5,66,0.00419757735714286,107,50,41.60148382,10.69008899,29.96556219,0,0,"none"
"52",2007,"Banteay Meanchey","Ta Baen",10805,27.13119414,0,0,3709,0,136.706109611731,0.7025920446,1,0,0.3243903786,0.0762126662,2.166666667,0,1.8,8,0.0007782132,17,50,19.55628284,25.56658287,19.36708403,0,0,"none"
"53",2007,"Banteay Meanchey","Ta Phou",10806,79.67798552,0,0,7220,0,90.6147407327173,0.731630789,0.996926311545455,0.000800961181818182,0.290571763363636,0.377426488545455,4.4,0.000649350636363636,1.2,13,0.00241123554545455,10,64,22.40710743,31.41980253,21.80354065,0,0,"none"
"54",2007,"Banteay Meanchey","Treas",10807,163.4594801,0,0,10920,0,66.8055471198088,0.626343904111111,0.998668405333333,0,0.195022563333333,0.359574199666667,4.1,0,4,9,0.00113507711111111,51,0,38.9361982,14.56267423,32.61871035,0,0,"none"
"55",2007,"Banteay Meanchey","Roluos",10808,28.75702526,0,0,3423,0,119.031783331264,0.824373364428571,0.894426750714286,0,0.193941367142857,0.223282505857143,1.083333333,0,2,13,0.00307897857142857,26,19,21.7449787,25.04131303,23.32252166,0,0,"none"
"56",2007,"Banteay Meanchey","Boeng Beng",10901,30.80490228,0,0,4446,0,144.327677445241,0.650114028,0.9732872804,0,0.0479089324,0.0356664424,2.333333333,0,2,5,0.0056413678,262,79,123.6351691,1.127480037,65.08246444,0,0,"none"
"57",2007,"Banteay Meanchey","Malai",10902,33.36988408,0,0,7764,0,232.664877749854,0.87244559325,0.807431541375,0.006167935625,0.0285477565,0.027355294,0.6833333335,0,0.8,5,0.000937109,169,101,107.3881323,3.906400535,62.41727158,0,0,"none"
"58",2007,"Banteay Meanchey","Ou Sampor",10903,88.12732125,57,0,5132,0,58.233927086488,0.96765977625,0.953389722,0,0.024726298,0.03290325525,1.2666666665,0,2.25,9,0.003515269,80,30,97.12373237,5.904639327,50.49567436,0,1,"WS"
"59",2007,"Banteay Meanchey","Ou Sralau",10904,54.74351781,0,0,3543,0,64.7199913658599,0.4891511285,0.85248118275,0.00094696975,0,0.05071800625,3.6666666665,0,1.25,2,0.000813008125,62,60,98.56575705,4.330090665,57.97975821,0,0,"none"
"60",2007,"Banteay Meanchey","Tuol Pongro",10905,160.5941702,235,0,9397,0,58.5139546989608,0.624948740142857,0.981437055,0.003911375,0.300173061142857,0.0456103122857143,7.666666667,0,3,7,0.00224346857142857,35,130,39.59053747,6.648585383,39.87171428,0,1,"WS"
"61",2007,"Banteay Meanchey","Ta Kong",10906,133.4921151,0,0,7809,0,58.4978370756222,0.560511537666667,1,0,0.0151024811666667,0.149628906166667,10,0,8,10,0.000146713666666667,68,27,21.48884104,16.04134549,27.41007513,0,0,"none"
"62",2007,"Battambang","Kantueu Muoy",20101,87.08394742,0,0,5006,0,57.4847620980753,0.790393112571429,0.994099477142857,0,0.360719898142857,0.0417216534285714,13.66666667,0,3,2,0.000585484857142857,76,27,22.49217786,62.82583959,24.01322505,0,0,"none"
"63",2007,"Battambang","Kantueu Pir",20102,32.5457472,4,0,6244,0,191.853023426668,0.913581358428571,0.976995772285714,0.00151975685714286,0.468238301,0.093561305,5.5,0,2,5,0.00206531314285714,35,48,31.16333743,63.47745686,19.98881249,0,0,"none"
"64",2007,"Battambang","Bay Damram",20103,45.10739224,0,0,6733,0,149.265999776182,0.792459286,0.9854526805,0,0.284685963625,0.20490702025,5.25,0,2,10,0.005017652875,33,31,14.6967363,70.12955745,15.01183567,0,0,"none"
"65",2007,"Battambang","Chheu Teal",20104,40.16808805,3,0,15559,0,387.347288739077,0.8702333282,0.946035004533333,0.00223378726666667,0.512895017733333,0.1318702706,4.333333333,0,3.5,22,0.0048692252,328,243,17.67825112,66.59888725,12.62228854,0,0,"none"
"66",2007,"Battambang","Chaeng Mean Chey",20105,109.3665358,14,0,7545,0,68.9881959304045,0.780437529,0.967843121714286,0,0.251248173,0.0863510104285714,8.666666667,0,2,20,0.00292710257142857,58,81,34.99360044,52.79650487,31.02702181,0,0,"none"
"67",2007,"Battambang","Phnum Sampov",20106,64.20526403,6,0,15154,0,236.024261078021,0.8357209932,0.9134311165,0.0028134408,0.2333212927,0.1293172845,1.25,0,1,2,0.000459619,59,83,18.49597198,60.52562383,14.50861313,0,0,"none"
"68",2007,"Battambang","Snoeng",20107,267.2514575,46,0,18917,0,70.7835241646905,0.904629280909091,0.980240135727273,0.00223446781818182,0.187314611454545,0.152771222272727,5.333333333,0.000311332545454545,2,26,0.00171506709090909,159,49,31.87882077,51.44468044,25.70558005,0,0,"none"
