year,codekhum,khum_name,area,diffPix
2007,50111,Tuol Ampil,24904255.21,0
2007,90202,Phnhi Meas,216498340.5,0
2007,140906,Krang Svay,24793331.11,0
2007,80504,Peam Reang,51560023.49,0
2007,210703,Cheung Kuon,21264088.09,0
2007,70404,Srae Chaeng,177465079,0
2007,140904,Chey Kampok,33739279.51,0
2007,210603,Champa,15540308.24,0
2007,210708,Samraong,17817171.01,0
2007,200708,Romeang Thkaol,40272518.82,0
2007,200710,Sangkhoar,29870306.39,0
2007,210606,Kampong Reab,19381386.41,0
2007,80411,Preaek Thmei,31291461.16,0
2007,50106,Phong,23275732.04,0
2007,140909,Reathor,32105654.34,0
2007,210610,Prey Lvea,20852065.44,0
2007,200512,Pouthi Reach,22298971.02,0
2007,70309,Trapeang Plang,591803739,-29
2007,210611,Prey Phdau,21100391.83,0
2007,200709,Sambuor,43857850.92,0
2007,90607,NA,56399356.03,0
2007,210608,Pou Rumchak,26427213.48,0
2007,210605,Kampeaeng,26321622.12,0
2007,200506,Chek,30258756.29,0
2007,200507,Chheu Teal,37227889.46,0
2007,210906,Ou Saray,107568910,0
2007,200505,Ta Suos,40181496.55,0
2007,140310,Pratheat,28209194.19,0
2007,90601,Boeng Preav,99730323.59,0
2007,140301,Ansaong,28705783.21,0
2007,70302,Ta Kaen,376407175.5,0
2007,210602,Ban Kam,18362794.3,0
2007,50107,Pou Angkrang,33133319.53,0
2007,200514,Svay Chrum,13267109.64,0
2007,210701,Boeng Tranh Khang Cheung,19447395.31,0
2007,200602,Prey Chhlak,4665876.25,0
2007,140903,Boeng Daol,51414789.31,0
2007,210609,Prey Kabbas,22160820.21,0
2007,80410,Preaek Sdei,52928015.86,0
2007,140911,Seena Reach Otdam,49219843.53,0
2007,80402,Chrouy Ta Kaev,35487739.13,0
2007,140313,Thkov,29693541.54,0
2007,140308,Peam Montear,71437006.39,0
2007,90103,Ta Nuon,263218165.2,-7
2007,140901,Angkor Reach,42272197.23,0
2007,90801,Chamkar Luong,111567556.8,0
2007,200705,Popeaek,41816406.82,0
2007,210709,Soeng,30122578.15,0
2007,200704,Monourom,16564296.85,0
2007,50108,Pou Chamraeun,28608915.52,0
2007,210702,Boeng Tranh Khang Tboung,33578665.49,0
2007,200508,Doun Sa,27243472,0
2007,200516,Svay Yea,37435600.43,0
2007,140103,Chheu Kach,34565214.61,0
2007,50114,Svay Rumpea,24128430.26,0
2007,81001,Khpob,33293244.88,0
2007,210215,Trapeang Sab,24114529.28,0
