commGIS,nd,CP,CP,CP,CP,MC,MN,FBE,FBD,FBD,FBD,FNE,FND,FM,MTSH,MTSH,SL,SL,GL,SV,NF,NF,NF,U,B,B,B,W
30806,0,62,0,0,50,15,28,0,0,0,0,0,0,0,16,0,0,29,0,0,0,0,0,0,0,0,0,31
30702,0,65,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,30
30708,0,44,0,0,187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,76
31106,0,30,103,43,4,155,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31614,0,350,2,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31408,0,61,6,0,153,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,27,9,0,0,0,26
40505,0,271,68,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
31107,0,356,5,0,115,41,6,0,0,0,0,0,0,0,1,0,0,22,7,0,0,0,11,0,0,0,0,5
30808,0,168,0,0,175,1,9,9,0,0,0,0,0,0,0,0,0,50,0,0,0,0,27,3,0,0,0,0
31410,0,123,0,0,300,4,5,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,31,9,0,0,0,4
40705,0,429,143,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50405,0,830,177,0,1,300,126,754,2937,0,0,0,0,0,324,0,54,15,0,0,0,0,0,0,0,0,0,0
30805,0,117,0,3,33,0,23,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,11,0,0,0,0,31
30107,0,233,0,0,852,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0
40708,0,688,128,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30801,0,108,0,0,86,2,22,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,22,5,0,0,0,38
30103,0,61,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2
31016,0,152,117,4,2,255,142,1,4,0,0,0,0,0,3,0,0,60,0,0,0,0,0,0,0,0,0,0
31413,0,75,0,2,36,6,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,1,1,0,0,0,17
31404,0,68,0,0,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
31618,0,716,51,9,98,33,12,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0
30608,0,40,2,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
31411,0,113,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
90702,0,15,2,0,6,54,66,8266,39,0,0,64,0,0,368,0,7,15,3,0,0,0,0,0,0,0,0,0
30401,0,649,7,7,57,69,2,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0
40507,0,151,90,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30802,0,99,0,0,137,3,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37
50406,0,167,107,0,0,711,175,3694,2450,0,0,16,0,0,1581,0,655,33,0,0,0,0,22,0,0,0,0,0
40506,0,195,24,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30703,0,59,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,1,0,0,0,41
50801,0,1624,57,0,2,34,31,88,902,0,0,0,0,0,54,0,31,2,2,0,0,0,0,0,0,0,0,0
30406,0,398,155,36,23,243,84,8,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0
40504,0,54,11,0,334,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,29
31613,0,237,17,4,24,8,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
30705,0,9,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,2
30704,0,89,0,0,80,6,7,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,2,61
31619,0,259,22,110,6,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
31007,0,572,74,0,4,141,13,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
40709,0,375,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31004,0,397,127,10,0,428,153,5,2,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0
30605,0,98,6,0,71,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
30604,0,105,1,0,19,18,28,8,0,0,0,0,0,0,2,0,0,13,0,0,0,0,39,0,0,0,0,18
30102,0,58,0,0,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
31608,0,147,22,241,21,58,74,3,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
30701,0,168,0,0,22,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,23
30606,0,129,0,0,57,10,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,8
31014,11,1271,111,0,0,942,92,218,172,0,0,0,0,0,0,0,128,28,0,0,0,0,0,0,0,0,0,0
40703,0,1730,160,0,7,54,5,0,59,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
40503,0,219,91,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
30709,0,125,2,0,112,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,0,0,93,2,0,0,0,42
31623,0,234,115,324,15,103,38,0,5,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0
30503,0,110,0,0,31,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,6
30707,0,5,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0
30502,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7
30711,0,91,1,0,266,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,30
30504,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,7
40804,0,1717,216,0,31,39,23,459,297,0,0,0,0,0,39,0,30,16,1,0,0,0,0,0,0,0,0,0
30101,0,237,10,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
40510,0,314,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
