commGIS,elc_06,elc_07,elc_08,elc_09,elc_10,elc_11,elc_12
140303,0,0,0,0,0,0,0
210902,0,0,0,0,0,0,0
200506,0,0,0,0,0,0,0
120515,0,0,0,0,0,0,0
80105,0,0,0,0,0,0,0
180204,0,0,0,0,0,0,0
40603,0,0,0,0,0,0,0
210703,0,0,0,0,0,0,0
140102,0,0,0,0,0,0,0
30104,0,0,0,0,0,0,0
50502,0,0,0,0,0,0,0
220301,0,0,0,0,0,0,0
141102,0,0,0,0,0,0,0
60201,0,0,0,0,0,0,0
210302,0,0,0,0,0,0,0
120208,0,0,0,0,0,0,0
140904,0,0,0,0,0,0,0
160501,0,0,0,0,0,1,1
80302,0,0,0,0,0,0,0
30203,0,0,0,0,0,0,0
80803,0,0,0,0,0,0,0
40701,0,0,0,0,0,0,0
130703,0,0,0,0,0,0,0
130201,0,0,0,0,0,1,1
130202,0,0,0,0,0,1,1
140103,0,0,0,0,0,0,0
80401,0,0,0,0,0,0,0
80202,0,0,0,0,0,0,0
200507,0,0,0,0,0,0,0
20104,0,0,0,0,0,0,0
60601,0,0,0,0,0,0,0
150304,0,0,0,0,0,0,0
100101,0,0,0,0,0,0,0
21306,0,0,0,0,0,0,0
40102,0,0,0,0,0,0,0
40102,0,0,0,0,0,0,0
40102,0,0,0,0,0,0,0
40102,0,0,0,0,0,0,0
40102,0,0,0,0,0,0,0
40102,0,0,0,0,0,0,0
10401,0,0,0,0,0,0,0
70304,0,0,0,0,0,0,0
60501,0,0,0,0,0,0,0
30901,0,0,0,0,0,0,0
60107,0,0,0,0,0,0,0
40502,0,0,0,0,0,0,0
80901,0,0,0,0,0,0,0
31402,0,0,0,0,0,0,0
90602,0,0,0,0,0,0,0
90603,1,1,1,1,1,1,1
211003,0,0,0,0,0,0,0
170402,0,0,0,0,0,0,0
140503,0,0,0,0,0,0,0
40802,0,0,0,0,0,0,0
31604,0,0,0,0,0,0,0
31605,0,0,0,0,0,0,0
31606,0,0,0,1,1,1,1
31002,0,0,0,0,0,0,0
31003,1,1,1,1,1,1,1
130301,0,0,0,0,0,0,0
50602,0,0,0,0,0,0,0
31004,0,0,1,1,1,1,1
31608,0,0,0,1,1,1,1
170201,0,0,0,0,0,0,0
10402,0,0,0,0,0,0,0
40201,0,0,0,0,0,0,0
140401,0,0,0,0,0,0,0
30401,0,0,0,0,0,0,0
60108,0,0,0,0,0,0,0
220302,0,0,1,1,1,1,1
110101,0,0,1,1,1,1,1
50302,0,0,0,0,0,0,0
170601,0,0,0,0,0,0,0
130104,0,0,0,0,0,0,0
200701,0,0,0,0,0,0,0
120711,0,0,0,0,0,0,0
120712,0,0,0,0,0,0,0
60106,0,0,0,0,0,0,0
40401,0,0,0,0,0,0,0
171006,0,0,0,0,0,0,0
40503,0,0,0,0,0,0,0
140502,0,0,0,0,0,0,0
70401,0,0,0,0,0,0,0
200104,0,0,0,0,0,0,0
141003,0,0,0,0,0,0,0
140304,0,0,0,0,0,0,0
20204,0,0,0,0,0,0,0
20605,0,0,0,0,0,0,0
40604,0,0,0,0,0,0,0
141202,0,0,0,0,0,0,0
80902,0,0,0,0,0,0,0
200406,0,0,0,0,0,0,0
