"","Province","year","land_confl.cat","Pax_migt_in.cat","Pax_migt_out.cat","pop_den.cat","M6_24_sch.cat","propPrimSec.cat","propSecSec.cat","Les1_R_Land.cat","pig_fam.cat","dist_sch.cat","crim_case.cat","mean_elev.cat","dist_border.cat","dist_provCap.cat","ForPix","areaKM","elc","PA"
"66","Kracheh",1.33630620956212,"low","high","high","high","low","low","high","high","low","high","low","low","high","low",79372,10560.885088,"1","1"
"67","Mondul Kiri",-1.33630620956212,"high","low","high","low","high","high","low","low","high","high","high","low","high","high",146876,13668.92988271,"1","1"
"68","Mondul Kiri",-0.801783725737273,"high","high","high","low","high","high","low","low","high","high","low","low","high","high",146720,13668.92988271,"1","1"
"69","Mondul Kiri",-0.267261241912424,"high","low","high","low","high","high","low","low","high","high","high","low","high","high",146704,13668.92988271,"1","1"
"70","Mondul Kiri",0.267261241912424,"high","high","high","low","high","high","low","low","high","high","low","low","high","high",146715,13668.92988271,"1","1"
"71","Mondul Kiri",0.801783725737273,"low","low","low","high","low","low","high","high","low","low","low","high","low","low",96442,9080.19600261,"1","1"
"72","Mondul Kiri",1.33630620956212,"low","low","low","high","low","low","high","high","low","low","low","high","low","low",96401,9080.19558,"1","1"
"73","Otdar Meanchey",-1.33630620956212,"high","low","low","low","high","high","low","high","high","high","high","low","low","high",28527,6157.12756959,"1","1"
"74","Otdar Meanchey",-0.801783725737273,"high","high","low","low","high","high","low","low","high","high","high","low","low","high",27933,6157.12756959,"1","1"
"75","Otdar Meanchey",-0.267261241912424,"low","low","low","low","high","high","low","low","high","high","high","low","low","high",27707,6157.12756959,"1","1"
"76","Otdar Meanchey",0.267261241912424,"high","high","low","low","high","high","low","low","high","high","high","low","low","high",27573,6157.12756959,"1","1"
"77","Otdar Meanchey",0.801783725737273,"low","low","high","high","low","low","high","low","low","low","low","high","high","low",26689,6018.80696,"1","1"
"78","Otdar Meanchey",1.33630620956212,"low","low","high","high","low","low","high","high","low","low","low","high","high","low",26339,6018.80696,"1","1"
"79","Pailin",-1.33630620956212,"high","low","high","low","low","high","low","low","high","high","high","high","low","low",3351,1076.84283216,"0","1"
"80","Pailin",-0.801783725737273,"high","high","high","low","high","high","low","low","low","high","high","high","low","low",3350,1076.84283216,"0","1"
"81","Pailin",-0.267261241912424,"high","low","low","low","high","high","low","low","high","low","high","high","low","low",3345,1076.84283216,"0","1"
"82","Pailin",0.267261241912424,"high","high","high","low","high","high","low","low","low","high","high","high","low","low",3331,1076.84283216,"0","1"
"83","Pailin",0.801783725737273,"low","low","low","high","low","low","high","high","low","low","low","low","high","high",1961,740.54886,"0","1"
"84","Pailin",1.33630620956212,"low","low","high","high","low","low","high","high","low","low","low","low","high","high",1959,740.54886,"0","1"
"85","Phnom Penh",-1.33630620956212,"high","high","high","high","high","high","low","low","high","low","high","high","high","low",54,354.8261521,"0","0"
"86","Phnom Penh",-0.801783725737273,"high","high","high","high","high","low","low","low","low","low","high","high","high","low",54,354.8261521,"0","0"
"87","Phnom Penh",-0.267261241912424,"high","high","high","high","high","low","low","low","low","low","low","high","high","low",54,354.8261521,"0","0"
"88","Phnom Penh",0.267261241912424,"high","high","high","high","high","low","low","low","low","low","high","high","high","low",54,354.8261521,"0","0"
"89","Phnom Penh",0.801783725737273,"low","low","low","low","low","high","high","high","low","high","low","low","low","high",54,266.66500451,"0","0"
"90","Phnom Penh",1.33630620956212,"low","low","low","low","low","low","high","high","high","high","low","low","low","high",54,266.66498374,"0","0"
"91","Preah Sihanouk",-1.33630620956212,"low","low","low","low","low","high","low","high","high","high","high","high","high","high",6230,1406.41825799,"1","1"
"92","Preah Sihanouk",-0.801783725737273,"high","high","high","high","high","high","low","low","high","high","high","low","low","low",6218,1492.10348214,"1","1"
"93","Preah Sihanouk",-0.267261241912424,"high","low","high","high","high","low","high","low","low","high","high","low","low","low",6239,1492.10348214,"1","1"
"94","Preah Sihanouk",0.267261241912424,"high","high","high","high","high","high","low","low","high","high","high","low","low","low",6217,1492.10348214,"1","1"
"95","Preah Sihanouk",0.801783725737273,"low","low","low","low","low","low","high","low","low","low","low","high","high","high",5751,1354.422023,"1","1"
"96","Preah Sihanouk",1.33630620956212,"low","high","low","low","low","low","high","low","low","low","low","high","high","high",5751,1354.422023,"1","1"
"97","Preah Vihear",-1.33630620956212,"low","high","low","low","high","high","low","high","high","high","low","high","high","high",131166,13652.47357666,"1","1"
"98","Preah Vihear",-0.801783725737273,"high","high","low","low","high","high","low","high","high","high","high","high","high","high",131161,13652.47357666,"1","1"
"99","Preah Vihear",-0.267261241912424,"low","high","low","low","high","high","low","high","high","high","low","high","high","high",131156,13652.47357666,"1","1"
"100","Preah Vihear",0.267261241912424,"high","high","low","low","high","high","low","high","high","high","high","high","high","high",131088,13652.47357666,"1","1"
"101","Preah Vihear",0.801783725737273,"low","low","low","high","low","low","high","low","low","low","high","low","low","low",117362,12353.43395726,"1","1"
"102","Preah Vihear",1.33630620956212,"low","low","high","high","low","low","high","low","low","low","low","low","low","low",117350,12353.433813,"1","1"
"103","Prey Veng",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",127,4633.45342968,"0","0"
"104","Prey Veng",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",127,4633.45342968,"0","0"
"105","Prey Veng",-0.267261241912424,"high","low","low","low","high","high","low","low","high","low","low","low","low","high",127,4633.45342968,"0","0"
"106","Prey Veng",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",127,4633.45342968,"0","0"
"107","Prey Veng",0.801783725737273,"low","high","high","high","low","low","high","high","low","low","low","high","high","low",115,4261.82637985,"0","0"
"108","Prey Veng",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","high","low",115,4261.826465,"0","0"
"109","Pursat",-1.33630620956212,"high","low","low","high","high","high","low","low","high","high","high","low","low","low",83717,11585.19798565,"1","1"
"110","Pursat",-0.801783725737273,"high","low","low","high","high","high","low","low","high","high","high","low","low","low",83308,11585.19798565,"1","1"
"111","Pursat",-0.267261241912424,"high","low","low","high","high","high","low","low","high","high","high","low","low","low",83200,11585.19798565,"1","1"
"112","Pursat",0.267261241912424,"high","low","low","high","high","high","low","low","high","high","high","low","low","low",82905,11585.19798565,"1","1"
"113","Pursat",0.801783725737273,"low","high","high","low","low","low","high","high","low","low","low","high","high","high",82622,11491.24774214,"1","1"
"114","Pursat",1.33630620956212,"low","high","high","low","low","low","high","high","low","low","low","high","high","high",82608,11491.247232,"1","1"
"115","Ratanak Kiri",-1.33630620956212,"high","low","low","low","low","high","low","low","high","high","low","low","high","high",78425,9615.08673961,"1","1"
"116","Ratanak Kiri",-0.801783725737273,"high","high","high","high","low","high","low","low","low","high","high","low","high","low",78158,9669.22313294,"1","1"
"117","Ratanak Kiri",-0.267261241912424,"low","high","high","high","high","high","low","low","low","high","high","low","high","low",78049,9669.22313294,"1","1"
"118","Ratanak Kiri",0.267261241912424,"high","high","high","high","low","high","low","low","low","high","high","low","high","low",77868,9669.22313294,"1","1"
"119","Ratanak Kiri",0.801783725737273,"low","low","low","high","low","low","high","high","low","low","low","high","low","high",63658,7910.11831,"1","1"
"120","Ratanak Kiri",1.33630620956212,"low","low","low","high","high","low","high","high","low","low","low","high","low","high",63515,7910.11831,"1","1"
"121","Siem Reap",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",39644,10268.65327986,"1","1"
"122","Siem Reap",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",39330,10268.65327986,"1","1"
"123","Siem Reap",-0.267261241912424,"low","low","low","high","high","high","low","low","high","high","high","low","low","high",39020,10268.65327986,"1","1"
"124","Siem Reap",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",38390,10268.65327986,"1","1"
"125","Siem Reap",0.801783725737273,"low","high","high","high","low","low","high","high","low","low","low","high","high","low",37913,9836.911978,"1","1"
"126","Siem Reap",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","high","low",37727,9836.911978,"1","1"
"127","Stung Treng",-1.33630620956212,"low","high","low","low","high","low","low","low","high","high","high","low","low","low",116586,12016.58877031,"1","1"
"128","Stung Treng",-0.801783725737273,"high","high","low","low","high","high","low","low","high","high","low","low","low","low",115889,12016.58877031,"1","1"
"129","Stung Treng",-0.267261241912424,"low","low","low","high","high","high","low","low","high","low","low","low","low","low",115165,12016.58877031,"1","1"
"130","Stung Treng",0.267261241912424,"high","high","low","low","high","high","low","low","high","high","low","low","low","low",114958,12016.58877031,"1","1"
"131","Stung Treng",0.801783725737273,"high","low","high","high","low","high","high","high","low","low","high","high","high","high",105709,10954.91352,"1","1"
"132","Stung Treng",1.33630620956212,"high","low","high","high","low","low","high","high","low","low","high","high","high","high",105599,10954.91352,"1","1"
"133","Svay Rieng",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",539,2458.36635018,"1","0"
"134","Svay Rieng",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","low","low","low",590,2565.31987078,"1","0"
"135","Svay Rieng",-0.267261241912424,"high","low","low","low","high","high","low","low","high","low","low","low","low","low",590,2565.31987078,"1","0"
"136","Svay Rieng",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","low","low",590,2565.31987078,"1","0"
"137","Svay Rieng",0.801783725737273,"high","high","high","high","low","low","high","high","low","low","low","high","high","high",539,2272.135038,"1","0"
"138","Svay Rieng",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","high","high",539,2272.135038,"1","0"
"139","Takeo",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","low","high","low",129,3382.50897396,"0","1"
"140","Takeo",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","low","low","high","low",129,3382.50897396,"0","1"
"141","Takeo",-0.267261241912424,"high","low","low","high","high","high","low","low","high","high","high","low","high","low",129,3382.50897396,"0","1"
"142","Takeo",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","low","low","high","low",129,3382.50897396,"0","1"
"143","Takeo",0.801783725737273,"low","high","high","high","low","low","high","high","low","low","low","high","low","high",108,3149.69983,"0","1"
"144","Takeo",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","low","high",108,3149.69983,"0","1"
