commGIS,Province,Commune,
31506,Kampong Cham,Ou Mlu,
31507,Kampong Cham,Peam Kaoh Sna,
31508,Kampong Cham,Preah Andoung,
31509,Kampong Cham,Preaek Bak,
31510,Kampong Cham,Preaek Kak,
31511,Kampong Cham,Tuol Sambuor,
31512,Kampong Cham,Soupheas,
31601,Kampong Cham,Anhchaeum,
31602,Kampong Cham,Boeng Pruol,
31603,Kampong Cham,Peam Chileang,
31604,Kampong Cham,Chikor,
31605,Kampong Cham,Chirou Muoy,
31606,Kampong Cham,Chirou Pir,
31607,Kampong Cham,Roka Po Pram,
31608,Kampong Cham,Chob,
31609,Kampong Cham,Sralab,
31610,Kampong Cham,Thma Pechr,
31611,Kampong Cham,Tonle Bet,
31612,Kampong Cham,Kor,
31613,Kampong Cham,Lngieng,
31614,Kampong Cham,Moung Riev,
31701,Kampong Cham,Suong,
31702,Kampong Cham,Vihear Luong,
40101,Kampong Chhnang,Anhchanh Rung,
40102,Kampong Chhnang,Chhnok Tru,
40103,Kampong Chhnang,Chak,
40104,Kampong Chhnang,Khon Rang,
40105,Kampong Chhnang,Kampong Preah Kokir,
40106,Kampong Chhnang,Melum,
40107,Kampong Chhnang,Phsar,
40108,Kampong Chhnang,Pech Changvar,
40109,Kampong Chhnang,Popel,
40110,Kampong Chhnang,Ponley,
40111,Kampong Chhnang,Trapeang Chan,
40201,Kampong Chhnang,Chol Sar,
40202,Kampong Chhnang,Kaoh Thkov,
40203,Kampong Chhnang,Kampong Os,
40204,Kampong Chhnang,Peam Chhkaok,
40205,Kampong Chhnang,Prey Kri,
40301,Kampong Chhnang,Phsar Chhnang,
40302,Kampong Chhnang,Kampong Chhnang,
40303,Kampong Chhnang,Ph'er,
40304,Kampong Chhnang,Khsam,
40401,Kampong Chhnang,Chranouk,
40402,Kampong Chhnang,Dar,
40403,Kampong Chhnang,Kampong hau,
40404,Kampong Chhnang,Phlov Tuk,
40405,Kampong Chhnang,Pou,
40406,Kampong Chhnang,Pralay Meas,
40407,Kampong Chhnang,Samraong Saen,
40408,Kampong Chhnang,Svay Rumpear,
40409,Kampong Chhnang,Trangel,
40501,Kampong Chhnang,Ampil Tuek,
40502,Kampong Chhnang,Chhuk Sa,
40503,Kampong Chhnang,Chres,
40504,Kampong Chhnang,Kampong Tralach,
40505,Kampong Chhnang,Longveaek,
40506,Kampong Chhnang,Ou Ruessei,
40507,Kampong Chhnang,Peani,
40508,Kampong Chhnang,Saeb,
40509,Kampong Chhnang,Ta Ches,
40510,Kampong Chhnang,Thma Edth,
40601,Kampong Chhnang,Andoung Snay,
40602,Kampong Chhnang,Banteay Preal,
40603,Kampong Chhnang,Cheung Kreav,
40604,Kampong Chhnang,Chrey Bak,
40605,Kampong Chhnang,Kouk Banteay,
40606,Kampong Chhnang,Krang Leav,
40607,Kampong Chhnang,Pongro,
40608,Kampong Chhnang,Prasneb,
40609,Kampong Chhnang,Prey Mul,
40610,Kampong Chhnang,Rolea B'ier,
40611,Kampong Chhnang,Srae Thmei,
40612,Kampong Chhnang,Svay Chrum,
40613,Kampong Chhnang,Tuek Hout,
40701,Kampong Chhnang,Chhean Laeung,
40702,Kampong Chhnang,Khnar Chhmar,
40703,Kampong Chhnang,Krang Lvea,
40704,Kampong Chhnang,Peam,
40705,Kampong Chhnang,Sedthei,
40706,Kampong Chhnang,Svay,
40707,Kampong Chhnang,Svay Chuk,
40708,Kampong Chhnang,Tbaeng Khpos,
40709,Kampong Chhnang,Thlok Vien,
40801,Kampong Chhnang,Akphivoadth,
40802,Kampong Chhnang,Chieb,
40803,Kampong Chhnang,Chaong Maong,
40804,Kampong Chhnang,Kbal Tuek,
40805,Kampong Chhnang,Khlong Popok,
40806,Kampong Chhnang,Krang Skear,
40807,Kampong Chhnang,Tang Krasang,
40808,Kampong Chhnang,Toul Khpos,
50101,Kampong Speu,Basedth,
50102,Kampong Speu,Kat Phluk,
50103,Kampong Speu,Nitean,
50104,Kampong Speu,Pheakdei,
50105,Kampong Speu,Pheari Mean Chey,
50106,Kampong Speu,Phong,
50107,Kampong Speu,Pou Angkrang,
50108,Kampong Speu,Pou Chamraeun,
50109,Kampong Speu,Pou Mreal,
50110,Kampong Speu,Svay Chacheb,
50111,Kampong Speu,Toul Ampil,
50112,Kampong Speu,Toul Sala,
50113,Kampong Speu,Kak,
50114,Kampong Speu,Svay Rumpea,
50115,Kampong Speu,Preah Khae,
50201,Kampong Speu,Chbar Mon,
50202,Kampong Speu,Kandaol Dom,
50203,Kampong Speu,Roka Thum,
50204,Kampong Speu,Sopoar Tep,
50205,Kampong Speu,Svay Kravan,
50301,Kampong Speu,Angk Popel,
50302,Kampong Speu,Chongruk,
50303,Kampong Speu,Moha Ruessei,
50304,Kampong Speu,Pechr Muni,
50305,Kampong Speu,Preah Nipean,
50306,Kampong Speu,Prey Nheat,
