commGIS,Province,Commune,
200513,Svay Rieng,Svay Angk,
200514,Svay Rieng,Svay Chrum,
200515,Svay Rieng,Svay Thum,
200516,Svay Rieng,Svay Yea,
200601,Svay Rieng,Svay Rieng,
200602,Svay Rieng,Prey Chhlak,
200603,Svay Rieng,Koy Trabaek,
200604,Svay Rieng,Pou Ta Hao,
200605,Svay Rieng,Svay Toea,
200606,Svay Rieng,Chek,
200607,Svay Rieng,Sangkhoar,
200701,Svay Rieng,Svay Rumpea,
200702,Svay Rieng,Kokir Saom,
200703,Svay Rieng,Kandieng Reay,
200704,Svay Rieng,Monourom,
200705,Svay Rieng,Po Peaet,
200706,Svay Rieng,Prey Ta Ei,
200707,Svay Rieng,Prasout,
200708,Svay Rieng,Romeang Thkaol,
200709,Svay Rieng,Sambuor,
200801,Svay Rieng,Bavet,
200802,Svay Rieng,Prey Angkunh,
200803,Svay Rieng,Prasat,
200804,Svay Rieng,Bati,
200805,Svay Rieng,Chrak Mtes,
210101,Takeo,Angkor Borei,
210102,Takeo,Ba Srae,
210103,Takeo,Kouk Thlok,
210104,Takeo,Ponley,
210105,Takeo,Preaek Phtoul,
210106,Takeo,Prey Phkoam,
210201,Takeo,Chambak,
210202,Takeo,Champei,
210203,Takeo,Doung,
210204,Takeo,Kandoeng,
210205,Takeo,Komar Reachea,
210206,Takeo,Krang Leav,
210207,Takeo,Krang thnong,
210208,Takeo,Lumpong,
210209,Takeo,Pea Ream,
210210,Takeo,Pot Sar,
210211,Takeo,Souphi,
210212,Takeo,Tang Doung,
210213,Takeo,Tnaot,
210214,Takeo,Trapeang Krasang,
210215,Takeo,Trapeang Sab,
210301,Takeo,Bourei Cholsar,
210302,Takeo,Chey Chouk,
210303,Takeo,Doung Khpos,
210304,Takeo,Kampong Krasang,
210305,Takeo,Kouk Pou,
210401,Takeo,Angk Prasat,
210402,Takeo,Preah Bat Choan Chum,
210403,Takeo,Kamnab,
210404,Takeo,Kampeaeng1,
210405,Takeo,Kiri Chong Kaoh,
210406,Takeo,Kouk Prech,
210407,Takeo,Phnum Den,
210408,Takeo,Prey Ampok,
210409,Takeo,Prey Rumdeng,
210410,Takeo,Ream Andaeuk,
210411,Takeo,Saom,
210412,Takeo,Ta Ou,
210501,Takeo,Krapum Chhuk,
210502,Takeo,Pech Sar,
210503,Takeo,Prey Khla,
210504,Takeo,Prey Yuthka,
210505,Takeo,Romenh,
210506,Takeo,Thlea Prachum,
210601,Takeo,Angkanh1,
210602,Takeo,Ban Kam,
210603,Takeo,Champa,
210604,Takeo,Char,
210605,Takeo,Kampeaeng,
210606,Takeo,Kampong Reab,
210607,Takeo,Kdanh,
210608,Takeo,Pou Rumchak,
210609,Takeo,Prey Kabbas,
210610,Takeo,Prey Lvea,
210611,Takeo,Prey Phdau,
210612,Takeo,Snao,
210613,Takeo,Tang Yab,
210701,Takeo,Boeng Tranh Khang Cheung,
210702,Takeo,Boeng Tranh Khang Tboung,
210703,Takeo,Cheung Kuon,
210704,Takeo,Chumreah Pen,
210705,Takeo,Khvav1,
210706,Takeo,Lumchang,
210707,Takeo,Rovieng,
210708,Takeo,Samraong1,
210709,Takeo,Soeng,
210710,Takeo,Sla,
210711,Takeo,Trea,
210801,Takeo,Baray,
210802,Takeo,Roka Knong,
210803,Takeo,Roka Krau,
210901,Takeo,Angk Ta Saom,
210902,Takeo,Cheang Tong,
210903,Takeo,Kus,
210904,Takeo,Leay Bour,
210905,Takeo,Nhaeng Nhang,
210906,Takeo,Ou Saray,
210907,Takeo,Trapeang Kranhung,
210908,Takeo,Otdam Souriya,
210909,Takeo,Popel,
210910,Takeo,Samraong,
210911,Takeo,Srae Ronoung,
210912,Takeo,Ta Phem,
210913,Takeo,Tram Kak,
210914,Takeo,Trapeang Thum Khang Cheung,
210915,Takeo,Trapeang Thum Khang Tboung,
211001,Takeo,Angkanh,
211002,Takeo,Angk Khnaor,
211003,Takeo,Chi Khmar,
211004,Takeo,Khvav,
211005,Takeo,Prambei Mom,
211006,Takeo,Angk Kaev,
211007,Takeo,Prey Sloek,
211008,Takeo,Roneam,
211009,Takeo,Sambuor,
211010,Takeo,Sanlung,
211011,Takeo,Smaong,
211012,Takeo,Srangae,
211013,Takeo,Thlok,
211014,Takeo,Tralach,
220101,Otdar Meanchey,Anlong Veaeng,
220102,Otdar Meanchey,Lumtong,
220103,Otdar Meanchey,Trapeang Tav,
220104,Otdar Meanchey,Trapeang Prei,
220105,Otdar Meanchey,Thlat,
220201,Otdar Meanchey,Ampil,
220202,Otdar Meanchey,Beng,
220203,Otdar Meanchey,Kouk Khpos,
220204,Otdar Meanchey,Kouk Mon,
220301,Otdar Meanchey,Cheung Tien,
220302,Otdar Meanchey,Chong Kal,
220303,Otdar Meanchey,Krasang,
220304,Otdar Meanchey,Pongro,
220401,Otdar Meanchey,Bansay Reak,
220402,Otdar Meanchey,Bos Sbov,
220403,Otdar Meanchey,Koun Kriel,
220404,Otdar Meanchey,Samraong,
220405,Otdar Meanchey,Ou Smach,
220501,Otdar Meanchey,Bak Anlung,
220502,Otdar Meanchey,Ph'av,
220503,Otdar Meanchey,Ou Svay,
220504,Otdar Meanchey,Preah Pralay,
220505,Otdar Meanchey,Tumnob Dach,
220506,Otdar Meanchey,Trapeang Prasat,
230101,Kep,Angkaol,
230102,Kep,Ou Krasar,
230103,Kep,Pong Tuek,
230201,Kep,Kaeb,
230202,Kep,Prey Thum,
240101,Pailin,Pailin,
240102,Pailin,Ou Tavau,
240103,Pailin,Tuol Lvea,
240104,Pailin,Ba Yakha,
240201,Pailin,Sala Krau,
240202,Pailin,Stueng Trang,
240203,Pailin,Stueng Kach,
240204,Pailin,Ou Andoung,
