commGIS,distancekm
10508,4.824482592
180303,4.855760497
200101,4.954248018
220104,4.967411907
180302,4.991678541
200307,5.00760713
80412,5.011079239
220503,5.031257333
240201,5.111785519
180208,5.287301807
90301,5.31822358
200404,5.404438459
70802,5.471111799
31203,5.501819885
210301,5.519336268
70804,5.526229749
200601,5.566098126
140204,5.659833749
200701,5.68599544
80401,5.686426523
70719,5.724981453
180211,5.72828713
180203,5.764337506
70608,5.784626558
200305,5.826183506
210405,5.83881074
140908,5.859651531
90102,5.901136398
10903,5.904639327
240103,5.909454191
90201,5.912100099
90403,6.020381228
70803,6.057695996
70704,6.113501031
130208,6.132174253
10702,6.247529714
140303,6.252997807
70601,6.284578483
200705,6.28714907
200205,6.382198159
31003,6.407976995
200402,6.488929827
200104,6.601907824
10905,6.648585383
230103,6.652999863
90202,6.681514241
180214,6.732351174
70615,6.749448541
200515,6.792151721
140308,6.807741472
21205,6.866156372
210409,6.888170645
200604,6.900530157
21204,6.96711458
200304,7.040207946
90607,7.043993158
31014,7.063917083
31206,7.079658262
90103,7.091630043
70708,7.251703456
200401,7.321030984
200403,7.451936658
200602,7.47362725
130302,7.530590671
80507,7.583448211
100502,7.683399488
180207,7.759194948
70206,7.759333875
180201,7.79251929
180213,7.79788042
10504,7.811357801
210105,7.822852845
200505,7.984284679
190301,8.167623804
210501,8.228627009
200108,8.270089034
200408,8.27635868
200207,8.331760291
110302,8.456727908
31013,8.46641746
190508,8.53108366
200204,8.569413765
90101,8.579667579
110404,8.76370105
130207,8.767555214
200506,8.782365559
110104,8.894444133
130301,8.897310684
200210,8.928081139
180210,8.935054977
70717,8.987712985
200711,9.040190985
70202,9.207736172
140304,9.233636421
140312,9.359013735
210402,9.361422111
200107,9.532840267
90203,9.532967827
160707,9.704892509
31008,9.771828977
220201,9.878946191
220203,9.894778194
200308,9.940413538
200707,9.981573124
160706,9.986803862
180204,9.996549249
140608,10.08808784
140609,10.09973551
220103,10.12470191
21203,10.13206905
70609,10.18912723
90503,10.20690484
70605,10.22707652
70201,10.25650611
70703,10.31816628
210305,10.3628286
200710,10.4834544
210505,10.59376845
70607,10.59950826
10804,10.69008899
200209,10.70202628
210408,10.9464881
200303,10.96479439
200507,10.99774256
200514,11.02164881
130306,11.07101376
160800,11.13915845
90401,11.14558675
70712,11.43182091
70606,11.480987
240203,11.57151727
100504,11.57484857
190507,11.58235492
70705,11.71270742
31205,11.71339028
200415,11.74023021
190305,11.79700752
140911,11.92148336
220204,11.95602069
150605,12.00653498
70709,12.0350476
210503,12.04366756
110504,12.07897268
200709,12.26456331
140203,12.27714348
200410,12.29923531
10701,12.30616395
200302,12.33447955
210404,12.37080643
110301,12.39527619
240101,12.49459673
70212,12.50977451
80503,12.61237622
140901,12.77125549
80410,12.844224
90501,12.87329891
210101,12.87546319
200708,12.88669357
200512,12.89961084
70207,12.9144937
200306,13.06838661
80402,13.12353795
160801,13.1650967
10507,13.22112029
90601,13.25193977
240202,13.33639965
200703,13.39165362
220403,13.40179385
220505,13.42885466
10706,13.44047401
31016,13.49485323
140201,13.73746346
140313,13.97575954
140602,14.1564693
70603,14.26399724
31209,14.33074059
70213,14.3450787
200309,14.4354083
190304,14.44512807
140903,14.44661456
10807,14.56267423
30406,14.57334754
140310,14.78043237
20900,14.82180418
200509,14.84130795
70604,14.88596578
210502,15.21028724
10503,15.34908015
200406,15.35396969
220401,15.38405402
