"","Province","year","areaKM","ForPix","diffPix","tot_pop","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","crim_case","mean_elev","dist_border","dist_provCap","elc","PA"
"15","Kampong Cham",-0.267261241912424,8344.82228408,3058,29,0.891136999800603,0.11030343979511,-0.646910006235538,-0.691751830735599,-0.329052932455819,-0.380299934247317,0.931264724744788,0.261928093965847,-0.411006814554462,-1.09816170055044,0.156548318322172,0.0121402810997447,-0.000375181983628004,-1.13070808821803,0.836338905671213,-0.64549722436789,0.645497224367395,-0.645497224367889,"1","0"
"16","Kampong Cham",0.267261241912424,8344.82228408,3087,-11,0.619591498280798,0.742109537124924,-0.563176017837314,-0.316722756489987,1.15738273479366,-0.696999533460124,0.557296031528944,0.940076752701514,-0.501332176287805,-0.567786436601912,0.551451859430396,0.32879501589552,-0.553732156007246,0.990876714052911,0.494493261022511,-0.64549722436789,0.645497224367395,-0.645497224367889,"1","0"
"17","Kampong Cham",0.801783725737273,7277.34456539,2804,-2,-1.59745380415232,-0.944707691850636,0.687330339114728,-0.125660167576778,0.0481416207861763,0.699093532034472,-1.09194542242177,-1.10591243884435,1.33187393506476,1.22115177542629,-1.21420314792667,-0.988760146617948,1.0317682486397,-0.475245251482903,-0.98314346608496,1.29099415730044,-1.290992473794,1.29099437655668,"1","0"
"18","Kampong Cham",1.33630620956212,7277.344266,2802,2,-0.888613030447904,-1.50447888972242,1.74403332724212,2.00068727041182,-1.28343748640466,1.7224114702362,-1.44242707710898,-1.35595076428274,1.17031703361208,1.26306229709293,-1.225117958554,-1.21072295366756,1.30005799447693,0.666896712943399,-1.53695023746793,1.29099474017114,-1.29099642367561,1.29099452091496,"1","0"
"19","Kampong Chhnang",-1.33630620956212,5338.73622589,7452,-20,-1.33579737541506,1.06572880394368,-0.256640604028146,-0.67488017016548,-0.408248290463863,0.184349633892642,0.523159555293798,1.27780494986581,-0.590222401788233,-0.92876772776943,1.02657081598578,0.556853264957078,-0.710550703318442,0.452024956298912,1.50387618950178,0.645497224367893,-0.645497223873238,-0.645497224367895,"0","1"
"20","Kampong Chhnang",-0.801783725737273,5338.73622589,7432,0,0.258757802626862,0.738517951656813,-0.640606350468359,-0.43871166982035,-0.408248290463863,0.699352216160373,0.694367091151962,0.280339780665013,-0.648857543365732,-0.707348744993169,0.584397283184071,0.677543773882146,-0.985738481453563,0.991045465952879,0.219005640777681,0.645497224367893,-0.645497223873238,-0.645497224367895,"0","1"
"21","Kampong Chhnang",-0.267261241912424,5338.73622589,7432,-92,1.26093631955575,-0.230882423809894,-0.75571314443359,-0.804634388110544,-0.408248290463863,0.886475067125017,0.664578764065112,0.497512450281003,-0.654462318326052,-0.109708559990125,0.30213723642878,0.624234289122798,-0.311802882030664,-0.310739915852927,0.169766770684061,0.645497224367893,-0.645497223873238,-0.645497224367895,"0","1"
"22","Kampong Chhnang",0.267261241912424,5338.73622589,7340,-164,0.258757802626862,0.738517951656813,-0.640606350468359,-0.43871166982035,-0.408248290463863,0.699352216160373,0.694367091151962,0.280339780665013,-0.648857543365732,-0.707348744993169,0.584397283184071,0.677543773882146,-0.508671299676381,0.991045465952879,0.219005640777681,0.645497224367893,-0.645497223873238,-0.645497224367895,"0","1"
"23","Kampong Chhnang",0.801783725737273,4959.23054133,6780,0,-1.05613331323822,-1.0015098516257,0.471484504772087,0.572421809044226,2.04124145231931,-1.51108236662872,-1.26331080603672,-0.825891637301537,0.997899722094045,0.986129768244285,-1.41163994547504,-0.979970570400343,1.24387488461391,-1.55179468498074,-0.617610912530246,-1.2909947744262,1.29105629161287,1.29099434403029,"0","1"
"24","Kampong Chhnang",1.33630620956212,4959.230602,6780,0,0.613478763843815,-1.31037243182172,1.82208194462637,1.7845160888725,-0.408248290463863,-0.958446766709674,-1.31316169562612,-1.5101053241753,1.5445000847517,1.46704400950161,-1.08586267330766,-1.55620453144383,1.27288848186514,-0.571581287371006,-1.49404332921096,-1.29099412304535,1.29093260388549,1.29099455344133,"0","1"
