"","dist_provCap","pop_den","M6_24_sch","propPrimSec","pig_fam","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_border","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"11",-1.09025761165609,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0244466664646551,0.00876657782537083,0.0419798221153968,0.00691351081391346
"12",-1.0334787265784,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0247405369543229,0.00885709864069644,0.0424547342357158,0.00702633967292999
"13",-0.976699841500709,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0250377497427064,0.00894899092261654,0.0429357315879394,0.00713976789747327
"14",-0.919920956423021,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0253383382467206,0.00904227980250588,0.0434228978517324,0.00725377864170883
"15",-0.863142071345333,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.025642336106191,0.00913699070758887,0.0439163175213688,0.00736835469101328
"16",-0.806363186267644,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0259497771825035,0.00923314935681629,0.0444160758961361,0.00748347846887096
"17",-0.749584301189956,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0262606955571624,0.00933078175648612,0.0449222590701347,0.00759913204419018
"18",-0.692805416112268,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0265751255302539,0.00942991419560902,0.0454349539214719,0.00771529713903586
"19",-0.636026531034579,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0268931016188134,0.00953057324101932,0.045954248100852,0.00783195513677477
"20",-0.579247645956891,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0272146585550943,0.00963278573223245,0.0464802300195591,0.00794908709062936
"21",-0.522468760879202,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0275398312847357,0.0097365787760503,0.0470129888368363,0.00806667373263508
"22",-0.465689875801514,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0278686549648281,0.00984197974091591,0.0475526144466599,0.00818469548299626
"23",-0.408910990723826,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.028201164961873,0.00994901625101915,0.0480991974639113,0.00830313245983472
"24",-0.352132105646137,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0285373968496364,0.0100577161801557,0.0486528292099477,0.00842196448932505
"25",-0.295353220568449,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0288773864068916,0.0101681076453408,0.0492136016975731,0.0085411711162101
"26",-0.23857433549076,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0292211696150517,0.0102802190001809,0.0497816076154134,0.0086607316146899
"27",-0.181795450413072,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0295687826556866,0.0103940788280049,0.0503569403116965,0.00878062499967675
"28",-0.125016565335384,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0299202619079254,0.0105097159347581,0.0509396937774416,0.00890083003840927
"29",-0.0682376802576952,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.030275643945739,0.0106271593416606,0.0515299626290602,0.00902132526241772
"30",-0.0114587951800069,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0306349655351021,0.0107464382776347,0.0521278420903716,0.00914208897983261
"31",0.0453200898976815,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0309982636310331,0.0108675821715021,0.0527334279740373,0.0092630992880289
"32",0.10209897497537,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0313655753745073,0.0109906206439549,0.053346816662417,0.0093843340865975
"33",0.158877860053058,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0317369380892427,0.0111155834993034,0.0539681050878494,0.00950577109063603
"34",0.215656745130747,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0321123892783566,0.011242500717003,0.0545973907123627,0.00962738784435049
"35",0.272435630208435,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0324919666208881,0.0113714024429641,0.0552347715068164,0.00974916173495989
"36",0.329214515286123,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0328757079681876,0.011502318980646,0.0558803459294796,0.00987107000689557
"37",0.385993400363812,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0332636513401676,0.0116352807819403,0.0565342129040482,0.00999308977628706
"38",0.4427722854415,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0336558349214154,0.0117703184378443,0.057196471797104,0.0101151980457268
