"","pop_den","pred","commune","province"
"14299",-0.0227694265664206,0.0066115402713715,"Saom","Takeo"
"14300",-0.0213816126256228,0.00661127960992858,"Saom","Takeo"
"14301",-0.158775192764606,0.00528217939788236,"Ta Ou","Takeo"
"14302",-0.157387378823808,0.00528196297623466,"Ta Ou","Takeo"
"14303",-0.15599956488301,0.00528174664241627,"Ta Ou","Takeo"
"14304",-0.154611750942213,0.00528153039639234,"Ta Ou","Takeo"
"14305",-0.153223937001415,0.00528131423812806,"Ta Ou","Takeo"
"14306",-0.151836123060617,0.00528109816758859,"Ta Ou","Takeo"
"14307",-0.150448309119819,0.00528088218473913,"Ta Ou","Takeo"
"14308",-0.149060495179021,0.0052806662895449,"Ta Ou","Takeo"
"14309",-0.147672681238224,0.00528045048197112,"Ta Ou","Takeo"
"14310",-0.146284867297426,0.00528023476198302,"Ta Ou","Takeo"
"14311",-0.144897053356628,0.00528001912954586,"Ta Ou","Takeo"
"14312",-0.14350923941583,0.00527980358462489,"Ta Ou","Takeo"
"14313",-0.142121425475032,0.00527958812718539,"Ta Ou","Takeo"
"14314",-0.140733611534234,0.00527937275719265,"Ta Ou","Takeo"
"14315",-0.139345797593437,0.00527915747461198,"Ta Ou","Takeo"
"14316",-0.137957983652639,0.00527894227940868,"Ta Ou","Takeo"
"14317",-0.136570169711841,0.00527872717154808,"Ta Ou","Takeo"
"14318",-0.135182355771043,0.00527851215099553,"Ta Ou","Takeo"
"14319",-0.133794541830245,0.00527829721771638,"Ta Ou","Takeo"
"14320",-0.132406727889448,0.00527808237167599,"Ta Ou","Takeo"
"14321",-0.13101891394865,0.00527786761283976,"Ta Ou","Takeo"
"14322",-0.129631100007852,0.00527765294117306,"Ta Ou","Takeo"
"14323",-0.128243286067054,0.00527743835664131,"Ta Ou","Takeo"
"14324",-0.126855472126256,0.00527722385920993,"Ta Ou","Takeo"
"14325",-0.125467658185459,0.00527700944884434,"Ta Ou","Takeo"
"14326",-0.124079844244661,0.00527679512551001,"Ta Ou","Takeo"
"14327",-0.122692030303863,0.00527658088917237,"Ta Ou","Takeo"
"14328",-0.121304216363065,0.00527636673979691,"Ta Ou","Takeo"
"14329",-0.119916402422267,0.00527615267734912,"Ta Ou","Takeo"
"14330",-0.118528588481469,0.00527593870179448,"Ta Ou","Takeo"
"14331",-0.117140774540672,0.00527572481309851,"Ta Ou","Takeo"
"14332",-0.115752960599874,0.00527551101122674,"Ta Ou","Takeo"
"14333",-0.114365146659076,0.0052752972961447,"Ta Ou","Takeo"
"14334",-0.112977332718278,0.00527508366781794,"Ta Ou","Takeo"
"14335",-0.11158951877748,0.00527487012621202,"Ta Ou","Takeo"
"14336",-0.110201704836683,0.00527465667129252,"Ta Ou","Takeo"
"14337",-0.108813890895885,0.00527444330302504,"Ta Ou","Takeo"
"14338",-0.107426076955087,0.00527423002137517,"Ta Ou","Takeo"
"14339",-0.106038263014289,0.00527401682630852,"Ta Ou","Takeo"
"14340",-0.104650449073491,0.00527380371779074,"Ta Ou","Takeo"
"14341",-0.103262635132694,0.00527359069578745,"Ta Ou","Takeo"
"14342",-0.101874821191896,0.00527337776026431,"Ta Ou","Takeo"
"14343",-0.100487007251098,0.00527316491118699,"Ta Ou","Takeo"
"14344",-0.0990991933103002,0.00527295214852117,"Ta Ou","Takeo"
"14345",-0.0977113793695023,0.00527273947223254,"Ta Ou","Takeo"
"14346",-0.0963235654287045,0.00527252688228682,"Ta Ou","Takeo"
"14347",-0.0949357514879067,0.00527231437864971,"Ta Ou","Takeo"
"14348",-0.0935479375471089,0.00527210196128695,"Ta Ou","Takeo"
"14349",-0.0921601236063111,0.00527188963016429,"Ta Ou","Takeo"
"14350",-0.0907723096655133,0.00527167738524748,"Ta Ou","Takeo"
"14351",-0.0893844957247155,0.0052714652265023,"Ta Ou","Takeo"
"14352",-0.0879966817839177,0.00527125315389452,"Ta Ou","Takeo"
"14353",-0.0866088678431199,0.00527104116738996,"Ta Ou","Takeo"
"14354",-0.0852210539023221,0.00527082926695441,"Ta Ou","Takeo"
"14355",-0.0838332399615243,0.0052706174525537,"Ta Ou","Takeo"
"14356",-0.0824454260207264,0.00527040572415366,"Ta Ou","Takeo"
"14357",-0.0810576120799286,0.00527019408172016,"Ta Ou","Takeo"
"14358",-0.0796697981391308,0.00526998252521903,"Ta Ou","Takeo"
"14359",-0.078281984198333,0.00526977105461617,"Ta Ou","Takeo"
"14360",-0.0768941702575352,0.00526955966987745,"Ta Ou","Takeo"
"14361",-0.0755063563167374,0.00526934837096879,"Ta Ou","Takeo"
"14362",-0.0741185423759396,0.00526913715785608,"Ta Ou","Takeo"
"14363",-0.0727307284351418,0.00526892603050527,"Ta Ou","Takeo"
"14364",-0.071342914494344,0.00526871498888228,"Ta Ou","Takeo"
"14365",-0.0699551005535461,0.00526850403295308,"Ta Ou","Takeo"
"14366",-0.0685672866127483,0.00526829316268362,"Ta Ou","Takeo"
