"","dist_border","pop_den","M6_24_sch","propPrimSec","pig_fam","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"11",-0.998783212165901,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.020386952987324,0.00736286774619213,0.0351126884797083,0.00566121749493978
"12",-0.954980442053406,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0207602383953006,0.00747906886830417,0.035718376131909,0.00580210065869229
"13",-0.91117767194091,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0211400504341856,0.00759780853089204,0.0363356674959697,0.0059444333724015
"14",-0.867374901828414,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.021526491849573,0.00771915431477333,0.0369648004791197,0.00608818322002635
"15",-0.823572131715918,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.021919666585117,0.00784317512982963,0.0376060168447762,0.00623331632545771
"16",-0.779769361603422,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0223196797804096,0.00796994120441635,0.0382595621892423,0.00637979737157694
"17",-0.735966591490926,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0227266377680905,0.00809952407285144,0.0389256859137934,0.00652758962238765
"18",-0.69216382137843,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0231406480701557,0.00823199656095716,0.0396046411920701,0.00667665494824139
"19",-0.648361051265935,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0235618193934358,0.00836743276963243,0.0402966849327006,0.0068269538541709
"20",-0.604558281153439,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0239902616242094,0.00850590805643571,0.0410020777370808,0.00697844551133796
