"","pig_fam","pop_den","M6_24_sch","propPrimSec","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"14",-0.79729436554384,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307077245846443,0.0107707892787205,0.0522493031420853,0.00916614602720324
"15",-0.75989882782834,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307077357590536,0.0107707857027159,0.0522493071644853,0.0091661643536218
"16",-0.72250329011284,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307077469335067,0.0107707822312953,0.0522493113960972,0.0091661824709161
"17",-0.68510775239734,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307077581080036,0.0107707788644613,0.0522493158369261,0.00916620037908103
"18",-0.64771221468184,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307077692825443,0.0107707756022164,0.0522493204869771,0.00916621807811145
"19",-0.61031667696634,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307077804571287,0.0107707724445632,0.0522493253462552,0.00916623556800228
"20",-0.57292113925084,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.030707791631757,0.0107707693915043,0.0522493304147657,0.00916625284874839
"21",-0.53552560153534,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307078028064291,0.0107707664430422,0.0522493356925135,0.0091662699203447
"22",-0.49813006381984,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.030707813981145,0.0107707635991794,0.0522493411795039,0.00916628678278613
"23",-0.46073452610434,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307078251559047,0.0107707608599185,0.0522493468757418,0.00916630343606758
"24",-0.42333898838884,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307078363307081,0.0107707582252621,0.0522493527812323,0.00916631988018398
"25",-0.38594345067334,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307078475055554,0.0107707556952126,0.0522493588959806,0.00916633611513025
"26",-0.34854791295784,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307078586804465,0.0107707532697726,0.0522493652199916,0.00916635214090133
