"","propPrimSec","pop_den","M6_24_sch","pig_fam","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"17",-2.73125840546646,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309861771771916,0.0108777985498942,0.0527417742769801,0.00923058007740313
"18",-2.68960965680462,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309818995502444,0.0108760494946371,0.0527339985395186,0.00922980056097022
"19",-2.64796090814279,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309776230171274,0.010874304089861,0.0527262311968495,0.00922901483740541
"20",-2.60631215948096,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309733475776051,0.01087256233354,0.0527184722446851,0.00922822291052511
"21",-2.56466341081912,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309690732314418,0.0108708242236459,0.0527107216787335,0.00922742478415008
"22",-2.52301466215729,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309647999784021,0.0108690897581483,0.0527029794946987,0.00922662046210544
"23",-2.48136591349545,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309605278182503,0.0108673589350149,0.0526952456882801,0.00922580994822061
"24",-2.43971716483362,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309562567507512,0.0108656317522109,0.0526875202551729,0.00922499324632938
"25",-2.39806841617179,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309519867756691,0.0108639082076996,0.0526798031910683,0.00922417036026985
"26",-2.35641966750995,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0309477178927686,0.0108621882994421,0.0526720944916528,0.00922334129388443
