"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"165"," Comoros","1595","..","1467","..","1571","..","1561","..","1430","..","1444","..","1383","..","1400","..","1377","..","1484","..","1483","..","1483","..","1472","..","1466","..","1457","..","1465","..","1470","..","1456","..","1418","..","1413","..","1410","..","1413","..","1418","..","1437","..","1435","..","1405","..","1396","..","1399",".."
"137"," Congo","5771","..","5854","..","6094","..","5486","..","5323","..","3870","..","3893","..","4340","..","5014","..","3908","..","3456","..","3880","..","3938","..","3832","..","3518","..","2899","..","2607","..","3052","..","3523","..","3964","..","3946","..","3872","..","4616","..","4970","..","5778","..","7418","..","6630","..","5694",".."
"176"," Congo (Democratic Republic of the)","1285","..","1135","..","..","..","833","..","729","..","696","..","725","..","664","..","642","..","580","..","566","..","522","..","531","..","548","..","564","..","572","..","590","..","602","..","602","..","614","..","635","..","648","..","666","..","669","..","713","..","750","..","792","..","796",".."
"63"," Costa Rica","7550","..","7586","..","8097","..","8468","..","8741","..","8844","..","8778","..","9044","..","9359","..","9356","..","9432","..","9586","..","9739","..","9998","..","10320","..","10618","..","11324","..","12120","..","12597","..","12136","..","12573","..","12941","..","13436","..","13510","..","13794","..","14086","..","14490","..","14636",".."
"46"," Croatia","14257","..","11312","..","9933","..","9228","..","9872","..","12612","..","13846","..","14553","..","14967","..","14453","..","15462","..","15954","..","16831","..","17471","..","18481","..","19143","..","20021","..","21132","..","21414","..","19756","..","19607","..","20184","..","19740","..","19860","..","19930","..","20848","..","21088","..","22162",".."
"73"," Cuba","4906","..","4359","..","3844","..","3251","..","3256","..","3299","..","3551","..","3637","..","3635","..","3843","..","4048","..","4183","..","4234","..","4380","..","4616","..","5135","..","5765","..","6150","..","6393","..","6428","..","6601","..","6821","..","7022","..","7196","..","7254","..","7562","..","7487","..","7524","d"
"32"," Cyprus","23680","..","23263","..","24674","..","24298","..","25126","..","25836","..","25798","..","25901","..","29278","..","27814","..","28493","..","29307","..","30443","..","31060","..","31903","..","32562","..","33303","..","34934","..","35220","..","33936","..","32913","..","33192","..","30713","..","28488","..","28696","..","30744","..","30955","..","31568",".."
"27"," Czechia","20151","..","17801","..","17699","..","17633","..","18138","..","19118","..","19829","..","19739","..","19675","..","19895","..","20790","..","21272","..","21483","..","22299","..","23059","..","24572","..","25777","..","26959","..","27445","..","25803","..","26202","..","26617","..","26761","..","26672","..","27113","..","28567","..","29400","..","30588",".."
"170"," Côte d'Ivoire","2765","..","2638","..","2577","..","2519","..","2536","..","2642","..","2693","..","2860","..","2928","..","2842","..","2783","..","2742","..","2649","..","2588","..","2584","..","2580","..","2567","..","2560","..","2576","..","2596","..","2589","..","2414","..","2626","..","2757","..","2977","..","3142","..","3323","..","3481",".."
"11"," Denmark","32969","..","33319","..","33989","..","34104","..","35843","..","36879","..","37657","..","38678","..","39499","..","40624","..","41508","..","41968","..","42119","..","42399","..","43864","..","44929","..","46716","..","46609","..","46379","..","43817","..","44726","..","45340","..","45340","..","45983","..","46706","..","47000","..","47209","..","47918",".."
