"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"108"," Turkmenistan","8378","..","7770","..","6419","..","6335","..","5254","..","4635","..","4852","..","4348","..","4497","..","5101","..","5099","..","5485","..","5316","..","5516","..","5718","..","6044","..","6916","..","7590","..","8369","..","8674","..","9109","..","10128","..","11077","..","12121","..","13219","..","14293","..","14890","..","15594","b"
"n.a"," Tuvalu","3922","..","4041","..","4146","..","4287","..","4694","..","4419","..","4163","..","4508","..","5211","..","5095","..","5673","..","6254","..","7123","..","4869","..","5208","..","4966","..","4875","..","5536","..","5400","..","5500","..","4836","..","4746","..","3814","..","4832","..","4280","..","5915","..","5752","..","5888","b"
"162"," Uganda","755","..","771","..","761","..","810","..","834","..","906","..","960","..","984","..","1002","..","1049","..","1031","..","1035","..","1098","..","1131","..","1159","..","1187","..","1276","..","1344","..","1413","..","1460","..","1490","..","1578","..","1576","..","1576","..","1601","..","1635","..","1654","..","1658",".."
"88"," Ukraine","10748","..","9793","..","8609","..","7216","..","5685","..","4984","..","4540","..","4444","..","4365","..","4366","..","4659","..","5207","..","5551","..","6141","..","6930","..","7173","..","7712","..","8374","..","8666","..","7330","..","7715","..","8089","..","8195","..","8195","..","8147","..","7375","..","7593","..","8130",".."
"34"," United Arab Emirates","100233","..","95458","..","92326","..","91853","..","96179","..","100767","..","101093","..","103349","..","99890","..","98681","..","104842","..","103678","..","96777","..","97812","..","98612","..","93415","..","90254","..","81797","..","72409","..","61473","..","57251","..","58422","..","59510","..","62009","..","64103","..","66923","..","68121","..","67805",".."
"14"," United Kingdom","26684","..","26316","..","26356","..","26952","..","27943","..","28546","..","29200","..","30308","..","31198","..","32056","..","33351","..","34181","..","35082","..","36102","..","36798","..","37884","..","38065","..","38639","..","37876","..","36022","..","36683","..","36896","..","36696","..","37026","..","37598","..","38146","..","38680","..","39116",".."
"13"," United States","37370","..","36822","..","37592","..","38115","..","39116","..","39723","..","40761","..","42033","..","43361","..","44910","..","46267","..","46318","..","46690","..","47656","..","49074","..","50240","..","50973","..","51582","..","51095","..","49190","..","50178","..","50708","..","51389","..","51878","..","52752","..","53741","..","54104","..","54941",".."
"55"," Uruguay","9497","..","9892","..","10655","..","10874","..","11551","..","11336","..","11904","..","12920","..","13410","..","13172","..","12858","..","12337","..","11481","..","11065","..","11564","..","12624","..","13209","..","14037","..","14872","..","15395","..","16447","..","17296","..","17925","..","18637","..","19147","..","19278","..","19502","..","19930",".."
"105"," Uzbekistan","1940","..","2972","..","2579","..","2468","..","2291","..","2227","..","2216","..","2272","..","2344","..","2411","..","2453","..","2519","..","2596","..","2682","..","2877","..","3051","..","3222","..","3679","..","4018","..","4124","..","4360","..","4645","..","4993","..","5379","..","5629","..","5811","..","6135","..","6470",".."
"138"," Vanuatu","2454","..","2462","..","2298","..","2295","..","2271","..","2369","..","2414","..","2444","..","2499","..","2596","..","2598","..","2562","..","2381","..","2388","..","2413","..","2440","..","2635","..","2686","..","2946","..","2881","..","2845","..","2829","..","2722","..","2874","..","2895","..","2877","..","2928","..","2995",".."
"78"," Venezuela (Bolivarian Republic of)","14377","..","15502","..","15814","..","15528","..","14779","..","15150","..","14804","..","15331","..","15133","..","14116","..","14387","..","14538","..","12815","..","11622","..","13394","..","14813","..","16209","..","17725","..","18154","..","17078","..","16443","..","16553","..","17221","..","17152","..","16725","..","15101","..","12570","..","10672","b"
"116"," Viet Nam","1379","..","1431","..","1554","..","1639","..","1774","..","1936","..","2076","..","2208","..","2305","..","2397","..","2712","..","2854","..","3004","..","3173","..","3397","..","3348","..","3537","..","3731","..","3897","..","4015","..","4241","..","4433","..","4621","..","4803","..","5007","..","5263","..","5589","..","5859",".."
"178"," Yemen","2726","..","2759","..","2735","..","2724","..","2658","..","2891","..","3205","..","3297","..","3475","..","3398","..","3583","..","3657","..","3660","..","3646","..","3642","..","3741","..","3902","..","3931","..","3927","..","4088","..","4227","..","3533","..","3639","..","3714","..","3547","..","2229","..","1480","..","1239",".."
"144"," Zambia","2076","..","2021","..","1968","..","2098","..","1895","..","1900","..","1977","..","1992","..","1918","..","1981","..","2012","..","2068","..","2113","..","2216","..","2226","..","2294","..","2368","..","2447","..","2657","..","2976","..","3059","..","3196","..","3464","..","3430","..","3563","..","3568","..","3522","..","3557","b"
"156"," Zimbabwe","2382","..","2451","..","2210","..","2218","..","2290","..","2238","..","2452","..","2416","..","2350","..","2282","..","2080","..","2114","..","1976","..","1797","..","1703","..","1610","..","1523","..","1433","..","1136","..","1141","..","1267","..","1392","..","1581","..","1696","..","1701","..","1678","..","1677","..","1683",".."
"a: Estimated using the purchasing power parity (PPP) rate and projected growth rate of Spain."
"b: HDRO estimate based on data from World Bank (2018b) and United Nations Statistics Division (2018b)."
"c: In calculating the HDI value, GNI per capita is capped at $75,000."
"d: Based on a cross-country regression and the projected growth rate from UNECLAC (2018)."
"e: Estimated using the PPP rate and projected growth rate of Spain."
"f: HDRO estimate based on data from World Bank (2018b), United Nations Statistics Division (2018b) and projected growth rates from UNESCWA (2018)."
""
