,(Intercept),corn_med,cpi,for_prod,for_rem,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
395,-4833.182119,NA,0.026928817,NA,0.059788739,NA,NA,NA,0.397628344,1.075854036,6,-126.1384769,269.8769538,4.611419393,0.015568715
270,-4746.510163,0.372314918,NA,-0.000113181,0.058864818,NA,NA,NA,NA,1.046282894,6,-126.2339957,270.0679915,4.80245711,0.014150424
271,-4801.879062,NA,0.400609123,-0.000128248,0.059367471,NA,NA,NA,NA,1.039603,6,-126.4064092,270.4128185,5.147284104,0.011909437
330,-4802.211243,0.190244278,NA,NA,0.059461748,NA,NA,0.0249823,NA,1.068649743,6,-126.4347305,270.469461,5.20392663,0.011576878
345,-4784.398169,NA,NA,NA,0.059282874,0.102590026,NA,0.031095266,NA,1.075719773,6,-126.4384389,270.4768778,5.211343452,0.011534026
331,-4816.569946,NA,0.106739297,NA,0.059592764,NA,NA,0.029569234,NA,1.067156134,6,-126.5086799,270.6173599,5.351825497,0.010751663
298,-4809.090204,0.200251067,NA,NA,0.059530197,NA,0.194120815,NA,NA,1.074152036,6,-126.5257143,270.6514286,5.385894181,0.010570066
299,-4834.334186,NA,0.16662401,NA,0.059761644,NA,0.233956627,NA,NA,1.073269555,6,-126.5708717,270.7417435,5.476209111,0.010103366
282,-4793.781209,0.457549588,NA,NA,0.059386696,0.176448632,NA,NA,NA,1.085488249,6,-126.5787539,270.7575079,5.491973482,0.010024042
313,-4805.308094,NA,NA,NA,0.059491875,0.00575687,0.257282979,NA,NA,1.075259449,6,-126.6237952,270.8475905,5.582056081,0.009582563
285,-4730.606603,NA,NA,-0.000118856,0.058713324,0.085343452,NA,NA,NA,1.051301873,6,-126.7000413,271.0000827,5.734548284,0.00887909
268,-4846.224916,0.357660189,0.17679404,NA,0.059892709,NA,NA,NA,NA,1.070415846,6,-126.7802856,271.1605712,5.895036795,0.008194431
283,-4859.931407,NA,0.327192794,NA,0.060018954,0.075159544,NA,NA,NA,1.074818753,6,-127.126888,271.853776,6.588241641,0.005794171
365,-4699.775489,NA,NA,-0.000145649,0.058348126,NA,0.189878494,0.030645897,NA,1.037564962,7,-124.9579247,271.9158494,6.650315013,0.005617101
429,-4754.616763,NA,NA,-0.000100315,0.058936626,NA,0.216058863,NA,0.308305632,1.055298449,7,-125.0514381,272.1028761,6.837341749,0.005115639
461,-4728.51475,NA,NA,-0.000125747,0.058665828,NA,NA,0.026558378,0.202318784,1.042375243,7,-125.1917423,272.3834846,7.117950195,0.00444597
398,-4772.049036,0.305321238,NA,-8.85E-05,0.059129651,NA,NA,NA,0.330381679,1.055617494,7,-125.3216166,272.6432333,7.377698921,0.003904476
349,-4697.571125,NA,NA,-0.000145594,0.058340756,0.048461396,NA,0.036335468,NA,1.038161496,7,-125.4249058,272.8498115,7.584277137,0.003521315
335,-4718.062682,NA,0.091309113,-0.000148557,0.058533615,NA,NA,0.034858744,NA,1.033235368,7,-125.4300246,272.8600491,7.594514735,0.003503337
334,-4704.473746,0.046551216,NA,-0.000146368,0.058409821,NA,NA,0.035026237,NA,1.034425187,7,-125.4407421,272.8814843,7.615949914,0.00346599
489,-4811.062806,NA,NA,NA,0.059542873,NA,0.188130412,0.011991874,0.296399315,1.075946306,7,-125.4574103,272.9148207,7.649286281,0.003408697
426,-4821.475551,0.161597861,NA,NA,0.059654458,NA,0.155775087,NA,0.351271872,1.077705963,7,-125.4949942,272.9899885,7.724454121,0.003282962
