,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,for_rem.lag2,gdp.lag2,gdp_gr.lag2,ind_gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
184,-6946.056766,68.91483228,-0.188682624,-3.225016129,NA,0.084266539,-6.39351453,NA,171.1370655,NA,NA,8,-116.803758,265.607516,90.66838358,1.35E-20
676,686.0164348,-90.19658796,-0.237057653,NA,NA,NA,-4.031614269,NA,-31.16030824,NA,1.284734949,7,-120.2159638,265.6319276,90.6927951,1.33E-20
552,696.547447,-77.86208593,-0.192104101,0.798567067,NA,NA,-4.679977921,NA,NA,NA,1.230041715,7,-120.2837289,265.7674578,90.82832535,1.24E-20
678,668.4019158,-91.19482877,NA,1.463884081,NA,NA,-3.819742257,NA,-34.45391392,NA,1.325988859,7,-120.3052146,265.8104292,90.87129673,1.22E-20
911,-301.0386388,NA,-0.313376709,1.542206166,-0.568555899,NA,NA,NA,-16.18806195,761.9540115,0.979958059,8,-116.9124851,265.8249702,90.88583777,1.21E-20
815,-325.8532505,NA,-0.312710254,1.288059196,-0.513580585,NA,0.002913498,NA,NA,767.7215103,0.968708337,8,-116.9855668,265.9711335,91.03200107,1.12E-20
614,702.6778522,-74.31932579,NA,0.97461237,NA,NA,-4.91847702,3.165651699,NA,NA,1.240379549,7,-120.4157016,266.0314033,91.09227081,1.09E-20
738,697.4212469,-81.59274093,NA,NA,NA,NA,-4.485519313,3.108285207,-21.14724539,NA,1.276752277,7,-120.4329884,266.0659768,91.12684437,1.07E-20
404,-9211.338283,95.32268761,-0.112213899,NA,NA,0.108339251,NA,NA,163.2700903,-112.740148,NA,7,-120.4396004,266.0792008,91.14006835,1.06E-20
212,-8910.094111,97.25415032,-0.176169392,NA,NA,0.103526747,NA,3.829367183,161.3821917,NA,NA,7,-120.4442902,266.0885805,91.14944802,1.06E-20
466,-9370.054539,99.92999365,NA,NA,NA,0.110588075,NA,1.082431142,167.5086554,-150.7954286,NA,7,-120.4845122,266.1690243,91.22989187,1.02E-20
265,-1190.799009,NA,NA,NA,-1.11739574,NA,NA,NA,NA,1508.870439,NA,4,-127.5561757,266.1892745,91.25014208,1.01E-20
939,-349.8221879,NA,-0.354798631,NA,-0.490011866,NA,0.321206841,NA,-12.04699368,785.8692153,0.98332316,8,-117.1015849,266.2031698,91.2640374,9.99E-21
528,607.018854,-51.76093482,-0.157998267,2.335902068,-0.452582654,NA,NA,NA,NA,NA,1.312746023,7,-120.5020018,266.2040037,91.26487123,9.99E-21
814,-157.1937142,-31.78310513,NA,1.904958055,-0.451290222,NA,-1.238575593,NA,NA,631.5750563,1.015064669,8,-117.1386287,266.2772574,91.33812499,9.63E-21
250,-6552.521057,68.80962957,NA,NA,-0.140425633,0.080611297,-7.7447873,16.68812007,160.4756972,NA,NA,8,-117.1514152,266.3028305,91.36369803,9.50E-21
619,860.9162661,NA,-0.440870957,NA,-0.534626927,NA,-4.881543875,24.83485975,NA,NA,1.09512608,7,-120.573516,266.3470319,91.40789948,9.30E-21
590,600.1271892,-52.34628904,NA,2.620534972,-0.445700387,NA,NA,-2.01159118,NA,NA,1.327157448,7,-120.5932511,266.3865021,91.44736969,9.11E-21
501,-6959.332908,NA,NA,-2.649602673,NA,0.091599742,-10.30060845,16.72261,137.9568403,-445.2644332,NA,8,-117.2034622,266.4069244,91.46779194,9.02E-21
846,-241.1779389,-25.52007104,NA,1.990848274,-0.47728155,NA,NA,-0.216000163,NA,669.7405464,1.042274301,8,-117.2267249,266.4534497,91.51431727,8.81E-21
938,-153.8433194,-46.3168147,NA,NA,-0.448446699,NA,-0.456683043,NA,-40.87805826,622.1298821,1.087758968,8,-117.2384143,266.4768286,91.53769619,8.71E-21
970,-176.1291044,-44.71580165,NA,NA,-0.471977563,NA,NA,1.208376993,-44.9092318,632.4616725,1.101716549,8,-117.2434455,266.486891,91.54775854,8.67E-21
648,557.6223755,-97.60151704,-0.214700185,1.622168892,NA,NA,NA,NA,-69.94088845,NA,1.504439768,7,-120.6849706,266.5699412,91.6308087,8.32E-21
710,543.6807959,-102.4580042,NA,2.205050658,NA,NA,NA,-8.072219719,-69.00382975,NA,1.516506731,7,-120.7178316,266.6356633,91.69653083,8.05E-21
417,-452.6171038,NA,NA,NA,NA,NA,-11.34618846,NA,155.2130252,1057.312684,NA,5,-125.869822,266.7396439,91.80051148,7.64E-21
973,-232.2484105,NA,NA,2.112747776,-0.611434249,NA,NA,4.835556503,-20.76799107,707.3038883,1.030025335,8,-117.3885125,266.777025,91.83789259,7.50E-21
499,-6608.928511,NA,-0.348633524,NA,NA,0.086309986,-10.28817517,21.03454186,129.794555,-334.2265933,NA,8,-117.3924238,266.7848476,91.8457151,7.47E-21
588,613.9927639,-46.71356419,-0.258808475,NA,-0.378497118,NA,NA,4.310597716,NA,NA,1.312360437,7,-120.7936281,266.7872562,91.8481237,7.46E-21
251,-5587.684354,NA,-0.488816783,NA,-0.286135771,0.070696623,-9.195741759,24.39465323,101.0143068,NA,NA,8,-117.40783,266.81566,91.87652752,7.35E-21
