,(Intercept),corn.med.lag1,cpi.lag1,for_prod.lag1,for_rem.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
122,-6447.411431,2.188877288,NA,NA,0.077467858,1.099404329,-1.905966933,-0.046067444,NA,NA,7,-151.5568885,325.7291616,73.4573877,1.92E-17
110,-6506.871581,0.411860925,NA,-0.000354374,0.077937638,NA,-1.013669716,0.003823999,NA,NA,7,-151.574766,325.7649165,73.4931426,1.88E-17
80,-6029.254288,-0.451351194,-2.184310118,-0.000411208,0.073310298,NA,NA,0.050470264,NA,NA,7,-151.5855475,325.7864796,73.51470563,1.86E-17
187,-6165.846709,NA,-1.332281298,NA,0.074777029,0.698338089,-0.939015039,NA,-0.333303218,NA,7,-151.6005452,325.8164749,73.54470102,1.83E-17
144,-6117.304624,-0.10457822,-1.604998508,-0.000398534,0.07414627,NA,NA,NA,-0.40407835,NA,7,-151.6111612,325.837707,73.56593303,1.82E-17
206,-6289.423897,-1.228299114,NA,-0.000475563,0.075611055,NA,NA,0.083939988,-1.129960412,NA,7,-151.6473196,325.9100239,73.63824997,1.75E-17
249,-6364.314102,NA,NA,NA,0.076583147,0.715599456,-1.174270231,0.047125944,-0.838297859,NA,7,-151.6731515,325.9616876,73.68991364,1.71E-17
172,-6308.678552,1.071938687,-1.556503416,NA,0.076258276,NA,-1.022415106,NA,-0.211647795,NA,7,-151.6968274,326.0090394,73.73726545,1.67E-17
108,-6286.077243,1.013454217,-1.777142304,NA,0.076054945,NA,-1.01907192,0.009454569,NA,NA,7,-151.7088895,326.0331636,73.76138966,1.65E-17
235,-6266.240265,NA,-1.453863117,NA,0.075789659,NA,-0.775812526,0.051509522,-0.465203154,NA,7,-151.7426089,326.1006025,73.82882857,1.59E-17
221,-6254.717143,NA,NA,-0.000456295,0.075243294,0.416448779,NA,0.035965834,-1.068333325,NA,7,-151.7455113,326.1064072,73.8346333,1.59E-17
158,-6294.709709,-0.449934793,NA,-0.000438007,0.075689339,0.345868208,NA,NA,-0.813919471,NA,7,-151.7547724,326.1249294,73.85315546,1.57E-17
234,-6559.461474,0.584719906,NA,NA,0.078575034,NA,-1.073389386,0.015115546,-0.583694117,NA,7,-151.8826268,326.3806383,74.10886437,1.38E-17
94,-6414.596499,-0.781898953,NA,-0.000417345,0.076900909,0.181807614,NA,0.016873819,NA,NA,7,-151.989926,326.5952366,74.32346269,1.24E-17
219,-6023.104847,NA,-2.225386097,NA,0.073355345,0.419782982,NA,0.044564162,-0.506272278,NA,7,-151.9985159,326.6124163,74.34064242,1.23E-17
156,-6081.363848,0.243290152,-2.102963536,NA,0.073945815,0.411747373,NA,NA,-0.313626558,NA,7,-152.056318,326.7280206,74.45624672,1.16E-17
92,-6045.282992,0.063269073,-2.459154274,NA,0.073619883,0.378566054,NA,0.025284032,NA,NA,7,-152.068012,326.7514085,74.4796346,1.15E-17
204,-6168.185481,-0.332872999,-1.88959769,NA,0.074794683,NA,NA,0.050229986,-0.489829581,NA,7,-152.0755141,326.7664129,74.49463892,1.14E-17
218,-6453.076532,-0.714185167,NA,NA,0.077407041,0.179514766,NA,0.040389439,-0.860319142,NA,7,-152.331625,327.2786346,75.00686066,8.83E-18
1,784.6371429,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-161.7595361,328.1857389,75.91396496,5.61E-18
3,904.6182831,NA,-4.872377678,NA,NA,NA,NA,NA,NA,NA,3,-160.5710584,328.5538815,76.28210761,4.67E-18
64,-5760.679114,2.399999662,-2.534625366,-0.000369087,0.07073438,1.437700201,-1.782699379,NA,NA,NA,8,-150.5509127,329.1018254,76.83005148,3.55E-18
376,761.2437456,-0.439744487,-2.446111752,-0.000299399,NA,0.35448683,0.609555604,0.097452282,NA,1.210048077,9,-147.393054,329.1497443,76.87797039,3.46E-18
503,764.9858975,NA,-2.469640905,-0.00030186,NA,0.495629943,0.436816282,0.09424303,-0.180457173,1.195862634,9,-147.3973067,329.1582498,76.88647587,3.45E-18
488,750.0864971,-1.049683897,-2.12629434,-0.000311364,NA,NA,0.891854435,0.117414449,-0.248806477,1.22874665,9,-147.4274506,329.2185375,76.9467636,3.35E-18
472,770.6968547,0.354108427,-2.458799138,-0.000301566,NA,0.712325706,NA,0.092821186,-0.189109289,1.170391799,9,-147.5129374,329.3895112,77.11773726,3.07E-18
190,-6182.998121,1.632970258,NA,-0.000401947,0.074650276,1.212544151,-1.70967419,NA,-0.832966905,NA,8,-150.8692983,329.7385966,77.4668227,2.58E-18
127,-5862.755314,NA,-2.149896828,-0.000425965,0.07166479,0.873551304,-0.99732006,0.060636148,NA,NA,8,-150.9246234,329.8492468,77.57747284,2.44E-18
253,-6140.563774,NA,NA,-0.000465101,0.074166703,0.907802066,-1.194760071,0.072521808,-1.130664128,NA,8,-150.9504343,329.9008686,77.62909465,2.38E-18
440,760.6828083,0.660752565,-2.282106181,-0.000239537,NA,0.518567134,0.34810441,NA,0.256996744,1.207163278,9,-147.7740862,329.9118087,77.64003481,2.37E-18
5,778.6192345,NA,NA,-0.000590542,NA,NA,NA,NA,NA,NA,3,-161.2858366,329.9834379,77.711664,2.28E-18
191,-5995.810194,NA,-1.280324333,-0.000418438,0.072921982,0.83961686,-0.917128383,NA,-0.486127823,NA,8,-150.9956086,329.9912171,77.71944319,2.27E-18
500,761.0124433,-0.145108492,-2.375272627,NA,NA,0.311910212,0.5413088,0.080541978,0.008403171,1.235278883,9,-147.818122,329.9998804,77.72810646,2.27E-18
188,-5900.628048,2.58483028,-2.318161087,NA,0.072234743,1.39802299,-1.873531484,NA,-0.310092992,NA,8,-151.0136825,330.027365,77.75559109,2.23E-18
124,-5908.405545,2.770345292,-2.479903397,NA,0.07234255,1.40503308,-1.913832829,-0.016635319,NA,NA,8,-151.038607,330.0772139,77.80544002,2.18E-18
126,-6315.823504,1.748813706,NA,-0.000358387,0.076016621,1.111339092,-1.764335947,-0.024958656,NA,NA,8,-151.1269021,330.2538042,77.98203024,1.99E-18
502,701.4150872,-1.422424079,NA,-0.000327341,NA,0.050512066,0.802717696,0.107961178,-0.618549606,1.264743441,9,-147.9654467,330.2945298,78.02275584,1.95E-18
239,-6103.817992,NA,-1.473616938,-0.000413345,0.074015025,NA,-0.731167899,0.071365063,-0.681702929,NA,8,-151.1654054,330.3308107,78.0590368,1.92E-18
129,793.4933877,NA,NA,NA,NA,NA,NA,NA,-1.212867762,NA,3,-161.5280998,330.4679643,78.19619039,1.79E-18
33,793.2268317,NA,NA,NA,NA,NA,-0.891222653,NA,NA,NA,3,-161.551603,330.5149707,78.24319681,1.75E-18
176,-6203.374377,0.804419772,-1.401158918,-0.000356969,0.075062259,NA,-0.892222318,NA,-0.338971875,NA,8,-151.2658042,330.5316085,78.25983456,1.74E-18
112,-6140.966061,0.558083234,-1.846474228,-0.000363775,0.07447401,NA,-0.861546012,0.032243082,NA,NA,8,-151.2724817,330.5449635,78.27318954,1.72E-18
223,-5782.730013,NA,-2.311723164,-0.000467364,0.070780364,0.611639941,NA,0.070738382,-0.788367407,NA,8,-151.2919467,330.5838934,78.3121195,1.69E-18
17,790.8340092,NA,NA,NA,NA,0.854067027,NA,NA,NA,NA,3,-161.5949382,330.601641,78.3298671,1.68E-18
7,896.2863979,NA,-4.76486337,-0.000557812,NA,NA,NA,NA,NA,NA,4,-160.0984116,330.6968233,78.42504934,1.60E-18
238,-6367.988216,-0.093328576,NA,-0.000415654,0.076491281,NA,-0.851547343,0.057684663,-0.902319211,NA,8,-151.3484139,330.6968277,78.4250538,1.60E-18
19,927.6611851,NA,-5.417640782,NA,NA,1.325290321,NA,NA,NA,NA,4,-160.1376209,330.7752417,78.50346782,1.54E-18
208,-6003.530471,-0.813673647,-1.707150122,-0.000458492,0.072960995,NA,NA,0.090332845,-0.819078024,NA,8,-151.4110163,330.8220327,78.55025874,1.50E-18
2,788.0562041,-0.806744778,NA,NA,NA,NA,NA,NA,NA,NA,3,-161.7098104,330.8313854,78.55961151,1.49E-18
250,-6355.803602,1.919989844,NA,NA,0.076526319,1.135744115,-1.830678527,-0.010288427,-0.660193337,NA,8,-151.4299182,330.8598363,78.5880624,1.47E-18
251,-6037.014711,NA,-1.683285577,NA,0.073492575,0.798927546,-1.038074022,0.067902548,-0.622913871,NA,8,-151.4434806,330.8869612,78.61518729,1.45E-18
65,785.4669757,NA,NA,NA,NA,NA,NA,-0.014644109,NA,NA,3,-161.7554286,330.9226218,78.65084788,1.43E-18
160,-5922.310666,0.144639041,-1.974416754,-0.000424573,0.072193956,0.548255422,NA,NA,-0.470563388,NA,8,-151.4614846,330.9229693,78.65119534,1.43E-18
96,-5853.925575,-0.203499973,-2.55631987,-0.000431582,0.071561616,0.496000466,NA,0.048106144,NA,NA,8,-151.4618624,330.9237248,78.65195092,1.43E-18
222,-6205.899702,-1.132934002,NA,-0.000494435,0.074745824,0.341771239,NA,0.083575289,-1.215741637,NA,8,-151.5853166,331.1706333,78.89885934,1.26E-18
67,919.3793178,NA,-5.704856787,NA,NA,NA,NA,0.101268797,NA,NA,4,-160.3862468,331.2724937,79.00071975,1.20E-18
236,-6278.661561,0.845992978,-1.602764253,NA,0.075949725,NA,-0.984355182,0.024734631,-0.321951035,NA,8,-151.6817887,331.3635773,79.09180339,1.15E-18
