,(Intercept),corn_med.lag1,cpi.lag1,for_prod.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
111,933.6126639,NA,-5.875641358,-0.000731001,1.688786851,NA,0.173372216,-1.274951026,NA,7,-158.9783513,340.5720872,35.45316372,4.84E-09
114,799.8032617,-0.521273581,NA,NA,NA,-0.741521874,0.090637092,-1.499082163,NA,6,-161.2882542,340.5765085,35.45758503,4.83E-09
60,968.1728267,4.120046721,-6.543557492,NA,2.685114012,-2.29776028,0.031149945,NA,NA,7,-159.174662,340.9647087,35.84578521,3.98E-09
92,964.0952864,4.446684356,-6.23830061,NA,2.760795985,-2.373652369,NA,-0.243486283,NA,7,-159.1795112,340.9744071,35.85548363,3.96E-09
48,943.1296748,0.444792315,-6.576401395,-0.000658662,1.607998257,NA,0.11505545,NA,NA,7,-159.1876308,340.9906461,35.87172268,3.93E-09
95,913.5760482,NA,-4.53394953,-0.000636679,1.79101035,-0.728890271,NA,-0.514847614,NA,7,-159.350039,341.3154626,36.1965392,3.34E-09
80,930.2581011,1.328512947,-5.755560515,-0.000622617,1.705280836,NA,NA,-0.478470498,NA,7,-159.3533529,341.3220904,36.20316696,3.33E-09
123,939.0959726,NA,-5.431225589,NA,1.81070754,-0.996263429,0.16010328,-0.965317108,NA,7,-159.5823992,341.7801831,36.66125962,2.65E-09
104,901.589394,-0.83805283,-4.97468114,-0.000670039,NA,NA,0.181793232,-1.099685136,NA,7,-159.6868971,341.9891789,36.8702554,2.38E-09
119,904.0197292,NA,-5.063371577,-0.000633184,NA,-0.320299443,0.155883432,-0.944552603,NA,7,-159.6966414,342.0086673,36.88974388,2.36E-09
108,944.0348943,0.60317411,-6.176657586,NA,1.50886103,NA,0.116539182,-0.754783986,NA,7,-159.8022515,342.2198876,37.10096417,2.12E-09
56,910.9124802,0.004713038,-5.537835004,-0.000592225,NA,-0.303086667,0.122800155,NA,NA,7,-159.8127842,342.240953,37.1220295,2.10E-09
125,813.6288779,NA,NA,-0.000752448,1.927992874,-1.49265239,0.138333358,-2.208072871,NA,7,-159.9269292,342.469243,37.35031951,1.88E-09
88,898.6342976,1.094074577,-4.788437757,-0.000533572,NA,-0.468571765,NA,-0.224738465,NA,7,-160.0163146,342.6480138,37.52909037,1.72E-09
94,817.2165278,2.143242746,NA,-0.00064825,2.27772312,-2.086335678,NA,-1.593258175,NA,7,-160.029693,342.6747706,37.55584719,1.69E-09
