"","(Intercept)","agr_gdp","dev_agri","dev_env","fdi","for_rem","gdp","pop_den","time","df","logLik","AICc","delta","weight"
"251",4.74059656139381,NA,-0.000324865803295554,NA,0.000837951464365881,9.52927508930287e-05,-0.026570649158355,-8.14285972753272,-0.000617812153627502,7,-67.6532124772274,157.921809569839,5.2785891314596,0.00740536508342451
"101",13.2774792284053,NA,NA,-0.00266601846805299,NA,NA,-0.0242549642058799,-8.00296821849131,NA,4,-73.7581096583582,158.016219316716,5.37299887833663,0.00706391814319421
"255",4.46506475162634,NA,-0.000488872876345388,-0.00979260651824135,0.00129238423285232,9.38892334075913e-05,-0.0283452709489665,-7.79788034195172,-0.000728294874111573,8,-65.0399541206549,158.07990824131,5.43668780292995,0.00684251540332045
"239",11.7728444112333,NA,-0.000421217113919966,-0.00971378234129952,0.00100415898789744,NA,-0.0267884635913735,-6.80544189071923,-0.000731955991590885,7,-67.7671535392796,158.149691693944,5.50647125556409,0.00660788535562454
"115",8.65996223786556,NA,-0.000564326705833111,NA,NA,6.12108178419342e-05,-0.0255367397345705,-8.74453924362695,NA,5,-72.1338830256709,158.267766051342,5.62454561296209,0.00622906666166172
"107",13.1317421457767,NA,-0.00059611506646304,NA,0.000685711843268614,NA,-0.0260709986132115,-7.89809922132547,NA,5,-72.1437595972016,158.287519194403,5.64429875602337,0.00616784765380545
"127",5.48692335868009,NA,-0.000808014833098685,-0.008118897534864,0.00152174252005302,9.33483827103137e-05,-0.0295267365748102,-8.56354862497971,NA,7,-67.8443153731377,158.30401536166,5.66079492328026,0.00611718395697788
"98",13.2641399401513,0.00898291347557119,NA,NA,NA,NA,-0.0236883778462245,-8.00571292344478,NA,4,-74.0222057890355,158.544411578071,5.90119113969121,0.00542438074581468
"122",5.00290540021026,0.0268280335985198,NA,NA,0.00102953965311668,9.90725592123448e-05,-0.025880938015085,-8.64525820729734,NA,6,-70.2732477231679,158.546495446336,5.90327500795595,0.00541873184177264
"111",12.8032078068348,NA,-0.000748000844555046,-0.00814013893829061,0.00118650870321224,NA,-0.027831736519945,-7.6164145003574,NA,6,-70.2901211811865,158.580242362373,5.93702192399329,0.00532806617036172
