CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
170901,Ampil,#DIV/0!,#DIV/0!
170713,Samraong Yea,0,0
170709,Pou Treay,0,0
170406,Kouk Thlok Leu,0,0
190207,Srae Krasang,-27.67295597,27.67295597
20404,Prey Khpos,0,0
110203,Roya,-0.170419963,0.170419963
20207,Boeng Pring,0,0
130507,Rotanak,-6.839186691,6.839186691
171110,Ta Yaek,#DIV/0!,#DIV/0!
100406,Roluos Mean Chey,-3.597831444,3.597831444
170409,Pongro Leu,0,0
190205,Ou Ruessei Kandal,0,0
130503,Rohas,0,0
130502,Reaksmei,0,0
170704,Kaev Poar,-2.857142857,2.857142857
21100,,0,0
171010,Srangae,0,0
20206,Chrouy Sdau,0,0
20506,Prey Chas,0,0
171001,Sla Kram,#DIV/0!,#DIV/0!
170706,Krabei Riel,0,0
170902,Bakong,#DIV/0!,#DIV/0!
171002,Svay Dangkum,0,0
170905,Kantreang,#DIV/0!,#DIV/0!
20403,Lvea,#DIV/0!,#DIV/0!
110202,Ou Buon Leu,0,0
20405,Ampil Pram Daeum,0,0
100405,Ou Krieng,-3.600705614,3.600705614
20202,Ta Meun,0,0
170906,Kandaek,0,0
171008,Sambuor,-2.5,2.5
171004,Sala Kamraeuk,#DIV/0!,#DIV/0!
20210,Rung Chrey,#DIV/0!,#DIV/0!
130512,Romoniy,-3.023407022,3.023407022
171006,Chreav,-4.054054054,4.054054054
20507,Kaoh Chiveang,-1.470588235,1.470588235
20201,Ta Pung,0,0
130504,Rung Roeang,-0.528479154,0.528479154
190201,Kaoh Preah,0,0
170410,Ruessei Lok,0,0
170908,Roluos,0,0
190204,Ou Mreah,0,0
110201,Nang Khi Loek,0,0
171009,Siem Reab,0,0
170909,Trapeang Thum,#DIV/0!,#DIV/0!
171109,Samraong,#DIV/0!,#DIV/0!
20402,Khnach Romeas,#DIV/0!,#DIV/0!
20209,Bansay Traeng,#DIV/0!,#DIV/0!
170907,Mean Chey,#DIV/0!,#DIV/0!
20208,Kouk Khmum,#DIV/0!,#DIV/0!
60404,Sa Kream,-1.28606187,1.28606187
60604,Mean Ritth,-0.356076269,0.356076269
171106,Khchas,0,0
20401,Bavel,#DIV/0!,#DIV/0!
170904,Kampong Phluk,0,0
171102,Dam Daek,#DIV/0!,#DIV/0!
20505,Peam Aek,0,0
20501,Preaek Norint,0,0
60808,Popok,-2.769230769,2.769230769
170411,Sangvaeuy,0,0
99,,-21.97309417,21.97309417
20504,Preaek Luong,0,0
171103,Dan Run,0,0
171105,Kien Sangkae,#DIV/0!,#DIV/0!
20803,Ta Pon,0,0
170405,Kouk Thlok Kraom,0,0
20406,Kdol Ta Haen,0,0
60607,Sandan,-0.706090026,0.706090026
100401,Boeng Char,-0.017352074,0.017352074
20203,Ou Ta Ki,#DIV/0!,#DIV/0!
21205,,#DIV/0!,#DIV/0!
21206,,0,0
170408,Pongro Kraom,0,0
60402,Kraya,-0.79006772,0.79006772
60606,Ngan,-2.644836272,2.644836272
20205,Anlong Run,#DIV/0!,#DIV/0!
20503,Preaek Khpob,#DIV/0!,#DIV/0!
21204,,#DIV/0!,#DIV/0!
170403,Kampong Kdei,#DIV/0!,#DIV/0!
171104,Kampong Khleang,-56.96202532,56.96202532
20306,Kdol Doun Teav,#DIV/0!,#DIV/0!
20804,Roka,0,0
21203,,#DIV/0!,#DIV/0!
110205,Srae Huy,0,0
20502,Samraong Knong,#DIV/0!,#DIV/0!
20204,Chrey,#DIV/0!,#DIV/0!
21202,,#DIV/0!,#DIV/0!
20305,Sla Kaet,#DIV/0!,#DIV/0!
170407,Lveaeng Ruessei,0,0
20108,Ta Kream,0,0
20805,Kampong Preah,0,0
20304,Chamkar Samraong,#DIV/0!,#DIV/0!
60605,Mean Chey,0,0
60809,Pralay,-3.125,3.125
20802,Norea,0,0
240202,Stueng Trang,0,0
20309,Ou Char,#DIV/0!,#DIV/0!
20303,Rotanak,#DIV/0!,#DIV/0!
60405,Sala Visai,-0.933908046,0.933908046
170412,Spean Tnaot,-16.66666667,16.66666667
20701,Sdau,0,0
60813,Trea,0,0
60403,Phan Nheum,0,0
170402,Chi Kraeng,0,0
60407,Tuol Kreul,0,0
20310,Svay Pao,#DIV/0!,#DIV/0!
20801,Anlong Vil,#DIV/0!,#DIV/0!
