CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
31510,Preaek Kak,97,na,97,0,97,0,97,0,97,0,97,0,,,
31512,Soupheas,11,na,11,0,11,0,11,0,11,0,11,0,,,
31513,Tuol Preah Khleang,28,na,28,0,28,0,28,0,28,0,28,0,,,
31514,Tuol Sambuor,836,na,817,19,782,35,775,7,775,0,775,0,,,
31602,Boeng Pruol,2,na,2,0,2,0,2,0,2,0,2,0,,,
31605,Chirou Muoy,8,na,8,0,8,0,8,0,8,0,8,0,,,
31606,Chirou Pir,19,na,19,0,19,0,19,0,19,0,19,0,,,
31608,Chob,24,na,24,0,24,0,24,0,24,0,24,0,,,
31612,Kor,6,na,6,0,6,0,6,0,6,0,6,0,,,
31615,Peam Chileang,53,na,53,0,53,0,53,0,53,0,53,0,,,
31616,Roka Po Pram,18,na,18,0,18,0,18,0,18,0,18,0,,,
31621,Thma Pechr,44,na,44,0,44,0,44,0,44,0,44,0,,,
31622,Tonle Bet,17,na,17,0,17,0,17,0,17,0,17,0,,,
31623,Vihear Luong,8,na,8,0,8,0,8,0,8,0,8,0,,,
40101,Anhchanh Rung,5,na,5,0,5,0,5,0,5,0,5,0,,,
40102,Chhnok Tru,0,na,0,0,0,0,0,0,0,0,0,0,,,
40104,Khon Rang,27,na,27,0,27,0,27,0,27,0,27,0,,,
40105,Kampong Preah Kokir,0,na,0,0,0,0,0,0,0,0,0,0,,,
40106,Melum,33,na,33,0,33,0,33,0,33,0,33,0,,,
40107,Phsar,3,na,3,0,3,0,3,0,3,0,3,0,,,
40108,Pech Changvar,86,na,86,0,86,0,86,0,86,0,86,0,,,
40111,Trapeang Chan,28,na,28,0,28,0,28,0,28,0,28,0,,,
40202,Kaoh,6,na,6,0,6,0,6,0,6,0,6,0,,,
40204,Peam Chhkaok,9,na,9,0,9,0,9,0,9,0,9,0,,,
40401,Chranouk,660,na,648,12,648,0,648,0,648,0,648,0,,,
40402,Dar,281,na,281,0,281,0,281,0,281,0,281,0,,,
40404,Phlov Tuk,262,na,184,78,184,0,184,0,184,0,184,0,,,
40405,Pou,84,na,84,0,84,0,84,0,84,0,84,0,,,
