1587,1587,0
76,76,0
3805,3805,0
1212,1212,0
0,0,0
4077,4077,0
635,635,0
1887,1887,0
0,0,0
0,0,0
5205,5205,0
1415,1415,0
23,23,0
81,81,0
240,240,0
1780,1780,0
0,0,0
0,0,0
50,50,0
1138,1137,-1
0,0,0
235,235,0
7762,7629,-133
2693,2692,-1
17,17,0
0,0,0
4467,4467,0
0,0,0
0,0,0
0,0,0
717,717,0
5,5,0
0,0,0
0,0,0
9,9,0
0,0,0
0,0,0
57,57,0
0,0,0
0,0,0
4,4,0
6106,6106,0
0,0,0
0,0,0
928,875,-53
1720,1720,0
81,81,0
0,0,0
0,0,0
134,134,0
22,22,0
5016,5016,0
2,2,0
220,220,0
30,30,0
5,5,0
0,0,0
87,47,-40
7252,7252,0
0,0,0
120,120,0
0,0,0
3930,3930,0
0,0,0
340,340,0
164,164,0
0,0,0
0,0,0
828,828,0
0,0,0
39,39,0
81,81,0
0,0,0
706,706,0
183,183,0
0,0,0
7,7,0
3776,3776,0
55,55,0
1844,1844,0
144,144,0
52,52,0
5853,5853,0
11295,11293,-2
46,46,0
60,60,0
208,208,0
3331,3331,0
110,103,-7
0,0,0
0,0,0
4746,4663,-83
278,278,0
15,15,0
0,0,0
0,0,0
10,10,0
21,21,0
223,223,0
159,115,-44
6,6,0
24645,24603,-42
8,8,0
541,504,-37
0,0,0
8116,7824,-292
2596,2596,0
32,32,0
134,134,0
2,2,0
70,68,-2
74,74,0
30,30,0
55,55,0
340,340,0
0,0,0
18,18,0
0,0,0
22,22,0
0,0,0
0,0,0
6915,6915,0
11,11,0
9637,9290,-347
35,35,0
75,75,0
40,39,-1
0,0,0
0,0,0
6152,5966,-186
74,71,-3
68,67,-1
37,37,0
1703,1694,-9
10,10,0
18,18,0
21,21,0
376,376,0
4795,4795,0
86,86,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2877,2840,-37
8706,8675,-31
30,30,0
0,0,0
218,218,0
0,0,0
49,49,0
67,67,0
1625,1580,-45
107,107,0
223,174,-49
70,70,0
84,84,0
0,0,0
137,137,0
69,69,0
102,102,0
2266,2250,-16
11526,11524,-2
0,0,0
0,0,0
9,9,0
268,268,0
886,879,-7
794,773,-21
0,0,0
0,0,0
0,0,0
0,0,0
79,34,-45
0,0,0
44,44,0
0,0,0
6188,6188,0
0,0,0
0,0,0
0,0,0
0,0,0
423,423,0
200,200,0
197,197,0
0,0,0
1015,1015,0
288,279,-9
2,2,0
15,15,0
0,0,0
0,0,0
1392,1379,-13
120,100,-20
24,24,0
205,205,0
121,121,0
3,3,0
203,203,0
0,0,0
0,0,0
0,0,0
58,58,0
633,633,0
0,0,0
0,0,0
7464,7464,0
547,547,0
0,0,0
0,0,0
0,0,0
120,49,-71
0,0,0
204,204,0
0,0,0
10,10,0
6,6,0
50,50,0
7675,7675,0
4835,4785,-50
3,3,0
46,46,0
0,0,0
3133,2987,-146
246,246,0
4825,4825,0
3,3,0
509,509,0
2,2,0
