,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
853,-6289.981718,NA,NA,0.231351914,NA,0.084289302,NA,-1.327598668,NA,-594.9842316,1.076746414,7,-90.85448774,205.0423088,8.163656845,0.004788512
850,-6302.562403,-3.997212442,NA,NA,NA,0.084514652,NA,-1.12400923,NA,-603.9799427,1.066544441,7,-90.85630162,205.0459366,8.167284618,0.004779834
979,-6317.433506,NA,0.051055715,NA,NA,0.084766454,NA,-1.284551745,11.618115,-613.9339145,1.051220771,8,-87.98410684,205.0591228,8.180470801,0.004748423
919,-6322.982122,NA,0.049023504,0.186497451,NA,0.084825296,NA,NA,11.73350742,-614.0028012,1.046733895,8,-88.05690272,205.2047145,8.32606256,0.004415039
857,-6304.82004,NA,NA,NA,0.021423992,0.084396453,NA,-1.480545331,NA,-592.2814342,1.078748143,7,-90.95326248,205.2398583,8.36120633,0.004338136
794,-6317.164985,-3.837058984,NA,NA,0.011896139,0.084647257,NA,NA,NA,-602.6520759,1.06347451,7,-90.98621292,205.3057592,8.427107199,0.004197522
797,-6304.670555,NA,NA,0.170790855,0.003454843,0.084475813,NA,NA,NA,-596.7946574,1.071169958,7,-91.11043309,205.5541995,8.675547544,0.00370719
916,-6329.031913,-0.29223352,0.047646543,NA,NA,0.08492841,NA,NA,11.87061388,-616.6239699,1.04511893,8,-88.30342914,205.6977674,8.819115414,0.003450401
885,-6454.404023,NA,NA,0.296928555,NA,0.085671906,0.690760071,-3.204994957,NA,-585.4813299,1.081370992,8,-89.04270127,207.1763116,10.29765966,0.001647433
1009,-6435.904016,NA,NA,NA,NA,0.085689419,0.523334936,-2.16654705,4.968153284,-598.550483,1.068444014,8,-89.23711178,207.5651327,10.68648069,0.001356364
889,-6465.044813,NA,NA,NA,0.024116164,0.085751775,0.659540969,-3.249906629,NA,-583.2873511,1.083061805,8,-89.31207669,207.7150625,10.83641051,0.001258402
823,-6412.125114,NA,0.034366809,0.227779216,NA,0.085440262,0.414709267,NA,NA,-593.5329657,1.064939482,8,-89.32247098,207.735851,10.85719908,0.00124539
985,-6332.385886,NA,NA,NA,0.044737337,0.084724103,NA,-1.464502716,10.90688525,-602.1236656,1.06416226,8,-89.36839149,207.8276921,10.9490401,0.001189494
953,-6393.721426,NA,NA,NA,0.028212202,0.085366553,0.22042553,NA,9.432948,-604.1178987,1.057089125,8,-89.48147852,208.0538661,11.17521417,0.001062305
855,-6282.706314,NA,0.040683176,0.310038559,NA,0.084181372,NA,-2.050899761,NA,-593.2785891,1.075659639,8,-89.54753482,208.1859787,11.30732676,0.0009944
882,-6463.574351,0.919459785,NA,NA,NA,0.085828034,0.681553874,-2.785227339,NA,-587.9016073,1.079975517,8,-89.56833415,208.2275774,11.34892542,0.000973931
820,-6407.862135,-1.609656776,0.032946314,NA,NA,0.085475353,0.366957437,NA,NA,-598.8741074,1.060908807,8,-89.60937618,208.3096615,11.43100949,0.000934768
852,-6299.362466,-4.898824416,0.03912097,NA,NA,0.084476917,NA,-1.743927358,NA,-604.6621835,1.062950798,8,-89.6361251,208.3631593,11.48450732,0.000910096
827,-6418.974642,NA,0.032174775,NA,0.002516108,0.085545696,0.410961015,NA,NA,-595.3949588,1.064335049,8,-89.64576377,208.3824366,11.50378466,0.000901366
949,-6394.580791,NA,NA,0.147892144,NA,0.085397916,0.302298579,NA,6.799181487,-604.6621771,1.058238246,8,-89.67797847,208.446866,11.56821406,0.000872791
922,-6340.674878,0.158648673,NA,NA,0.034774792,0.084890178,NA,NA,11.01206671,-606.482256,1.0568801,8,-89.69643773,208.4837846,11.60513259,0.000856828
925,-6341.079287,NA,NA,-0.006871998,0.035027594,0.084895949,NA,NA,10.97124707,-606.6877436,1.056616165,8,-89.69662428,208.4841577,11.60550569,0.000856668
792,-6306.468027,-5.024321219,0.036298786,0.263130993,NA,0.084549955,NA,NA,NA,-604.6274994,1.056909954,8,-89.72274705,208.5364032,11.65775123,0.000834579
