"","time","for_cov","for_rem.lag1","for_rem.lag2","armi.lag1","armi.lag2","cpi.lag1","cpi.lag2","nfi.lag1","nfi.lag2","rice_med.lag1","rice_med.lag2","rub_med.lag1","rub_med.lag2","corn.med.lag1","corn_med.lag2","sug_med.lag1","sug_med.lag2","for_prod.lag1","for_prod_lag2"
"rice_med.lag1",-0.304144746035376,-0.197281886006616,-0.0351733329362294,-0.0345218220487768,0.225968532717941,0.37536740928419,0.355678664341783,0.0396780372240407,0.369277485595022,-0.188781751131156,1,-0.038516460562653,0.249370638680675,0.335490944947442,0.591703391576883,0.302147726720006,0.146406023720068,-0.16110568989463,0.033522892881513,0.254800618047488
"rice_med.lag2",-0.23527039951141,-0.195472150119329,-0.0494321640738456,-0.0715923396340721,-0.318764018169223,0.21140708406231,0.0475022096424769,0.288908939516825,0.198824253599235,0.38523788889293,-0.038516460562653,1,-0.508525329205231,0.202274397009251,-0.289429633474794,0.542084150567831,0.189215526574028,0.140167547487546,0.108376114176279,0.121283635390378
"rub_med.lag1",-0.134669898850961,-0.0629349527388691,-0.0288731115280418,-0.0138099009465852,0.87686894035239,-0.0593607445918882,0.439040583645994,-0.13099086367884,0.00757680953294086,0.187211583956914,0.249370638680675,-0.508525329205231,1,-0.0515378196758808,0.559269382541457,-0.619501353507719,0.475337274412691,0.193016907463373,0.0778860674002663,0.160723520468968
"rub_med.lag2",-0.146124328065896,-0.107080877833112,-0.0469573259187138,-0.0543492635799297,0.112219971025611,0.883041746374815,0.355264082627806,0.379341095215808,-0.323308675844306,0.0322493408216672,0.335490944947442,0.202274397009251,-0.0515378196758808,1,0.525762814028792,0.519465335284687,0.235084218007867,0.477070748769445,-0.0961821114604633,0.155251447568963
"corn.med.lag1",-0.127687411380895,-0.0781201992499186,-0.033047030026797,-0.0313571217147241,0.557533317005907,0.409922811198872,0.406641249928095,0.267607590723341,-0.153689625148474,-0.0727089541696736,0.591703391576883,-0.289429633474794,0.559269382541457,0.525762814028792,1,-0.0176596792041561,0.131422117601971,0.266914229384141,-0.0717959259401925,0.194979573960347
"corn_med.lag2",-0.23409580857668,-0.271062859678115,-0.160120606121309,-0.175056207282567,-0.413769822223123,0.577290665537957,0.00278761120547493,0.349408999937619,0.0240715748039371,-0.171041279424133,0.302147726720006,0.542084150567831,-0.619501353507719,0.519465335284687,-0.0176596792041561,1,-0.126624462545296,0.106393599202011,0.0103199012406448,0.0245376325778229
"sug_med.lag1",-0.249789230618764,-0.232644339769643,-0.168613374673145,-0.164133521027732,0.52942391065466,0.287908829791056,0.467584340279292,0.128678277375164,0.129869269417702,0.502062707190235,0.146406023720068,0.189215526574028,0.475337274412691,0.235084218007867,0.131422117601971,-0.126624462545296,1,0.134980712659248,-0.139576789189108,0.050743464574629
"sug_med.lag2",-0.0874075879996853,-0.10580603338055,-0.101699919375513,-0.112985338699201,0.125025600317008,0.528721192665456,0.211867064050601,0.415976996604476,-0.341614573278758,0.166698182395762,-0.16110568989463,0.140167547487546,0.193016907463373,0.477070748769445,0.266914229384141,0.106393599202011,0.134980712659248,1,0.272266704921609,-0.0641566262657594
"for_prod.lag1",-0.320677429760475,-0.442215028779828,-0.313920874334318,-0.338697983188273,0.0733249517636226,-0.109930780189689,0.12833005689802,-0.0486074753602889,-0.0120426015123751,0.0175481319030426,0.033522892881513,0.108376114176279,0.0778860674002663,-0.0961821114604633,-0.0717959259401925,0.0103199012406448,-0.139576789189108,0.272266704921609,1,0.245569983253066
"for_prod_lag2",-0.427220782703915,-0.372252197181817,-0.0352817105123145,-0.0489380516554522,0.279573944213136,0.114389157740432,0.385980559412856,0.0769291176729889,0.146983598825019,0.119330030428446,0.254800618047488,0.121283635390378,0.160723520468968,0.155251447568963,0.194979573960347,0.0245376325778229,0.050743464574629,-0.0641566262657594,0.245569983253066,1
