fid,KHUM50_,KHUM50_ID,CODEKHUM,KHUM_NAME,PERIMETER,AREA,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100
130,131,160306,160306,Ting Chak,37425.14,47038347.22,0,0,0,0,0,0,0,52
131,132,171305,171305,Ta Siem,90150.05,396569339.2,701,2286,0,0,0,0,0,992
132,133,160702,160702,Lum Choar,39901.76,77996031.57,37,1,0,0,0,0,0,101
133,134,170102,170102,Doun  Peaeng,34828.95,63669899.02,3,0,0,0,0,0,0,0
134,135,170302,170302,Khun Ream,78726.52,212037507,1127,67,0,0,0,0,0,188
135,136,160203,160203,Yeak Laom,36177.9,57372804.47,0,0,0,0,0,0,0,19
136,137,10507,10507,Soengh,44178.26,89974352.87,0,0,0,0,0,0,0,0
137,138,130204,130204,Sangke Pir,36017.8,61853383.11,0,605,0,0,0,0,0,50
138,139,160202,160202,Labansiek,14925.45,11674860.66,0,0,0,0,0,0,0,0
139,140,170103,170103,Kouk Doung,50770.13,144338239.5,385,0,0,0,0,0,0,10
140,141,170607,170607,Saen Sokh,36132.06,62844425.54,0,0,0,0,0,0,0,0
141,142,10407,10407,Tean Kam,41965.26,59574501.68,0,0,0,0,0,0,0,0
142,143,160303,160303,Laming,38563.46,54136393.33,0,0,0,0,0,0,0,78
143,144,130102,130102,Tasu,70443.78,143087482.6,2,783,0,0,0,0,0,553
144,145,170104,170104,Koul,21958.94,12855744.14,0,0,0,0,0,0,0,0
145,146,160201,160201,Kachanh,59401.37,132637021.1,10,7,0,0,0,0,0,162
146,147,10508,10508,Paoy Paet,47346.85,96440954.26,0,0,0,0,0,0,0,0
147,148,10601,10601,Bos Sbov,45346.35,112559631.3,0,0,0,0,0,0,0,0
148,149,190103,190103,Phluk,99891.1,356058079,281,2156,0,0,0,0,0,920
149,150,170604,170604,Krouch Kor,25093.81,30746993.01,0,0,0,0,0,0,0,0
150,151,10504,10504,Nimitt,60636.19,169259664.5,0,0,0,0,0,0,0,0
151,152,10402,10402,Chob Veari,41374,83911120.5,2,0,0,0,0,0,0,0
152,153,170107,170107,Ta Saom,35269.23,48118978.54,0,0,0,0,0,0,0,0
153,154,10501,10501,Changha,49098.38,66286165.02,0,0,0,0,0,0,0,0
154,155,10604,10604,Mkak,36352.38,71853462.9,0,0,0,0,0,0,0,0
155,156,130603,130603,Phnum Tbaeng Muoy,49600.62,144313835.3,243,641,0,0,0,0,0,138
156,157,170101,170101,Char Chhuk,32543.8,51152527.25,0,0,0,0,0,0,0,0
157,158,130706,130706,Preah Khleang,51877.1,121605143.8,29,789,0,0,0,0,0,408
158,159,160707,160707,Ya Tung,111490.88,441150292.3,218,1400,0,0,34,0,0,1632
159,160,160304,160304,Lung Khung,55462.32,118988376.2,8,17,0,0,0,0,0,222
160,161,160405,160405,Trapeang Chres,92973.42,256217933.4,77,1040,0,0,121,0,0,1090
161,162,10506,10506,Souphi,38198.94,78597575.1,0,0,0,0,0,0,0,0
162,163,10502,10502,Koub,56997.22,77492768.95,0,0,0,0,0,0,0,0
163,164,160504,160504,La Bang Pir,27774.05,33611806.1,0,45,0,0,0,0,0,46
164,165,170201,170201,Chob Ta Trav,40780.32,94191297.4,277,0,0,0,0,0,0,0
165,166,170601,170601,Chonloas Dai,37231.47,71996067.72,0,0,0,0,0,0,0,0
166,167,170203,170203,Peak Snaeng,56058.97,131787007.8,281,0,0,0,0,0,0,5
167,168,10406,10406,Rohal,77280.26,151493588,0,28,0,0,0,0,0,14
168,169,160305,160305,Seung,31095.96,46466687.4,0,0,0,0,0,0,0,68
169,170,130602,130602,Ro'ang,56050.29,114445883.4,151,235,0,0,0,0,0,162
170,171,130103,130103,Khyang,45701.18,103244176.3,0,692,0,0,0,0,0,156
171,172,160704,160704,Pate,134338.96,477134968.1,243,1937,0,0,11,0,0,2348
172,173,170610,170610,Ta an,27783.49,24411300.37,0,0,0,0,0,0,0,0
173,174,170608,170608,Snuol,36782.15,73794032.87,0,0,0,0,0,0,0,0
174,175,190510,190510,Srae Ruessei,54401.59,144618688.6,199,813,0,0,0,0,0,436
175,176,160701,160701,Bar Kham,139296.83,320842425.9,118,1267,0,0,12,0,0,1523
176,177,130104,130104,Chrach,81363.11,293205017.4,266,1398,0,0,2,0,0,1184
177,178,10408,10408,Tuek Chour,64772.45,76124221.35,0,0,0,0,0,0,0,0
178,179,170105,170105,Nokor Pheas,29230.71,54297087.66,1,0,0,0,0,0,0,0
179,180,10401,10401,Chhnuor Mean Chey,32268.24,49395557.09,0,0,0,0,0,0,0,0
180,181,10602,10602,Kampong Svay,34187.45,43110876.7,0,0,0,0,0,0,0,0
181,182,130101,130101,S'ang,31714.04,35742600.85,0,182,0,0,0,0,0,70
182,183,171303,171303,Khnang Phnum,63126.83,201769691.3,1140,40,0,0,0,0,0,100
183,184,160503,160503,La Bang Muoy,38392.16,50798495.98,11,108,0,0,29,0,0,111
184,185,130106,130106,Putrea,84256.07,171666180.1,2,1209,0,0,0,0,0,376
185,186,10403,10403,Phnum Lieb,105626.84,247522101,3,17,0,0,5,0,0,51
186,187,130105,130105,Yhmea,78782.92,352388577.5,2000,617,0,0,0,0,0,1188
187,188,130601,130601,Chamraeun,51367.73,140410595.2,259,768,17,0,0,0,0,168
188,189,10606,10606,Phniet,39927.47,41069002.01,0,0,0,0,0,0,0,0
189,190,130604,130604,Sdau,95707.26,384686823.2,429,2722,0,0,0,0,0,926
190,191,190511,190511,Thala,43749.4,88466671.98,19,462,0,0,0,0,0,154
191,192,171304,171304,Svay Leu,80614.71,279062026.5,615,1121,0,0,0,0,0,151
192,193,170605,170605,Roung Kou,21861.21,16202525.37,0,0,0,0,0,0,0,0
193,194,170703,170703,Kdei Run,27280.34,34426535.62,0,0,0,0,0,0,0,0
194,195,160502,160502,Ka Laeng,111525.81,520210511,91,2075,0,0,24,0,0,3015
195,196,130509,130509,Reaksa,80220.39,166917750.3,64,1222,0,0,0,0,0,129
196,197,10405,10405,Preah Netr Preah,72328.14,117951778.7,0,0,0,0,0,0,0,23
197,198,170301,170301,Khnar Sanday,43238.88,77127058.34,75,0,0,0,0,0,0,6
198,199,170306,170306,Tbaeng,53649.74,143061334.2,228,0,0,0,0,0,0,12
199,200,130510,130510,Rumdaoh,73148.77,202289944.1,109,1506,0,0,0,0,0,165
200,201,10607,10607,Preah Ponlea,23898.23,14142963.79,0,0,0,0,0,0,0,0
201,202,170602,170602,Kampong Thkov,18976.91,15408428.01,0,0,0,0,0,0,0,0
202,203,170711,170711,Prey Chruk,64534.72,119758417.8,0,6,0,0,22,0,0,22
203,204,190506,190506,Ou Rai,66652.46,146713040.7,247,568,0,0,0,0,0,323
204,205,10608,10608,Tuek Thla,35339.13,50793697.73,0,0,0,0,0,0,0,0
205,206,10905,10905,Tuol Pongro,61812.61,160594170.2,58,8,0,0,0,0,0,169
