CommCode,Commune,perc_change
170401,Anlong Samnar,59.16666667
170402,Chi Kraeng,0
170404,Khvav,0
170405,Kouk Thlok Kraom,0
170406,Kouk Thlok Leu,0
170407,Lveaeng Ruessei,0
170408,Pongro Kraom,0
170409,Pongro Leu,0
170410,Ruessei Lok,0
170411,Sangvaeuy,0
170412,Spean Tnaot,16.66666667
170606,Sambuor,0
170609,Sranal,0
170704,Kaev Poar,0
170706,Krabei Riel,0
170707,Lvea,0
170708,Mukh Paen,0
170709,Pou Treay,0
170710,Puok,0
170711,Prey Chruk,0
170712,Reul,0
170713,Samraong Yea,0
170714,Tuek Vil,0
170715,Trei Nhoar,0
170904,Kampong Phluk,0
170906,Kandaek,0
170908,Roluos,0
171002,Svay Dangkum,0
171003,Kouk Chak,0
171005,Nokor Thum,0
171006,Chreav,4.054054054
171008,Sambuor,0
171009,Siem Reab,0
171010,Srangae,0
171101,Chan Sar,0
171103,Dan Run,0
171104,Kampong Khleang,56.96202532
171106,Khchas,0
171107,Khnar Pou,0
171108,Popel,0
171201,Chrouy Neang Nguon,0
171203,Tram Sasar,0
171204,Moung,0
171205,Prei,0
171206,Slaeng Spean,0
171301,Boeng Mealea,0
171302,Kantuot,0
171303,Khnang Phnum,0.3125
171304,Svay Leu,0
171305,Ta Siem,0
171401,Prasat,0.574712644
171402,Lvea Krang,0
171403,Srae Nouy,0.491668943
171404,Svay sa,0
171405,Varin,0
180101,Sangkat Muoy,0
180103,Sangkat Bei,0
180103,Sangkat Bei,0
180105,Kaoh Rung,0
180105,Kaoh Rung,0
180105,Kaoh Rung,0
180201,Andoung Thma,18.14159292
180202,Boeng Ta Prum,0
180203,Bet Trang,0
180204,Cheung Kou,0
180205,Ou Chrov,0
180206,Ou Oknha Heng,11.15702479
180206,Ou Oknha Heng,0
180207,Prey Nob,6.25
180208,Ream,4.545454545
180208,Ream,0
180208,Ream,0
180208,Ream,0
180208,Ream,0
180209,Sameakki,0
180210,Samrong,2.083333333
180211,Tuek L'ak,0
180212,Tuek Thla,0
180213,Tuol Toetueng,13.28125
180302,Ou Treh,4.680851064
180303,Tumnob Rolok,15.06024096
190101,Kampun,5.711206897
190102,Kbal Romeas,1.713475908
190103,Phluk,0.595770033
190104,Samkhuoy,0
190105,Sdau,0
190106,Srae Kor,0.024467825
190107,Ta Lat,0
190201,Kaoh Preah,0
190202,Kaoh Sampeay,6.363636364
190203,Kaoh Sralau,0
190204,Ou Mreah,0
190205,Ou Ruessei Kandal,0
190206,Siem Bouk,0.01770695
190207,Srae Krasang,27.67295597
190301,Preaek Meas,0
190302,Sekong,0
190303,Santepheap,0.0047524
190304,Srae Sambour,0
190305,Thma Kaev,0
190401,Stung Treng,45.97701149
190402,Sarh Ruessei,0
190403,Preah Bat,0
190404,Sameaki,0
190501,Anlong Phe,0.037133309
190502,Chamkar Leu,0
190503,Kang Cham,0
190504,Kaoh Snaeng,0.707338638
190505,Anlong Chrey,0.213642606
190506,Ou Rai,0.087873462
190507,Ou Svay,0
190508,Preah Rumkel,0
190509,Sam'ang,1.60971477
190510,Srae Ruessei,2.279005525
190511,Thala,0
200101,Bati,0
200102,Bavet,0
200103,Chantrea,0
200104,Chres,0
200106,Prasat,0
200108,Prey Kokir,0
200109,Samraong,0
200110,Tuol Sdei,0
200207,Samlei,0
200310,Thna Thnong,0
200401,Ampil,0
200402,Andoung Pou,0
200403,Andoung Trabaek,0
200406,Chrey Thum,0
200407,Doung,0
200409,Kokir,0
200412,Mream,0
200414,Sambatt Mean Chey,0
200416,Tras,0
200702,Kokir Saom,0
200703,Kandieng Reay,0
200705,Popeaek,0
200706,Prey Ta Ei,0
200708,Romeang Thkaol,0
200709,Sambuor,0
200711,Svay Rumpea,0
210207,Krang thnong,0
210208,Lumpong,0
210302,Chey Chouk,0
210304,Kampong Krasang,0
210406,Kouk Prech,0
210409,Prey Rumdeng,0
210410,Ream Andaeuk,0
210504,Prey Yuthka,0
210903,Kus,0
210910,Samraong,0
210913,Tram Kak,0
210914,Trapeang Thum Khang Cheu,0
210915,Trapeang Thum Khang Tbou,0
220101,Anlong Veaeng,1.124567474
220104,Trapeang Prei,0
220105,Thlat,0.695249131
220106,Lumtong,0.35626199
220201,Ampil,0
220202,Beng,0
220203,Kouk Khpos,0
220204,Kouk Mon,0
220301,Cheung Tien,0
220302,Chong Kal,0.067842605
220304,Pongro,0
220304,Pongro,0
220401,Bansay Reak,0
220402,Bos Sbov,0
220403,Kriel,0
220404,Samraong,0
220405,Ou Smach,0
220501,Bak Anlung,0
220502,Ph'av,1.450068399
220503,Ou Svay,0
220504,Preah Pralay,0
220505,Tumnob Dach,0
220506,Trapeang Prasat,2.45142003
230101,Angkaol,0
230103,Pong Tuek,0
230201,Kaeb,0
230202,Prey Thum,0
240101,Pailin,0.111234705
240102,Ou Tavau,0.666666667
240103,Tuol Lvea,0
240104,Ba Yakha,0
240202,Stueng Trang,0
240203,Stueng Kach,0
240204,Ou Andoung,0
