"","(Intercept)","agr_gdp","dev_agri","dev_env","fdi","for_rem","gdp","gdp_gr","pop_den","time","df","logLik","AICc","delta","weight"
"407",-6302.54239050857,NA,0.0337509902206757,0.227834828583933,NA,0.0844588579697009,NA,NA,-597.149961554652,1.06725240098028,7,-90.2003306931454,203.733994719624,6.85534275437871,0.0124391073226248
"437",-6410.05714019757,NA,NA,0.18313345240899,NA,0.0854285351993649,0.405932116543539,NA,-593.915252763043,1.0686286141062,7,-90.3514070160756,204.036147365485,7.15749540023907,0.0106949215058356
"411",-6312.97497747893,NA,0.0312682349302271,NA,0.00856071037082198,0.0845756436066298,NA,NA,-597.586273731311,1.06737559447889,7,-90.4643907660114,204.262114865356,7.38346290011066,0.00955233142756389
"441",-6415.86167702698,NA,NA,NA,0.00536818423188183,0.0855046865056432,0.398386531577357,NA,-594.690060721136,1.06836460812938,7,-90.5317377938451,204.396808921024,7.51815695577804,0.00893019494864238
"434",-6409.85568617858,-0.84283601559386,NA,NA,NA,0.0854800179828526,0.381280954733879,NA,-597.390900506051,1.06610453809022,7,-90.535395811209,204.404124955751,7.52547299050585,0.00889758781554664
"499",-6474.2112223696,NA,0.0437387035130281,NA,NA,0.0859059963953503,0.740601904493845,-3.62974660323046,-587.786765139446,1.0764659859082,8,-87.8165118080875,204.723932707084,7.84528074183859,0.00758275304585233
"406",-6306.08352152634,-4.19629244117358,NA,0.210685014115341,NA,0.0845443877240682,NA,NA,-603.714478262882,1.06241621628911,7,-90.8100068368641,204.953347007062,8.07469504181608,0.00676098900849967
"469",-6289.98171809469,NA,NA,0.231351913791235,NA,0.0842893019880671,NA,-1.32759866814755,-594.984231590711,1.07674641392493,7,-90.8544877383552,205.042308810044,8.1636568447982,0.0064668445250397
"466",-6302.56240318211,-3.99721244242507,NA,NA,NA,0.0845146519889763,NA,-1.12400923018157,-603.979942729622,1.06654444143636,7,-90.8563016247782,205.04593658289,8.16728461764427,0.00645512503568043
"473",-6304.82004017705,NA,NA,NA,0.0214239917194907,0.0843964532850309,NA,-1.4805453309557,-592.281434242163,1.07874814265139,7,-90.9532624807062,205.239858294746,8.36120632950033,0.00585861682210315
"410",-6317.1649848726,-3.83705898399006,NA,NA,0.0118961385935136,0.0846472567950188,NA,NA,-602.652075922601,1.06347450975641,7,-90.986212915459,205.305759164251,8.4271071990058,0.00566871864572002
"413",-6304.6705553953,NA,NA,0.170790855045782,0.00345484290571562,0.0844758132237738,NA,NA,-596.794657400691,1.07116995823405,7,-91.1104330877499,205.554199508833,8.67554754358775,0.00500652935487057
"501",-6454.40402319788,NA,NA,0.296928555052922,NA,0.0856719058999504,0.690760071462155,-3.20499495718965,-585.481329852239,1.08137099213551,8,-89.0427012675641,207.176311626037,10.2976596607919,0.00222484416040583
"505",-6465.04481266713,NA,NA,NA,0.0241161644742392,0.0857517753578097,0.65954096868668,-3.24990662928242,-583.287351099161,1.08306180547825,8,-89.3120766898375,207.715062470584,10.8364105053387,0.00169946152455565
"439",-6412.12511375535,NA,0.0343668091685051,0.227779216094113,NA,0.0854402615340197,0.414709266848772,NA,-593.532965677916,1.06493948204705,8,-89.3224709757816,207.735851042472,10.8571990772267,0.00168188832417223
"471",-6282.70631421867,NA,0.0406831763787573,0.310038559144495,NA,0.084181372338155,NA,-2.05089976050145,-593.278589096327,1.07565963917956,8,-89.5475348187046,208.185978728318,11.3073267630728,0.00134292936572054
"498",-6463.57435054644,0.919459785172151,NA,NA,NA,0.0858280340551101,0.681553874499759,-2.78522733860326,-587.901607315587,1.07997551714339,8,-89.5683341456314,208.227577382172,11.3489254169263,0.00131528581895695
"436",-6407.86213534221,-1.60965677601153,0.0329463143735912,NA,NA,0.0854753525572508,0.366957436567388,NA,-598.874107433014,1.0609088073786,8,-89.6093761824261,208.309661455761,11.4310094905158,0.00126239657502101
"468",-6299.36246639997,-4.89882441605075,0.039120969992658,NA,NA,0.0844769169263861,NA,-1.74392735755859,-604.66218353294,1.0629507975378,8,-89.6361250968946,208.363159284698,11.4845073194528,0.00122907646213563
"443",-6418.97464169269,NA,0.0321747748451411,NA,0.00251610809245695,0.0855456960116916,0.410961015203951,NA,-595.394958809562,1.06433504852299,8,-89.64576376882,208.382436628549,11.5037846633035,0.00121728670741097
"408",-6306.46802662619,-5.02432121890668,0.0362987864298209,0.263130992539853,NA,0.0845499546262566,NA,NA,-604.627499361507,1.05690995395784,8,-89.7227470516433,208.536403194196,11.6577512289502,0.00112709225296472
"475",-6301.39528086376,NA,0.0368229269971486,NA,0.0224303054498701,0.0843429176649971,NA,-2.06609586887096,-591.364574762669,1.07722251801247,8,-89.8773522068919,208.845613504693,11.9669615394474,0.000965640114531234
"503",-6474.22209761617,NA,0.0498968731135924,0.404898566293238,NA,0.08578121339144,0.811505569982729,-4.42027581406792,-581.728287047355,1.08084647130724,9,-86.6241731160736,209.248346232147,12.3696942669018,0.000789519749691921
"412",-6317.71712857181,-4.48572625933324,0.0332229910234399,NA,0.0092650503138714,0.0846729331650275,NA,NA,-604.433183272766,1.05809944814416,8,-90.0899972030898,209.270903497089,12.3922515318432,0.000780665074783667
"415",-6301.26163048316,NA,0.0339494826742165,0.237055772335218,-0.00234936882156498,0.0844533184172814,NA,NA,-597.594068044945,1.06699931144147,8,-90.1980702185214,209.487049527952,12.6083975627064,0.000700695351253949
"438",-6400.52744756768,-1.34377252006942,NA,0.191770623880029,NA,0.0853582731279974,0.365876967481105,NA,-596.270033262342,1.06615178728249,8,-90.3258564019423,209.742621894794,12.8639699295481,0.000616641006527634
"445",-6409.48829727732,NA,NA,0.197301559535033,-0.00371671191782578,0.0854328868692615,0.411438357041309,NA,-594.572674464149,1.0682316559065,8,-90.3458979084995,209.782704907908,12.9040529426626,0.00060440560918827
"470",-6292.18327802396,-4.59601331744511,NA,0.265813437753083,NA,0.08435365074241,NA,-1.47339034749274,-601.574256327617,1.06818244230163,8,-90.4809770670272,210.052863224964,13.1742112597181,0.00052803699757558
"442",-6409.18403353646,-0.971767896961419,NA,NA,0.00598989107335783,0.0854551119093916,0.368508747710787,NA,-596.3240722624,1.06661990414087,8,-90.5185823467472,210.128073784403,13.249421819158,0.000508548745726906
"474",-6308.55664795951,-4.21120537765316,NA,NA,0.0231336916410385,0.0844724653332963,NA,-1.60975673392907,-598.267814385238,1.07092275772121,8,-90.6395463099876,210.370001710884,13.4913497456388,0.000450607696971051
"477",-6295.13283604051,NA,NA,0.18809164824249,0.0134422353241586,0.0842904839169254,NA,-1.55239199386839,-592.015540098178,1.07907616467899,8,-90.791532443418,210.673973977745,13.7953220124997,0.000387072098234836
"414",-6307.70039870534,-4.18878422995879,NA,0.199267894583171,0.00298011768182472,0.0845512110884557,NA,NA,-603.137691008661,1.06272562699594,8,-90.8065354153204,210.70397992155,13.8253279563044,0.000381308212245902
"507",-6483.79152831863,NA,0.0442380533686192,NA,0.0257092456827941,0.0858808386604635,0.753645331632692,-4.2058262739304,-580.902571092358,1.08184444225821,9,-87.4505791005619,210.901158201124,14.0225062358783,0.000345509059518988
"500",-6477.81988412587,0.457417734789932,0.0436538427495327,NA,NA,0.0859312546221335,0.756968949394223,-3.66079076532443,-586.8838033938,1.07745165549372,9,-87.8128193266506,211.625638653301,14.7469866880556,0.00024051408137521
"472",-6284.8198584858,-5.83637284100768,0.0444977695433974,0.361178392924722,NA,0.0842529675070675,NA,-2.30385647378356,-601.487184864668,1.06468254657944,9,-88.8631626625049,213.72632532501,16.8476733597644,8.4136064378903e-05
"509",-6459.59131117638,NA,NA,0.253538902159988,0.0134848963029528,0.0856732582617165,0.690843347072841,-3.43072803103772,-582.502071129129,1.08370869423094,9,-88.9667120595346,213.933424119069,17.0547721538238,7.58597245607022e-05
"502",-6457.85484466025,0.431838148487437,NA,0.295149368706773,NA,0.085696616637683,0.706126467402149,-3.23306034578485,-584.650737729497,1.08227853350514,9,-89.039804246215,214.07960849243,17.2009565271846,7.0512762280046e-05
"440",-6395.84375303609,-2.30487348938307,0.0354339773621404,0.243980269975627,NA,0.0853201103358922,0.346278186616615,NA,-597.560075392761,1.06057660841404,9,-89.2399665631818,214.479933126364,17.6012811611181,5.77215970081775e-05
"447",-6410.63760246726,NA,0.0352394059513492,0.267269872720647,-0.0100621895733565,0.0854523404739471,0.429839073889613,NA,-595.303085491913,1.0637711344273,9,-89.2783304153236,214.556660830647,17.6780088654016,5.55491130674416e-05
"506",-6470.78193418065,0.728893537782365,NA,NA,0.0239275070701166,0.0857926192509476,0.685819199655959,-3.29803920216214,-581.892849512605,1.08458812694106,9,-89.3040020797313,214.608004159463,17.7293521942172,5.41412236309686e-05
"476",-6305.6950525435,-5.13744893534307,0.0396043894909436,NA,0.0245920624514845,0.0844316044884097,NA,-2.26795721935642,-598.598387444685,1.06756072040208,9,-89.3587562542734,214.717512508547,17.8388605433013,5.12564626535548e-05
"479",-6286.93469548361,NA,0.0403593932165648,0.274387685146201,0.0108831828350157,0.0841831882327649,NA,-2.22714177500343,-590.888633973917,1.07755451515727,9,-89.5006326337829,215.001265267566,18.1226133023204,4.44766944214441e-05
"444",-6407.47467578727,-1.68226191797016,0.0327942976274882,NA,0.00353745038133394,0.0854606653023625,0.359480643169873,NA,-598.237226976985,1.06123714063055,9,-89.6029671453515,215.205934290703,18.3272823254575,4.01503364244739e-05
"416",-6304.64153198831,-5.03949186018884,0.0365913868821573,0.276472913358361,-0.00337218297733013,0.0845422784519052,NA,NA,-605.287528703836,1.0565154517092,9,-89.7178659160292,215.435731832058,18.5570798668129,3.57922735994632e-05
"446",-6400.30662952187,-1.30645533085032,NA,0.203622114748311,-0.00317191711448549,0.0853639381415631,0.371688454635016,NA,-596.765696885201,1.06588179776245,9,-90.3218537468368,216.643707493674,19.7650555284281,1.95650383943911e-05
"478",-6297.52815567793,-4.62432369081237,NA,0.221252098068874,0.0139124773489569,0.0843552703913734,NA,-1.70694553231399,-598.542305819768,1.070540941319,9,-90.410963403609,216.821926807218,19.9432748419725,1.78970261341991e-05
"511",-6478.0774692038,NA,0.0495810441950569,0.370917200479285,0.0103485380327373,0.0857815593404283,0.810805202348323,-4.58581491940091,-579.465708781163,1.082643783551,10,-86.5673408109119,217.579126066268,20.7004741010227,1.22562367730921e-05
"504",-6472.00898218434,-0.280529024274416,0.0499688651123321,0.406210135273666,NA,0.0857653186083494,0.801697524927752,-4.40379751157289,-582.262438133273,1.08025616101325,10,-86.6226218739118,217.689688192268,20.8110362270226,1.15970861056146e-05
"508",-6485.71960936629,0.247500981426712,0.0441908594037044,NA,0.025643486192138,0.0858945698075867,0.762467899476516,-4.2211502385873,-580.431602294059,1.08236401426473,10,-87.4494603405333,219.343365125511,22.4647131602655,5.07291398070413e-06
"480",-6289.19043244503,-5.85017068907768,0.0441724988926845,0.324491674372254,0.0112363036741512,0.0842550115801513,NA,-2.48641493748852,-599.039090193252,1.06661295349588,10,-88.8096123369755,222.063669118395,25.1850171531499,1.30182015663517e-06
"510",-6462.74047716819,0.395985292365372,NA,0.252034196904154,0.0134454991346663,0.0856959134683826,0.70493372270468,-3.45580382699301,-581.749142078798,1.08453405826447,10,-88.9642582372273,222.372960918899,25.4943089536537,1.11529339569377e-06
"448",-6395.09424711877,-2.21611635438117,0.0362003442000017,0.279899271054834,-0.00931109799247717,0.085335914481963,0.362913805759463,NA,-599.04298690712,1.05966347959432,10,-89.2019914906643,222.848427425773,25.9697754605275,8.79311777959219e-07
"512",-6475.69050137372,-0.303762753071532,0.0496582253096724,0.372254187914715,0.0103738775812424,0.0857643489806485,0.800183129060216,-4.56837720633506,-580.038558684814,1.08200898401491,11,-86.5655119270965,228.131023854193,31.2523718889476,6.26673962752759e-08
"273",-5052.37469022592,NA,NA,NA,NA,0.0622382869959537,NA,NA,NA,1.0807655515518,4,-115.926464051082,242.519594768831,45.6409428035853,4.70547180537404e-11
"281",-5143.11295621417,NA,NA,NA,0.0994113160948314,0.0631331350740022,NA,NA,NA,1.09211630439459,5,-115.526668319773,245.339050925261,48.4603989600152,1.14912176411123e-11
"274",-5080.31448491239,12.1812642551753,NA,NA,NA,0.0626848000501828,NA,NA,NA,1.10523893343694,5,-115.700299153131,245.686312591975,48.80766062673,9.65959987805704e-12
"305",-5266.92043478455,NA,NA,NA,NA,0.0642820809324479,0.759502962502688,NA,NA,1.07653682726567,5,-115.707706459046,245.701127203806,48.8224752385607,9.5883126159691e-12
"277",-5048.21921443496,NA,NA,0.538676086291189,NA,0.0621815728546749,NA,NA,NA,1.08342723120076,5,-115.793392725482,245.872499736679,48.9938477714337,8.80094106106239e-12
"337",-5037.09306718113,NA,NA,NA,NA,0.0620668418739327,NA,-2.78876589200681,NA,1.0926105115537,5,-115.826147220675,245.938008727064,49.0593567618182,8.51734062866204e-12
"275",-5053.02683353218,NA,0.0305341638234082,NA,NA,0.062244545507317,NA,NA,NA,1.07732909132583,5,-115.865727507068,246.01716929985,49.138517334605,8.18680631869701e-12
"306",-5497.43954768877,22.1555428913706,NA,NA,NA,0.0668060721217801,1.39565593040464,NA,NA,1.11750759344467,6,-115.087909081228,248.637356623995,51.7587046587497,2.20875765601334e-12
"345",-5145.50770985765,NA,NA,NA,0.135008739106295,0.0631159047832333,NA,-5.49244666690142,NA,1.1195093377989,6,-115.169708521124,248.800955503786,51.9223035385403,2.03527464600595e-12
"369",-5384.54618276936,NA,NA,NA,NA,0.0653459819838287,1.2943013666045,-6.10343718715752,NA,1.09948284454654,6,-115.321317800079,249.104174061696,52.2255220964508,1.74896029111758e-12
"282",-5164.42213195175,11.1406360851302,NA,NA,0.0947619221130356,0.0634996517647251,NA,NA,NA,1.11396809354839,6,-115.330978157657,249.123494776852,52.2448428116067,1.73214605584034e-12
"313",-5307.8915735168,NA,NA,NA,0.0900082266414355,0.0646999587777204,0.613708063375243,NA,NA,1.0876256881781,6,-115.382235020032,249.226008501602,52.3473565363569,1.64559870442873e-12
"283",-5141.79315735406,NA,0.0258130306460144,NA,0.0973613605491121,0.0631199732911009,NA,NA,NA,1.08897711970216,6,-115.481700571799,249.424939605136,52.5462876398901,1.48979528856784e-12
"285",-5134.30451729737,NA,NA,0.18013930361346,0.091283402253982,0.0630410060506501,NA,NA,NA,1.09207835716764,6,-115.51400109825,249.489540658038,52.6108886927929,1.44244298551223e-12
"309",-5261.48376454577,NA,NA,0.533215574417655,NA,0.0642133355765378,0.754818348278902,NA,NA,1.07919760847442,6,-115.57444277072,249.610424002978,52.7317720377329,1.35784179167514e-12
"278",-5074.48343915767,11.1780950137588,NA,0.457609269013803,NA,0.0625998490786871,NA,NA,NA,1.10548458209414,6,-115.603807878447,249.669154218432,52.7905022531863,1.31854837248089e-12
"338",-5065.44038757036,11.617285081477,NA,NA,NA,0.0625117666551467,NA,-2.4783282702303,NA,1.11463225487259,6,-115.619833572717,249.701205606973,52.8225536417276,1.29758613521519e-12
"341",-5027.51423512438,NA,NA,0.663291697368983,NA,0.061946947844469,NA,-3.60305045670485,NA,1.09934651504023,6,-115.630393729709,249.722325920957,52.8436739557112,1.283955519309e-12
"307",-5269.92650444321,NA,0.0316880373705569,NA,NA,0.0643107650303535,0.767748740936805,NA,NA,1.07292459416403,6,-115.640851742696,249.74324194693,52.8645899816848,1.2705978648193e-12
"276",-5079.75157520958,11.6995057310854,0.0253811033389898,NA,NA,0.0626723431443523,NA,NA,NA,1.10141452197727,6,-115.657770646578,249.777079754694,52.8984277894489,1.24928157428574e-12
"279",-5048.62688994894,NA,0.0358459532888469,0.585072896494723,NA,0.0621840352540163,NA,NA,NA,1.07962221051418,6,-115.709464735681,249.8804679329,53.001815967655,1.18634192070129e-12
"339",-5034.54543664586,NA,0.0408403535905955,NA,NA,0.0620368449223504,NA,-3.41286695177555,NA,1.09066494058362,6,-115.721228448312,249.903995358163,53.0253433929178,1.17246790025429e-12
"370",-5685.35389835401,26.0040148486023,NA,NA,NA,0.0685819734149866,2.17847637894601,-7.67290535183227,NA,1.15347078585606,7,-114.449971488311,252.233276309956,55.3546243447107,3.65850817140545e-13
"377",-5500.90867528087,NA,NA,NA,0.136942001186358,0.0664704245426605,1.31812495086422,-8.90684497200938,NA,1.12689334515496,7,-114.609198610453,252.55173055424,55.6730785889946,3.11998545121158e-13
"314",-5509.0057425296,20.1025220841343,NA,NA,0.0723363370059294,0.0669080222706784,1.2195374078139,NA,NA,1.12262279321494,7,-114.871009393418,253.075352120169,56.1967001549234,2.40131752571373e-13
"310",-5482.51119461947,21.089101878046,NA,0.375880689272103,NA,0.0666361208365062,1.36173283376698,NA,NA,1.11741116494248,7,-115.019165252904,253.371663839141,56.4930118738959,2.07064819571565e-13
"346",-5163.71747438466,9.60852803806885,NA,NA,0.12848836059566,0.0634332316355653,NA,-5.10511024690508,NA,1.13642417319819,7,-115.021025516898,253.375384367129,56.4967324018836,2.06679982403664e-13
"373",-5399.98406878824,NA,NA,0.781695684912228,NA,0.0654569222506095,1.39386103426922,-7.31804908230995,NA,1.10794992035669,7,-115.037207510149,253.407748353631,56.5290963883857,2.03362403239044e-13
"347",-5143.62411000444,NA,0.0425485837490817,NA,0.1359683553058,0.0630921096864185,NA,-6.16186925613749,NA,1.11767358109213,7,-115.048035792346,253.429404918026,56.5507529527809,2.01172217125255e-13
"308",-5494.45605987479,21.6583630782647,0.023079859374245,NA,NA,0.0667703246368326,1.38738616783129,NA,NA,1.11395723601331,7,-115.050553907131,253.434441147596,56.5557891823505,2.00666279662658e-13
"371",-5411.29394421054,NA,0.0544610197281668,NA,NA,0.065590479132958,1.4065950273607,-7.22326326005505,NA,1.09748465021558,7,-115.128155384803,253.589644102939,56.7109921376936,1.8568315443471e-13
"349",-5133.70951570409,NA,NA,0.242085950976354,0.124670079664027,0.0629918114371976,NA,-5.58259981205386,NA,1.11990797108368,7,-115.146084945479,253.625503224291,56.7468512590457,1.82383605176541e-13
"284",-5162.5938984307,10.7535635800926,0.0212767624085625,NA,0.093233756201333,0.0634760686457841,NA,NA,NA,1.11062135237256,7,-115.30008361088,253.933500555093,57.0548485898475,1.56352570476908e-13
"286",-5158.92665052934,10.9610448575105,NA,0.105361711807543,0.0900829350021648,0.0634398580162306,NA,NA,NA,1.11359363955944,7,-115.326612308185,253.986557949704,57.1079059844582,1.52259275413977e-13
"315",-5309.41416296949,NA,0.027221155815679,NA,0.0876801347721603,0.0647137908967422,0.624562513723136,NA,NA,1.0842358339646,7,-115.331530955292,253.996395243917,57.1177432786713,1.51512204564617e-13
"317",-5301.01114722188,NA,NA,0.220567038649191,0.0798333770753915,0.0646242835541777,0.628251424599869,NA,NA,1.08747280816756,7,-115.363043326061,254.059419985455,57.1807680202096,1.46812139825159e-13
"287",-5130.12975047869,NA,0.0284792988227934,0.235737647357036,0.08651309754997,0.0629980499886643,NA,NA,NA,1.08860320913095,7,-115.460381603827,254.254096540987,57.3754445757415,1.33195174683726e-13
"343",-5022.92771017001,NA,0.0510338671058428,0.760444669262589,NA,0.0618919028354917,NA,-4.50219253485107,NA,1.09790196982873,7,-115.467114585839,254.267562505011,57.3889105397654,1.32301386275653e-13
"342",-5053.62039797032,10.1841372398747,NA,0.576328648548531,NA,0.0623527042925548,NA,-3.22415000949566,NA,1.11776843513881,7,-115.472524042709,254.278381418751,57.3997294535056,1.31587639863436e-13
"311",-5264.50263291847,NA,0.0369570940183174,0.580984042766345,NA,0.0642406306409233,0.76401555264087,NA,NA,1.07522310453262,7,-115.483256126299,254.299845585932,57.4211936206865,1.30182981251846e-13
"340",-5061.33620644475,10.8281384957933,0.0349242987849306,NA,NA,0.0624558918607634,NA,-3.03311086595122,NA,1.11147260808718,7,-115.542584225139,254.418501783611,57.5398498183655,1.2268411853413e-13
"280",-5073.24288758684,10.5026512995624,0.0304652993979531,0.501940205353401,NA,0.0625766672449195,NA,NA,NA,1.10091788384903,7,-115.542796217532,254.418925768398,57.5402738031527,1.2265811319075e-13
"378",-5762.67222504565,23.7247435594692,NA,NA,0.122021638549213,0.0693002665303763,2.122205692177,-10.0333059209427,NA,1.17316272270859,8,-113.843523217623,256.777955526155,59.89930356091,3.77085190630096e-14
"374",-5682.27852477663,24.6439425601389,NA,0.640915735664863,NA,0.0685036837223813,2.21386131721298,-8.58668404956341,NA,1.15758927991423,8,-114.244926713996,257.580762518902,60.7021105536566,2.52413252539595e-14
"372",-5702.79402173977,25.4386617356771,0.0488255539151036,NA,NA,0.0687308170516455,2.25992737961035,-8.64273332620354,NA,1.15050560731439,8,-114.28122156849,257.65335222789,60.7747002626445,2.43416211062845e-14
"379",-5529.87224410922,NA,0.05647293254296,NA,0.138386810497024,0.0667358174211442,1.43481834374006,-10.0976173536036,NA,1.12511052805436,8,-114.385919104357,257.862747299623,60.9840953343773,2.19219880139418e-14
"381",-5494.85347382196,NA,NA,0.369446467671492,0.121229215414642,0.0663938383013421,1.36244549747137,-9.15923285480069,NA,1.12774997730282,8,-114.551562799433,258.194034689775,61.3153827245294,1.85755547758136e-14
"375",-5436.35270514002,NA,0.0682798815781357,0.925191721231004,NA,0.0657838230867481,1.55292411762869,-8.94498478692202,NA,1.10699900986567,8,-114.73296030018,258.556829691269,61.6781777260234,1.54939396355141e-14
"316",-5506.16818219994,19.7057245405694,0.0202411742910069,NA,0.0709540287342889,0.0668747233010275,1.21565030642619,NA,NA,1.11941135987701,8,-114.841740115352,258.774389321612,61.8957373563667,1.38969465179838e-14
"318",-5503.24353709252,19.9098779923716,NA,0.122936453929203,0.0668345782125881,0.0668446834625092,1.22183766385169,NA,NA,1.12220220309164,8,-114.864786905125,258.820482901159,61.9418309359133,1.35803290356461e-14
"348",-5160.39124536657,8.73407345225955,0.0377008042299289,NA,0.129932050512083,0.0633832682996121,NA,-5.73351284920576,NA,1.13325818544479,8,-114.925440765559,258.941790622028,62.0631386567825,1.27811124436666e-14
"312",-5477.36046655545,20.3843797688375,0.0273635879195096,0.416506748538791,NA,0.0665753697229222,1.34826167785163,NA,NA,1.11319142254984,8,-114.967063383675,259.025035858259,62.1463838930131,1.22600483315667e-14
"351",-5126.7436216289,NA,0.0469554440704427,0.342366019589791,0.121446468362094,0.0629141482248787,NA,-6.35870056442724,NA,1.11804720778053,8,-115.00147030871,259.093849708328,62.2151977430829,1.18453921952783e-14
"350",-5154.61625340707,9.28809774360421,NA,0.174286542547564,0.121262626052421,0.0633333099064641,NA,-5.18293189855708,NA,1.13614707898843,8,-115.0087715512,259.10845219331,62.2298002280641,1.17592210753869e-14
"288",-5154.40214213841,10.4571422557156,0.0231433759371856,0.153980754257388,0.086261589570816,0.0633866141893137,NA,NA,NA,1.10978049691418,8,-115.290966069879,259.672841230667,62.7941892654216,8.8679458588781e-15
"319",-5300.82763155258,NA,0.0304444809224152,0.281039655767256,0.0744399829569337,0.0646190057779934,0.644378514550528,NA,NA,1.08363963790212,8,-115.300910687281,259.692730465472,62.8140785002261,8.78019457979822e-15
"344",-5046.35848557456,8.92818957299249,0.0449794158038781,0.672680408903253,NA,0.0622541501271273,NA,-4.06334899932316,NA,1.11422340162756,8,-115.346343720088,259.783596531085,62.9049445658398,8.39020988538606e-15
"380",-5782.01754855419,23.1007960078997,0.0511421826197993,NA,0.123722462639336,0.0694661844377231,2.20673696216914,-11.0820503120571,NA,1.17033133535382,9,-113.64665132173,263.29330264346,66.4146506782143,1.4509412447054e-15
"382",-5754.18732049176,23.359542597063,NA,0.271844505112134,0.110689597253393,0.069200352701305,2.14244002778198,-10.2016769858686,NA,1.17308080987736,9,-113.81006412683,263.62012825366,66.7414762884148,1.23219813373219e-15
"376",-5703.35056437016,23.6570572544832,0.0607853308587318,0.774298969340205,NA,0.0686726933343318,2.32262775388479,-9.98424024916516,NA,1.15475489778968,9,-113.985848304361,263.971696608723,67.0930446434774,1.0335665567984e-15
"383",-5525.16946658175,NA,0.0639209213869179,0.519994105772403,0.116461691083176,0.0666630242626911,1.51258952157162,-10.6098982698891,NA,1.1260811050292,9,-114.272787734759,264.545575469519,67.6669235042735,7.7575080890566e-16
"320",-5497.92473530447,19.3994710356889,0.0222963004995173,0.169726985521567,0.0632179110200095,0.0667838963600637,1.21843139203038,NA,NA,1.1185046268761,9,-114.830143958559,265.660287917118,68.7816359518728,4.44288942544307e-16
"352",-5145.88782016135,8.14674955705635,0.0415187424037228,0.27128714340456,0.118830975929878,0.0632226745573378,NA,-5.9182847379641,NA,1.13250625447648,9,-114.896427086299,265.792854172598,68.914202207353,4.15794852055491e-16
"384",-5771.49219891642,22.4763448654884,0.0571611144727863,0.410161550499193,0.106824742233124,0.069334960416785,2.24721521738512,-11.4595170603709,NA,1.16987451806057,10,-113.571569622247,271.587583688938,74.7089317236921,2.29387411941838e-17
"385",-398.117931530107,NA,NA,NA,NA,NA,NA,NA,812.639052113132,1.14618849400918,4,-137.027607313076,284.72188129282,87.8432293275741,3.2247280477271e-20
"417",84.0797973909281,NA,NA,NA,NA,NA,-4.8789702067721,NA,577.29183562714,1.16216418149282,5,-135.679413267641,285.644540820995,88.7658888557498,2.03301285199942e-20
"289",966.532948113133,NA,NA,NA,NA,NA,-8.0369339453376,NA,NA,1.18986773235321,4,-137.742652253363,286.151971173393,89.2733192081471,1.57744063140957e-20
"290",916.241524413534,-78.2847001893297,NA,NA,NA,NA,-9.06433403699322,NA,NA,1.02937786967611,5,-136.689368867877,287.664452021469,90.7858000562234,7.40494743472416e-21
"449",-393.913112604027,NA,NA,NA,NA,NA,NA,-9.7217247668623,808.094023843543,1.18671900850642,5,-136.878315117302,288.042344520318,91.1636925550724,6.13004505384283e-21
