"","(Intercept)","for_rem","prod_cass.lag1","prod_corn.lag1","prod_rub.lag1","prod_sug.lag1","time","df","logLik","AICc","delta","weight"
"33",707.634218599352,NA,NA,NA,NA,NA,1.26572375939611,3,-148.853579371127,305.118923448137,50.388732926909,5.96739458825361e-12
"49",725.677806757705,NA,NA,NA,NA,-0.176492412253307,1.2091085421317,4,-148.151221295697,306.802442591395,52.0722520701672,2.57165804129234e-12
"37",721.301066999902,NA,NA,-1.83267036651086,NA,NA,1.26370949912744,4,-148.292156934964,307.084313869929,52.354123348701,2.23360127379316e-12
"41",713.569028457477,NA,NA,NA,-0.831899110643017,NA,1.21049618072217,4,-148.723551659351,307.947103318702,53.2169127974738,1.45095285136895e-12
"35",706.360809292567,NA,-0.531065807386116,NA,NA,NA,1.2783831665487,4,-148.80446112385,308.1089222477,53.3787317264724,1.33818071349272e-12
"53",737.691876664436,NA,NA,-1.72449609394134,NA,-0.168216466135167,1.20986793168628,5,-147.622179769815,309.24435953963,54.5141690184024,7.58503678138998e-13
"51",726.237790181515,NA,-1.2691507749308,NA,NA,-0.211736926865278,1.22805649311687,5,-147.877416884707,309.754833769414,55.0246432481866,5.87637659792948e-13
"57",725.821236465736,NA,NA,NA,-0.0449261628806127,-0.174760354742488,1.20668162238926,5,-148.150888292558,310.301776585116,55.5715860638885,4.47035998648958e-13
"39",721.846782671363,NA,0.106773517021068,-1.87151667344514,NA,NA,1.26112156470058,5,-148.290326207989,310.580652415978,55.85046189475,3.88852933763575e-13
"45",721.337416990665,NA,NA,-1.82697588186235,-0.0110478208269123,NA,1.26298232228476,5,-148.292138460185,310.58427692037,55.8540863991417,3.88148872341606e-13
"43",712.159650306883,NA,-0.37235372545947,NA,-0.759494997304438,NA,1.22417896829779,5,-148.700126159338,311.400252318677,56.670061797449,2.58113976946748e-13
"61",737.960506428505,NA,NA,-2.28420024130749,1.13722610170295,-0.209374379658418,1.27154756714988,6,-147.453592902744,312.907185805488,58.17699528426,1.21502460678739e-13
"55",736.15312035871,NA,-0.691251561409637,-1.45984402861952,NA,-0.188682708591149,1.2200715207448,6,-147.550396579193,313.100793158386,58.3706026371578,1.10291938728679e-13
"59",724.657111677979,NA,-1.46781198682735,NA,0.522568223025944,-0.2374005751367,1.25925166481691,6,-147.837895743467,313.675791486933,58.9456009657054,8.27340854034642e-14
"10",-5793.59476534417,0.0710008131766172,NA,NA,-4.00953340507787,NA,NA,4,-151.637592354218,313.775184708437,59.0449941872088,7.87229765269364e-14
"47",721.900365003575,NA,0.107358082455781,-1.8638033397332,-0.0153771842591671,NA,1.26009525705519,6,-148.290290465117,314.580580930234,59.8503904090058,5.26274029491964e-14
"12",-5837.78415059533,0.0715076473779982,2.67477089661194,NA,-4.11381543720243,NA,NA,5,-150.586967398546,315.173934797091,60.4437442758633,3.91171120376764e-14
"14",-6053.93099955268,0.0736175933016617,NA,2.70724068434494,-4.84109452525844,NA,NA,5,-150.867490800213,315.734981600426,61.0047910791978,2.95486074522555e-14
"2",-6646.98319253389,0.0800606462179281,NA,NA,NA,NA,NA,3,-154.264166048417,315.940096802716,61.2099062814877,2.66683912679189e-14
"63",735.80587349191,NA,-0.994611953789096,-2.02720208141898,1.38876362100509,-0.247925889170842,1.29987168889136,7,-147.310431995262,317.236248605908,62.5060580846807,1.3948934352743e-14
"26",-5763.73063100121,0.0706932254083106,NA,NA,-3.93089639298519,-0.0188074599878127,NA,5,-151.632894853067,317.265789706135,62.5355991849067,1.37444150683354e-14
"4",-6708.09081064964,0.0807440921807274,2.46214476043899,NA,NA,NA,NA,4,-153.581458199968,317.662916399936,62.9327258787084,1.126915353983e-14
"18",-6142.83878295315,0.074810825015293,NA,NA,NA,-0.203464098174967,NA,4,-153.717567585202,317.935135170403,63.2049446491757,9.83512176569133e-15
"16",-6004.53412275741,0.073170907926485,2.1269711740272,1.8281477331437,-4.65399550048372,NA,NA,6,-150.253852327424,318.507704654848,63.7775141336202,7.38665571360977e-15
