"","(Intercept)","corn_med.lag2","cpi.lag2","for_prod.lag2","for_rem","nfi.lag2","rice_med.lag2","rub_med.lag2","sug_med.lag2","time","df","logLik","AICc","delta","weight"
"412",-5006.07535559717,-0.188504817548663,-0.279797792066915,NA,0.0618166085074697,-0.0608073994322414,NA,NA,0.184411798372319,1.07170139462009,8,-115.539527095977,260.169963282863,17.6503685140321,3.63962531351095e-05
"443",-4998.95318501559,NA,-0.37703867236892,NA,0.0617429575348398,-0.0435786412848879,0.0294963439374153,NA,0.187430387252193,1.07760254131926,8,-115.609521787856,260.309952666622,17.7903578977912,3.39358216258605e-05
"316",-5020.0358238457,-0.383596808801815,-0.126453066926285,NA,0.0619311286044079,-0.125575508044269,0.148575383459362,NA,NA,1.07200657395162,8,-115.625061130723,260.341031352356,17.821436583525,3.34125573788114e-05
"505",-5075.66671684852,NA,NA,NA,0.0624706021172112,-0.0411882472184677,-0.0229786370208173,0.0157152846489748,0.037230709397641,1.083098879953,8,-115.665499017692,260.421907126293,17.9023123574626,3.20883781051692e-05
"382",-5081.77804616749,-1.16747522888762,NA,-0.00021023674352873,0.0625274776108552,-0.266561294077961,0.321425565426699,0.0494929155090994,NA,1.02121673915411,9,-112.273604038295,260.547208076591,18.0276133077603,3.01397059385155e-05
"368",-4934.1730753735,-0.80206525211666,-0.428399397471415,-0.000206520454522181,0.0610571680586503,NA,0.180589000257418,0.0489758648021191,NA,1.02766542450169,9,-112.479836363049,260.959672726099,18.4400779572684,2.45229916423408e-05
"494",-4999.37902616763,-0.95242962084042,NA,-0.00022287282117679,0.0616665813212618,NA,0.18398470967697,0.0557345760777595,-0.222736992119741,1.02530006200946,9,-112.538652834102,261.077305668205,18.5577108993743,2.31222334309849e-05
"464",-4965.95338007605,-0.655167225235272,-0.287588181610403,-0.000208388690421822,0.0613866947443642,NA,NA,0.0513026733056797,-0.12329998621179,1.0219370889585,9,-112.709158918832,261.418317837663,18.8987230688328,1.94975449198142e-05
"352",-4989.96559197986,-0.631706572824943,-0.31822373816944,-0.00019896696811614,0.0616450748189769,-0.0579758629815092,NA,0.0456366319639437,NA,1.02217561714513,9,-112.762204329372,261.524408658745,19.0048138899139,1.84902422234683e-05
"478",-5044.28586469947,-0.748250206235917,NA,-0.00021042491201996,0.0621608058449386,-0.0775568435455899,NA,0.0505821064467477,-0.159139089528123,1.01960199347712,9,-112.792593781632,261.585187563264,19.0655927944333,1.79367860976771e-05
"479",-4989.87349833404,NA,-0.45751615129117,-0.000182328830290313,0.0616424003007534,0.0217459618714149,NA,0.0299598913383341,-0.00848906932151147,1.03917164803287,9,-113.633728071739,263.267456143478,20.7478613746478,7.73472091975986e-06
"383",-4990.03747722891,NA,-0.460601585352658,-0.000181815209196815,0.0616449535039408,0.0214809096439131,-0.00183565061684272,0.0296669044274405,NA,1.03917126651599,9,-113.634118001972,263.268236003945,20.7486412351143,7.73170550616646e-06
"495",-4998.61260728438,NA,-0.449550987914857,-0.000181539962123712,0.0617325900117271,NA,0.00522103952450974,0.0295358919550502,-0.00406422632720877,1.03885193584325,9,-113.638648689438,263.277297378876,20.7577026100456,7.69675480009069e-06
"446",-5098.69373529857,-0.543700895820632,NA,-0.000174723017539662,0.0627263198318901,-0.162834933832898,0.189057977962195,NA,0.0869188151481809,1.02943979987591,9,-113.933824873696,263.867649747393,21.3480549785621,5.72946753872977e-06
"320",-5062.84358220311,-0.495944551481461,-0.0897056200605564,-0.000177746873306883,0.0623694939638065,-0.134479356632008,0.185694293036306,NA,NA,1.02822963469977,9,-113.979100893351,263.958201786701,21.4386070178707,5.4758448898438e-06
"509",-5097.9924497589,NA,NA,-0.000183396573645915,0.0626959197552607,-0.0024538464621057,-0.0312591607785724,0.0251684988799198,-0.069233334283692,1.04095896327232,9,-113.983226937285,263.966453874571,21.4468591057402,5.45329786025311e-06
"432",-5012.87869774808,-0.325644287764091,-0.25330835934225,-0.000171761940204607,0.0618713724303088,NA,0.10060531287415,NA,0.109359451825089,1.03383131007158,9,-114.023681613337,264.047363226675,21.5277684578444,5.23708927219365e-06
