"","(Intercept)","corn_med","cpi","for_prod","for_rem","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"363",-4785.75892699292,NA,-0.0432476190026707,NA,0.0592865062219927,NA,0.204348165542762,0.0262213337702115,NA,1.07135634469146,7,-126.036072544337,274.072145088675,8.80661071751445,0.00191107863931683
"377",-4791.54445578757,NA,NA,NA,0.0593397308356942,0.015691154136885,0.194581811176916,0.0255190337740678,NA,1.07220532215688,7,-126.037418754398,274.074837508796,8.80930313763531,0.00190850765695574
"286",-4734.38723461174,0.409348573148746,NA,-0.000103611109924591,0.0587448243111261,0.135482892112289,NA,NA,NA,1.05896739040183,7,-126.078874781498,274.157749562996,8.89221519183593,0.00183100606507043
"411",-4816.71399505766,NA,-0.0153044532438759,NA,0.0596287484354839,0.0708512677317683,NA,NA,0.396715709470537,1.0816478834079,7,-126.097737906432,274.195475812863,8.92994144170302,0.0017967912822842
"272",-4782.17436800294,0.29538729589551,0.236448192269524,-0.000117849099664761,0.0591888961685907,NA,NA,NA,NA,1.04341284692403,7,-126.129186745542,274.258373491084,8.99283911992393,0.00174116358036727
"346",-4785.77498289861,0.25275138463604,NA,NA,0.0592957796501421,0.137389031805421,NA,0.0217968231817186,NA,1.07972543707976,7,-126.280298086596,274.560596173192,9.29506180203202,0.00149696881420319
"287",-4797.58614601907,NA,0.386788775534125,-0.000126718674091688,0.0593268279102029,0.0222121415382494,NA,NA,NA,1.04177098598384,7,-126.402619817046,274.805239634092,9.53970526293188,0.00132461326660599
"332",-4811.98500579777,0.179270895386932,0.0569267052236506,NA,0.0595526072537879,NA,NA,0.0241853540052016,NA,1.06831161391624,7,-126.429148260122,274.858296520243,9.59276214908255,0.00128993534827277
"347",-4792.52715910961,NA,0.0417791861484718,NA,0.0593591638131054,0.0966977736211592,NA,0.0302622596852883,NA,1.07505099319679,7,-126.435564323698,274.871128647395,9.60559427623502,0.00128168553503301
"314",-4799.03780362417,0.285909240505908,NA,NA,0.059431471453179,0.0933266797340751,0.137269433581319,NA,NA,1.0807089019794,7,-126.479404872842,274.958809745684,9.69327537452352,0.00122670962929249
"300",-4828.09468508973,0.173213935506974,0.114243320202536,NA,0.0597061763749392,NA,0.18566810893965,NA,NA,1.07316986722138,7,-126.502333215975,275.004666431949,9.73913206078856,0.00119890320576117
"315",-4836.46315053094,NA,0.170991512726915,NA,0.059782210548893,-0.0113806071309412,0.236842693229827,NA,NA,1.07239317802685,7,-126.56995632488,275.13991264976,9.87437827859935,0.00112051010749611
"284",-4797.93062391367,0.449518524404993,0.0219015587031842,NA,0.0594254817515635,0.172146499637795,NA,NA,NA,1.08498545724872,7,-126.578032636896,275.156065273793,9.89053090263224,0.00111149696372258
"493",-4724.985523826,NA,NA,-0.000123983731483111,0.0586164374288398,NA,0.183977838060477,0.0212364565843404,0.190012839220736,1.04567931634926,8,-124.723596937468,276.524116951859,11.2585825806982,0.000560840842842773
"366",-4682.44916526033,-0.281995526681771,NA,-0.000159887241734189,0.0581623467962397,NA,0.262223618551751,0.0389336589253027,NA,1.03410139504403,8,-124.803707011945,276.684337100814,11.4188027296531,0.000517664364978735
"381",-4703.3730124672,NA,NA,-0.000148402356621265,0.0583820705045008,-0.0434960719017128,0.203571354527223,0.0306026811110661,NA,1.03376032822293,8,-124.942237597121,276.961398271164,11.6958639000038,0.000450697554204007
"367",-4690.42630889158,NA,-0.0519594524318648,-0.00014576038682885,0.058260418579086,NA,0.195590524426194,0.0315547581740552,NA,1.03789406050772,8,-124.952759702511,276.982442481944,11.7169081107838,0.000445980129185219
"445",-4760.30579271257,NA,NA,-0.000104217558994449,0.0589905413592715,-0.0656398150308165,0.236039759537969,NA,0.31194030989758,1.04963927421082,8,-125.01609555921,277.109114195344,11.8435798241834,0.000418609515271029
"430",-4758.20103543102,0.108342646654885,NA,-9.71259628967675e-05,0.0589743361880481,NA,0.181172038086411,NA,0.306177009295166,1.05562384443964,8,-125.018988648238,277.114900373399,11.8493660022381,0.000417400190860738
"431",-4741.33680314765,NA,-0.0916962346957198,-9.78155220147624e-05,0.0588162943967592,NA,0.226928543868099,NA,0.328415415645021,1.05691860989397,8,-125.03649337526,277.149909827444,11.8843754562831,0.000410157291889003
"462",-4740.12316624957,0.140205185538064,NA,-0.000115135132044526,0.0587876918748374,NA,NA,0.0199910505846538,0.227746764721833,1.04594992112476,8,-125.141083772059,277.359090621041,12.0935562498809,0.000369425955073062
"477",-4725.06324195426,NA,NA,-0.000123787852458622,0.0586318518600342,0.0345645088934399,NA,0.0264245350331415,0.198689857873782,1.04546827294938,8,-125.180522120104,277.43796731713,12.1724329459699,0.00035513996523443
"463",-4725.34993907114,NA,-0.0203401083572447,-0.000125420917124827,0.0586368992399861,NA,NA,0.0268062509797194,0.205884448152432,1.04261201014693,8,-125.190979842383,277.458882761689,12.193348390529,0.000351445362344426
"414",-4763.11866939705,0.33214073120712,NA,-8.33637154107314e-05,0.0590407531075921,0.0878577336575019,NA,NA,0.316553821013638,1.06345242433611,8,-125.252691542027,277.582306160976,12.316771789816,0.00033041272608619
