"","(Intercept)","corn_med.lag2","cpi.lag2","for_prod.lag2","nfi.lag2","rice_med.lag2","rub_med.lag2","sug_med.lag2","time","df","logLik","AICc","delta","weight"
"71",0.00127370648976447,NA,7.94294135930974e-06,8.66009637112248e-10,NA,NA,NA,7.6486752516641e-07,NA,5,-151.219087237672,316.723888761059,10.2930638754742,0.00116907368588951
"38",0.00143046148743563,8.36923486568216e-06,NA,1.06458572518353e-09,NA,NA,-1.39944674953866e-07,NA,NA,5,-151.224605836549,316.734925958812,10.3041010732275,0.00116263980648826
"39",0.00126388071684556,NA,8.47254934088593e-06,8.15469372904099e-10,NA,NA,-1.01509845579935e-08,NA,NA,5,-151.228993810841,316.743701907396,10.3128770218114,0.00115754934947163
"14",0.00142953601689218,6.97033021195057e-06,NA,1.03462547098026e-09,5.93141767956383e-07,NA,NA,NA,NA,5,-151.251231557155,316.788177400024,10.3573525144396,0.00113209216497374
"22",0.0014279247593383,7.32656714103139e-06,NA,1.07439809334536e-09,NA,-3.69004351095524e-07,NA,NA,NA,5,-151.256866559368,316.79944740445,10.3686225188649,0.00112573076320863
"136",0.00168306115681595,-3.62130779502645e-06,4.40037217900468e-06,2.99681357585307e-10,NA,NA,NA,NA,-1.6712290224548e-06,6,-149.217435888139,316.896410237817,10.4655853522326,0.00107245560324942
"140",0.00165239968596103,-4.97492580532422e-06,5.54507459156109e-06,NA,-1.34307960696564e-06,NA,NA,NA,-1.76170545792598e-06,6,-149.217670152847,316.896878767233,10.4660538816482,0.00107220439417671
"36",0.00120821457075777,6.75785943531989e-06,8.4077338520495e-06,NA,NA,NA,-1.59488386017988e-07,NA,NA,5,-151.307502934133,316.90072015398,10.4698952683951,0.00107014699475108
"167",0.00166003313463558,NA,4.46293354506919e-06,3.77241776829818e-10,NA,NA,-2.31528896275517e-07,NA,-1.52773515020854e-06,6,-149.220207611485,316.901953684508,10.4711287989234,0.00106948716875698
"164",0.00164939239475211,-3.23355958754156e-06,5.68843278927128e-06,NA,NA,NA,-1.41363159823583e-07,NA,-1.6905867875291e-06,6,-149.240047384239,316.941633230017,10.5108083444318,0.00104847788520006
"154",0.00177707710624898,-6.35087244163286e-06,NA,NA,-2.65216321867356e-06,2.47408109691611e-06,NA,NA,-1.94951080021208e-06,6,-149.242118060636,316.94577458281,10.5149496972254,0.00104630907301963
"148",0.00166098619704864,-4.83439087607051e-06,4.90735808659391e-06,NA,NA,9.17746246130658e-07,NA,NA,-1.71183950704245e-06,6,-149.246906882679,316.955352226897,10.5245273413125,0.00104131046334515
