"","(Intercept)","corn_med","cpi","for_prod","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"239",0.00178908402683292,NA,4.02315387169916e-06,-1.17851233458436e-10,4.88984617978269e-08,NA,-8.51298330461568e-08,-3.49141358249374e-06,-2.03959028612285e-06,8,-163.156664252033,353.39025158099,19.260807098234,1.27042069406403e-05
"92",0.00157186818389968,6.49453081425675e-06,-4.01497911024532e-06,NA,5.95780387967855e-06,-3.1377120527574e-06,NA,8.39393341350218e-07,NA,7,-165.746891616222,353.493783232444,19.3643387496883,1.20632949616861e-05
"238",0.00186912582508983,1.2782712024721e-06,NA,2.4231891650547e-10,1.22472756361043e-06,NA,-1.11587352635094e-07,-1.97293710295584e-06,-1.78583306166793e-06,8,-163.216221716007,353.509366508937,19.3799220261811,1.19696673611555e-05
"176",0.00180583650042712,-6.84655937771199e-09,2.29806663053116e-06,3.15340517455131e-10,7.95535486462848e-07,NA,-2.54502657312609e-07,NA,-1.71133176134419e-06,8,-163.22565652943,353.528236135783,19.3987916530272,1.18572668555496e-05
"123",0.00142637757518221,NA,6.88363128929093e-07,NA,3.50361884076398e-06,-5.28701901186539e-07,-1.99659141991417e-07,1.59729297945537e-06,NA,7,-165.845947050488,353.691894100975,19.5624496182197,1.09256357749007e-05
"116",0.00134133364982031,1.88594883506846e-06,8.10877591098113e-07,NA,NA,-4.00910155242038e-07,-3.35631878307813e-07,2.06936514163024e-06,NA,7,-166.160402506029,354.320805012058,20.1913605293025,7.97775049005849e-06
"126",0.00176280828253593,1.56829916831612e-05,NA,2.48782588859745e-09,6.01959469614792e-06,-6.91664194435193e-06,-1.08771681486167e-06,7.99351216587958e-06,NA,8,-164.151552304977,355.380027686876,21.2505832041203,4.69756899988353e-06
"96",0.00206685747054637,1.4716023409193e-05,-1.19898400421607e-05,2.74397383340395e-09,9.85173133574742e-06,-7.68497544445146e-06,NA,4.44586161678168e-06,NA,8,-164.303165242291,355.683253561506,21.55380907875,4.03671887977512e-06
"64",0.00192863298837818,1.81226813816696e-05,-7.36069597540132e-06,2.25865838791688e-09,8.54355931008395e-06,-6.75656687231599e-06,-5.18421271031246e-07,NA,NA,8,-164.33850149659,355.753926070103,21.6244815873476,3.89656715645188e-06
"112",0.00197353280541655,1.3102977078033e-05,-1.04950850609169e-05,2.24426290205226e-09,7.92421560804726e-06,NA,-8.06442048023145e-07,7.16334031932479e-06,NA,8,-164.373446325843,355.82381572861,21.6943712458542,3.76275393929929e-06
