,(Intercept),corn_med.lag2,cpi.lag2,for_prod.lag2,nfi.lag2,rice_med.lag2,rub_med.lag2,sug_med.lag2,time,df,logLik,AICc,delta,weight
207,771.3931923,NA,-2.870864445,-8.40E-05,0.757826523,NA,NA,0.20541897,1.133915236,7,-139.8110162,302.9553658,12.77695981,0.000372204
144,769.3662813,0.07258222,-2.750531573,-9.21E-05,0.784696509,NA,NA,NA,1.133807471,7,-139.8318123,302.996958,12.81855203,0.000364543
159,769.0662084,NA,-2.73033802,-9.33E-05,0.767381105,0.021734985,NA,NA,1.132488477,7,-139.8324599,302.9982532,12.81984724,0.000364307
204,772.6153098,0.113952751,-2.937392421,NA,0.759570534,NA,NA,0.23821441,1.156515553,7,-139.8385416,303.0104165,12.83201048,0.000362098
219,772.2152752,NA,-2.899801589,NA,0.735822367,0.023374971,NA,0.237065833,1.15449514,7,-139.840629,303.0145913,12.83618535,0.000361343
156,770.3283938,0.131404334,-2.760050327,NA,0.786968704,-0.02057779,NA,NA,1.15618197,7,-139.8680693,303.069472,12.89106601,0.000351563
168,765.0796767,-1.114005042,-2.702007678,-0.000133212,NA,NA,0.092857235,NA,1.092389377,7,-139.8993081,303.1319496,12.9535436,0.00034075
228,765.242845,-1.041447461,-2.647236412,NA,NA,NA,0.08972666,-0.075118988,1.125050128,7,-139.9704445,303.2742223,13.09581634,0.000317352
183,762.1806498,NA,-3.014381361,-0.000100144,NA,0.23472948,0.061196419,NA,1.12939353,7,-140.0551923,303.4437179,13.26531188,0.000291566
243,763.7100753,NA,-3.03980677,NA,NA,0.232403749,0.054989532,0.095275274,1.152378743,7,-140.0931508,303.519635,13.34122899,0.000280706
231,762.9986603,NA,-2.913740307,-9.64E-05,NA,NA,0.062279603,0.037344188,1.119868065,7,-140.101275,303.5358834,13.3574774,0.000278434
212,760.9115436,-0.75840693,-2.641541384,NA,NA,0.447584077,NA,0.294970679,1.137369343,7,-140.1608055,303.6549443,13.47653828,0.000262343
152,756.5724167,-0.849465997,-2.402077614,-9.35E-05,NA,0.478720458,NA,NA,1.113874039,7,-140.1689994,303.6713322,13.49292616,0.000260202
215,760.4810886,NA,-2.822481576,-6.14E-05,NA,0.274821111,NA,0.301414842,1.130972683,7,-140.2356637,303.8046608,13.62625482,0.000243421
200,760.7197112,-0.353811105,-2.529401783,-6.56E-05,NA,NA,NA,0.296455218,1.109935676,7,-140.2739681,303.8812695,13.70286353,0.000234273
234,706.8916944,-1.38218845,NA,NA,0.487031298,NA,0.076741814,-0.660089337,1.169640717,7,-140.6913895,304.7161123,14.53770633,0.000154326
242,702.800257,-2.220802216,NA,NA,NA,0.481685821,0.092459155,-0.675866468,1.160790995,7,-140.7325942,304.7985217,14.62011569,0.000148096
230,704.90697,-1.816895218,NA,-0.000177491,NA,NA,0.095716703,-0.694150709,1.103200283,7,-140.7578461,304.8490255,14.67061946,0.000144403
174,701.4441187,-1.301420307,NA,-0.000129408,0.429823069,NA,0.048794222,NA,1.141679559,7,-140.8136232,304.9605797,14.78217372,0.00013657
182,697.678466,-2.041792023,NA,-0.000142492,NA,0.420226586,0.062488556,NA,1.13064503,7,-140.8479621,305.0292575,14.85085156,0.000131959
206,705.1923168,-0.765896638,NA,-0.000115968,0.536636404,NA,NA,-0.348654265,1.142907046,7,-140.8594939,305.0523212,14.87391519,0.000130446
186,701.1290109,-1.433539584,NA,NA,0.339034153,0.159584665,0.046255785,NA,1.173929205,7,-140.8668299,305.066993,14.88858705,0.000129493
237,696.4372386,NA,NA,-0.000131429,0.65268801,NA,0.038123026,-0.608900272,1.17221043,7,-140.9039831,305.1412994,14.96289346,0.00012477
218,705.3721567,-0.780473033,NA,NA,0.50124536,0.03613925,NA,-0.3125537,1.171591566,7,-140.9103331,305.1539996,14.97559362,0.00012398
249,702.3935102,NA,NA,NA,0.729929519,-0.281684664,0.03713406,-0.537350606,1.191183172,7,-140.9117995,305.1569324,14.9785264,0.000123799
158,702.0972122,-0.910983981,NA,-0.000102069,0.450676963,0.061326267,NA,NA,1.148508675,7,-140.9238241,305.1809815,15.00257551,0.000122319
221,702.8214077,NA,NA,-0.000104548,0.707199604,-0.226453769,NA,-0.384407005,1.159795464,7,-140.9381755,305.2096842,15.03127825,0.000120576
214,701.3060185,-1.387395389,NA,-0.000113944,NA,0.373903158,NA,-0.270669035,1.129600609,7,-140.9899494,305.3132321,15.13482615,0.000114492
189,698.4610504,NA,NA,-9.32E-05,0.673228407,-0.278535231,0.015905257,NA,1.16974644,7,-141.0025464,305.338426,15.16002005,0.000113059
245,692.4572535,NA,NA,-0.000102559,NA,-0.015429954,0.03109787,-0.441015157,1.15609444,7,-141.2323153,305.797964,15.61955799,8.99E-05
176,775.826968,-0.632246754,-3.096942287,-0.000141328,0.732136028,NA,0.085568102,NA,1.119825674,8,-139.4620816,308.0150723,17.83666627,2.97E-05
239,774.8024049,NA,-3.18121862,-0.000132128,0.824145871,NA,0.074359355,-0.129307567,1.135869666,8,-139.5176684,308.1262458,17.94783982,2.81E-05
191,776.1202446,NA,-3.221479934,-0.000124364,0.828631739,-0.051389704,0.070223967,NA,1.135109181,8,-139.5230014,308.1369119,17.95850593,2.79E-05
188,775.1344161,-0.794259754,-3.085872572,NA,0.626312796,0.184819906,0.082902129,NA,1.155155657,8,-139.5329042,308.1567175,17.97831154,2.76E-05
236,775.5768616,-0.579139123,-3.006843065,NA,0.729338017,NA,0.084630343,-0.131546232,1.154171657,8,-139.5408746,308.1726583,17.99425234,2.74E-05
251,776.3259319,NA,-3.159762584,NA,0.814556058,-0.051226711,0.068421365,-0.055600885,1.163995242,8,-139.5894462,308.2698014,18.09139542,2.61E-05
184,765.3016724,-1.82076538,-2.898072945,-0.000159407,NA,0.627053326,0.104873342,NA,1.101654413,8,-139.6391787,308.3692664,18.19086045,2.48E-05
244,764.8573966,-1.744249316,-2.775300829,NA,NA,0.603525051,0.104582141,-0.174854096,1.139832223,8,-139.7329938,308.5568967,18.37849072,2.26E-05
208,771.5958286,0.083426441,-2.906729832,-8.26E-05,0.769206871,NA,NA,0.207048143,1.136343251,8,-139.8096748,308.7102586,18.53185262,2.09E-05
223,771.2448861,NA,-2.882054571,-8.40E-05,0.749800733,0.023813978,NA,0.20578058,1.134771753,8,-139.8105753,308.7120596,18.5336536,2.09E-05
160,769.3844028,0.075084435,-2.750669346,-9.21E-05,0.785702124,-0.001966423,NA,NA,1.133809365,8,-139.8318105,308.7545302,18.57612419,2.05E-05
220,772.8044154,0.140398074,-2.93883652,NA,0.770303213,-0.020910105,NA,0.238240325,1.156424005,8,-139.8383378,308.7675846,18.58917864,2.04E-05
232,763.6701795,-1.201528171,-2.596308855,-0.000146551,NA,NA,0.101756927,-0.181590047,1.088418368,8,-139.8861804,308.8632698,18.68486382,1.94E-05
247,762.5436747,NA,-3.035156949,-9.77E-05,NA,0.235082353,0.059690221,0.041314818,1.129827476,8,-140.0544594,309.1998278,19.02142186,1.64E-05
216,759.744325,-0.810439553,-2.609856083,-8.12E-05,NA,0.464667747,NA,0.26437886,1.117579672,8,-140.133902,309.3587131,19.18030712,1.51E-05
5,715.0961068,NA,NA,-0.000959774,NA,NA,NA,NA,NA,3,-150.9598519,309.4197039,19.2412979,1.47E-05
1,732.564,NA,NA,NA,NA,NA,NA,NA,NA,2,-152.4514865,309.6088553,19.43044928,1.34E-05
238,706.4107621,-1.56321023,NA,-0.000189444,0.508263574,NA,0.09232849,-0.78887118,1.122653139,8,-140.559868,310.2106452,20.03223919,9.89E-06
3,848.2050724,NA,-4.407724974,NA,NA,NA,NA,NA,NA,3,-151.3573575,310.2147149,20.03630894,9.87E-06
246,701.7856747,-2.525471389,NA,-0.000210487,NA,0.556921542,0.11177953,-0.830382359,1.109522638,8,-140.5736882,310.2382855,20.05987955,9.76E-06
250,705.1744761,-1.74588617,NA,NA,0.359668372,0.245079113,0.083700096,-0.688690139,1.170463994,8,-140.6674434,310.4257958,20.24738985,8.88E-06
7,822.1427308,NA,-4.039547214,-0.000901254,NA,NA,NA,NA,NA,4,-149.9012046,310.4690759,20.2906699,8.69E-06
190,699.7818813,-1.606467187,NA,-0.000136794,0.320727993,0.206155816,0.053754807,NA,1.14070082,8,-140.7968523,310.6846136,20.50620762,7.81E-06
253,701.3064837,NA,NA,-0.000134198,0.760307943,-0.288426585,0.044107829,-0.61677043,1.160633208,8,-140.8451161,310.7811412,20.60273523,7.44E-06
222,704.7465997,-0.839689708,NA,-0.000117235,0.506863608,0.05901687,NA,-0.348352368,1.142832922,8,-140.8580321,310.8069733,20.62856734,7.34E-06
2,761.4716135,-3.229900946,NA,NA,NA,NA,NA,NA,NA,3,-151.6883432,310.8766863,20.69828033,7.09E-06
6,743.3482028,-3.122941108,NA,-0.000943193,NA,NA,NA,NA,NA,4,-150.1293955,310.9254577,20.7470517,6.92E-06
17,749.8796567,NA,NA,NA,NA,-1.166037487,NA,NA,NA,3,-152.0619016,311.6238032,21.44539726,4.88E-06
21,729.4794781,NA,NA,-0.000912066,NA,-0.910105823,NA,NA,NA,4,-150.6900034,312.0466734,21.86826744,3.95E-06
33,739.5679488,NA,NA,NA,NA,NA,-0.073532271,NA,NA,3,-152.3361609,312.1723217,21.99391574,3.71E-06
65,739.2060618,NA,NA,NA,NA,NA,NA,-0.785252923,NA,3,-152.3389059,312.1778119,21.9994059,3.70E-06
69,722.8790113,NA,NA,-0.000981315,NA,NA,NA,-0.966477616,NA,4,-150.7618509,312.1903686,22.01196258,3.68E-06
9,731.1034649,NA,NA,NA,-0.210406267,NA,NA,NA,NA,3,-152.4398456,312.3796912,22.20128524,3.34E-06
37,718.7675138,NA,NA,-0.000939558,NA,NA,-0.034682062,NA,NA,4,-150.9309125,312.5284916,22.3500856,3.10E-06
13,715.485472,NA,NA,-0.000962993,0.064531073,NA,NA,NA,NA,4,-150.9585996,312.5838658,22.40545983,3.02E-06
4,844.7973279,-2.152326639,-3.543604377,NA,NA,NA,NA,NA,NA,4,-151.0325841,312.731835,22.55342898,2.80E-06
19,846.5063147,NA,-3.965510232,NA,NA,-0.666881366,NA,NA,NA,4,-151.228741,313.1241486,22.94574261,2.30E-06
8,818.6854775,-2.163452111,-3.17050938,-0.000902357,NA,NA,NA,NA,NA,5,-149.520576,313.3268662,23.1484602,2.08E-06
67,851.1503765,NA,-4.601320379,NA,NA,NA,NA,0.252274632,NA,4,-151.3466919,313.3600505,23.18164446,2.05E-06
11,851.2960673,NA,-4.480037716,NA,0.171979795,NA,NA,NA,NA,4,-151.3489938,313.3646543,23.18624832,2.04E-06
