,(Intercept),corn_med,cpi,for_prod,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
237,747.8594652,NA,NA,-0.00060082,0.362778977,NA,0.093778121,-0.535624114,0.882101117,7,-156.8040752,335.6081504,12.11170173,0.000451793
245,743.4588013,NA,NA,-0.000621493,NA,0.246427055,0.088396338,-0.517505103,0.853103131,7,-156.8277551,335.6555103,12.15906161,0.00044122
174,747.0763675,-0.517981347,NA,-0.000579952,0.243860173,NA,0.087634601,NA,0.883490059,7,-156.8685885,335.737177,12.24072834,0.000423567
189,745.5639409,NA,NA,-0.00054969,0.262313849,0.148147829,0.063323385,NA,0.896665223,7,-156.8925107,335.7850214,12.28857272,0.000413554
243,814.7925156,NA,-3.127333957,NA,NA,0.592488833,0.074512856,0.497820738,1.034461905,7,-156.9068036,335.8136071,12.31715845,0.000407685
219,820.4351491,NA,-3.04505383,NA,0.688601541,0.495782985,NA,0.798338342,1.098409751,7,-156.9213107,335.8426215,12.34617278,0.000401814
180,808.6362345,-0.304162166,-2.819627571,NA,NA,0.657056662,0.100216813,NA,1.023816936,7,-156.9843826,335.9687651,12.47231645,0.000377253
212,813.2136656,0.650288235,-3.045693472,NA,NA,0.496390015,NA,0.832119346,1.044878698,7,-157.0761649,336.1523297,12.65588107,0.00034417
228,813.2136938,0.674094411,-2.96174291,NA,NA,NA,0.061590114,0.590635166,1.027810854,7,-157.0870117,336.1740234,12.67757474,0.000340457
221,747.0879325,NA,NA,-0.000515694,0.260546299,0.303836183,NA,-0.046016497,0.912456379,7,-157.1099185,336.2198369,12.72338823,0.000332746
158,746.7677815,-0.076745068,NA,-0.000516353,0.232854671,0.33076686,NA,NA,0.910946845,7,-157.1103296,336.2206593,12.72421061,0.00033261
214,744.6578415,-0.302505242,NA,-0.000540886,NA,0.480864424,NA,-0.026275157,0.888778646,7,-157.1264628,336.2529255,12.75647684,0.000327287
206,749.6141634,0.35743175,NA,-0.000491341,0.448987445,NA,NA,-0.032487713,0.928920899,7,-157.1434588,336.2869176,12.79046897,0.000321771
249,750.4223298,NA,NA,NA,0.518563123,0.110137609,0.048981251,-0.072022018,1.036378318,7,-157.7608442,337.5216883,14.02523965,0.000173548
186,750.3956087,0.054250605,NA,NA,0.527194846,0.090562954,0.044253718,NA,1.038169261,7,-157.762501,337.525002,14.02855334,0.000173261
234,751.2984867,0.177047641,NA,NA,0.590068751,NA,0.044798878,-0.054117505,1.041330956,7,-157.7637981,337.5275962,14.03114751,0.000173036
218,751.937233,0.606593718,NA,NA,0.668079764,-0.049072167,NA,0.140722202,1.054303248,7,-157.8187179,337.6374358,14.14098714,0.000163789
242,745.5739501,-0.635850594,NA,NA,NA,0.442186829,0.065944565,-0.09325251,0.997276408,7,-157.8364063,337.6728125,14.17636383,0.000160918
191,814.1867779,NA,-2.924676453,-0.000500105,0.55405829,0.374193324,0.111891505,NA,0.955261881,8,-155.9173473,338.9116176,15.4151689,8.66E-05
184,800.9492554,-1.064901096,-2.580617939,-0.000590457,NA,0.784207618,0.136793671,NA,0.890661264,8,-155.9336069,338.9441369,15.4476882,8.52E-05
176,817.8679823,0.428807682,-2.932242642,-0.000467368,0.794299923,NA,0.105845289,NA,0.977313766,8,-155.9886163,339.0541557,15.55770705,8.07E-05
239,813.2238923,NA,-2.734290588,-0.000501959,0.69967974,NA,0.120828209,-0.041018015,0.958026095,8,-156.0126998,339.1023227,15.60587397,7.87E-05
247,803.4960293,NA,-2.692654054,-0.000542423,NA,0.524203763,0.108580036,-0.017197266,0.90234036,8,-156.0632305,339.2033841,15.70693542,7.49E-05
5,743.4455368,NA,NA,-0.001600897,NA,NA,NA,NA,NA,3,-165.994578,339.3224894,15.82604069,7.05E-05
208,827.7023356,1.466379105,-3.306729432,-0.000304907,1.020374492,NA,NA,0.629298592,1.053476612,8,-156.2520588,339.5810406,16.08459195,6.20E-05
232,796.3029768,-0.210673992,-2.228686468,-0.00057609,NA,NA,0.128684432,-0.109088496,0.88011295,8,-156.2635728,339.6040688,16.10762009,6.13E-05
160,814.2080555,1.317935978,-2.677269534,-0.000373322,0.954806751,0.047018554,NA,NA,1.021062862,8,-156.4140259,339.904975,16.40852627,5.27E-05
223,806.5912296,NA,-2.559157235,-0.00040678,0.482080862,0.529689851,NA,0.523453737,0.986739324,8,-156.4474701,339.9718633,16.47541459,5.10E-05
236,841.6872283,1.414006302,-3.863293341,NA,1.176848641,NA,0.041800234,0.655375554,1.132783122,8,-156.455051,339.9870251,16.49057646,5.06E-05
246,743.78331,-1.932347141,NA,-0.000747476,NA,0.752168012,0.162143051,-0.880000253,0.818919042,8,-156.4675423,340.0120076,16.51555897,5.00E-05
220,846.5260159,2.181518823,-3.954133354,NA,1.426480063,-0.31662302,NA,0.854466891,1.156495646,8,-156.4754984,340.0279198,16.53147114,4.96E-05
216,799.8593145,0.298444713,-2.482527199,-0.000433149,NA,0.572960388,NA,0.524003543,0.943028658,8,-156.5406148,340.1581527,16.66170399,4.64E-05
13,730.3434884,NA,NA,-0.001520032,-1.803754618,NA,NA,NA,NA,4,-164.9612536,340.2754485,16.77899977,4.38E-05
188,833.3392165,1.211014477,-3.424721941,NA,1.184333177,-0.050466137,0.072156259,NA,1.117736679,8,-156.6010759,340.2790748,16.7826261,4.37E-05
