"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","for_rem","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"431",-4823.52277064843,NA,0.0402850170669889,-0.000160847588635678,0.0596582349061904,NA,0.190211303954755,NA,0.131793499679651,1.06784130605951,8,-119.783582553431,267.567165106863,12.8369745856348,0.000278286348014827
"304",-4830.81380534241,0.0453459765293647,0.123265774739512,-0.000164491251786997,0.0597256787430713,NA,0.177645444765545,NA,NA,1.06523319462881,8,-119.896542376114,267.793084752228,13.0628942309997,0.000248561621769305
"414",-4853.43229946944,0.237770308395376,NA,-0.000150700549085891,0.0600010802068447,-0.0358669911647293,NA,NA,0.161395405511066,1.06010844841489,8,-120.011609506288,268.023219012576,13.2930284913484,0.000221544541496843
"400",-4852.13429663896,0.23495607226593,0.0454030817393449,-0.000153305567104403,0.0599792341920177,NA,NA,NA,0.143015630449924,1.05997102488962,8,-120.022047555152,268.044095110304,13.3139045890758,0.000219244075820603
"415",-4893.41432723441,NA,0.210791225327202,-0.000153313198040929,0.0603837987884188,-0.0748616805484221,NA,NA,0.144913763253247,1.06148947427861,8,-120.147888082719,268.295776165438,13.5655856442099,0.000193319659011043
"288",-4871.79499053601,0.209242826108458,0.182874212026594,-0.000157090641879293,0.0601651719022059,-0.0305816165538565,NA,NA,NA,1.05846950383591,8,-120.148031261444,268.296062522889,13.5658720016609,0.000193291981730093
"378",-4846.77012951009,-0.50222683227504,NA,NA,0.0598848100633445,-0.302220156207661,0.396961861797502,0.0389684824097801,NA,1.09321692551444,8,-120.494557660536,268.989115321072,14.2589247998442,0.000136684521183118
"505",-4866.67489076187,NA,NA,NA,0.0601074072704188,-0.200239982227239,0.220265140433309,0.0204072483455742,0.126200973617856,1.08807154956291,8,-120.719987171794,269.439974343588,14.7097838223605,0.000109097938160769
"379",-4858.00311949618,NA,0.0205003670533467,NA,0.0600200556249654,-0.180299479310273,0.211067063895337,0.0255046376546049,NA,1.0847480584733,8,-120.806915983409,269.613831966819,14.883641445591,0.000100014700724357
"442",-4882.71071473759,-0.0863266592621245,NA,NA,0.0602724543922579,-0.252360508431355,0.300726537470825,NA,0.242109672096885,1.09197697379245,8,-120.987290381787,269.974580763575,15.244390242347,8.35080290940589e-05
