"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"226",0.00172309870410162,-1.36330810529877e-06,NA,NA,NA,NA,-6.04157537781334e-08,-7.6364352633421e-07,-1.66688934680253e-06,6,-157.874826163474,333.749652326947,10.4337336961286,0.00119057817736261
"178",0.00171432180784108,-2.00511019479685e-06,NA,NA,NA,6.67617777149436e-07,-8.89096623572469e-08,NA,-1.62978991455234e-06,6,-157.874929499189,333.749858998378,10.4339403675592,0.00119045515447148
"202",0.00172721480726952,-1.73371696617719e-06,NA,NA,2.10757155053995e-07,NA,NA,-1.18859250577627e-06,-1.68852182975941e-06,6,-157.879056308369,333.758112616738,10.4421939859189,0.001185552496337
"154",0.00170271551523725,-3.65582238489148e-06,NA,NA,-6.57765625010761e-07,1.3505517596948e-06,NA,NA,-1.59428294051057e-06,6,-157.88163682032,333.76327364064,10.4473550098213,0.00118249710788016
"233",0.00172256284477897,NA,NA,NA,3.73543466686789e-07,NA,-1.01025306921766e-07,-8.21473937536099e-07,-1.66746662962476e-06,6,-157.881811324601,333.763622649202,10.4477040183833,0.0011822907750761
"170",0.00171611497987419,-1.16071895790603e-06,NA,NA,1.2871155753926e-07,NA,-1.08296262040912e-07,NA,-1.6355099081309e-06,6,-157.883938283313,333.767876566627,10.4519579358078,0.00117977876383073
"241",0.00171429925267022,NA,NA,NA,NA,2.10502737691296e-07,-1.0014126898599e-07,-7.00299393854678e-07,-1.63890566780277e-06,6,-157.885719894543,333.771439789086,10.4555211582676,0.00117767872801546
"185",0.00171100511922257,NA,NA,NA,2.20597392592085e-07,5.4252879030427e-08,-1.39204980547178e-07,NA,-1.62007629096436e-06,6,-157.892401845409,333.784803690817,10.4688850599984,0.00116983576893458
"217",0.00171780345464199,NA,NA,NA,3.53378620483413e-07,1.91985184365598e-08,NA,-1.44861127730928e-06,-1.66583274027873e-06,6,-157.904630570267,333.809261140535,10.4933425097162,0.00115561728334788
"15",0.00110756373317883,NA,1.13222472947829e-05,6.06315339288304e-10,-3.16429416074817e-06,NA,NA,NA,NA,5,-160.073056920384,334.146113840769,10.8301952099501,0.000976489086906576
"27",0.00110007704955174,NA,1.02357155366822e-05,NA,-3.33392752628639e-06,1.67363955003051e-06,NA,NA,NA,5,-160.182764824552,334.365529649104,11.0496110182857,0.00087502781144721
"43",0.0010864742999645,NA,1.16274347234139e-05,NA,-2.40400855471223e-06,NA,-1.33863122065293e-07,NA,NA,5,-160.22937789837,334.45875579674,11.1428371659217,0.000835176096431348
"75",0.00109774443486517,NA,1.04931678438191e-05,NA,-2.93206509480858e-06,NA,NA,1.31843993472537e-06,NA,5,-160.238782402932,334.477564805865,11.1616461750461,0.000827358496965817
"12",0.00108596129054376,-1.32948175033714e-06,1.14436828415014e-05,NA,-2.52024505610278e-06,NA,NA,NA,NA,5,-160.255293347561,334.510586695122,11.1946680643031,0.000813810182156219
"39",0.00113760550784597,NA,9.91404766029429e-06,5.2077813483293e-10,NA,NA,-1.71149789849648e-07,NA,NA,5,-160.328670765694,334.657341531388,11.3414229005692,0.000756233150844517
"71",0.00115563458237316,NA,8.41617603248735e-06,5.71281779478645e-10,NA,NA,NA,9.46400475358146e-07,NA,5,-160.379167203686,334.758334407372,11.4424157765533,0.000718994200216192
"8",0.00114022490633347,-9.50213688000528e-07,9.35149174613023e-06,5.02756394518428e-10,NA,NA,NA,NA,NA,5,-160.388523705855,334.777047411709,11.4611287808904,0.000712298303358217
"23",0.0011473547504356,NA,8.74759662353852e-06,4.961660706845e-10,NA,4.09058378252998e-07,NA,NA,NA,5,-160.392441285908,334.784882571815,11.4689639409966,0.000709513276577723
"51",0.00111792849708004,NA,9.8330012617188e-06,NA,NA,1.11165216239784e-06,-1.77238096624705e-07,NA,NA,5,-160.42678461026,334.853569220519,11.5376505897008,0.000685559905483006
"99",0.00112382175844158,NA,9.60433011383886e-06,NA,NA,NA,-2.05202156332779e-07,1.34571330184548e-06,NA,5,-160.432284200156,334.864568400312,11.5486497694937,0.000681799955721024
"20",0.00111793212226689,-2.9959210968173e-06,9.64118865766662e-06,NA,NA,1.8321174520771e-06,NA,NA,NA,5,-160.441748981196,334.883497962392,11.5675793315737,0.000675377310836905
"36",0.00111405419508621,-1.73255161284238e-07,1.01135192401424e-05,NA,NA,NA,-1.48501231753604e-07,NA,NA,5,-160.463082259376,334.926164518752,11.6102458879329,0.000661121896788237
"83",0.00112977153225265,NA,8.63751782077348e-06,NA,NA,7.29172930464792e-07,NA,3.8864092584807e-07,NA,5,-160.503073410405,335.006146820811,11.690228189992,0.000635204557307985
"68",0.00111922790385918,-1.23274095394216e-06,9.49958296778306e-06,NA,NA,NA,NA,3.66379574309435e-07,NA,5,-160.50322654371,335.00645308742,11.6905344566011,0.000635107293782401
"77",0.00130474982815245,NA,NA,9.09610352743912e-10,-2.51646931275627e-06,NA,NA,3.27993467316449e-06,NA,5,-160.593554550689,335.187109101377,11.8711904705586,0.000580254003200672
"29",0.00129369405689168,NA,NA,6.60269842366235e-10,-3.03154078088479e-06,2.37583129042177e-06,NA,NA,NA,5,-160.625890773679,335.251781547359,11.9358629165401,0.000561790902602567
"89",0.00126643324970883,NA,NA,NA,-3.49887237812394e-06,2.57485110787524e-06,NA,2.61225768491756e-06,NA,5,-160.643756011668,335.287512023337,11.9715933925181,0.000551843495398125
"101",0.00131219942138495,NA,NA,8.71753438584143e-10,NA,NA,-1.58601654546039e-07,3.35381606475796e-06,NA,5,-160.734034195205,335.468068390409,12.1521497595904,0.000504206698320035
"85",0.00129772660779719,NA,NA,7.15198275630543e-10,NA,1.26788005359169e-06,NA,2.17882959756642e-06,NA,5,-160.734782291787,335.469564583575,12.1536459527562,0.000503829644066018
"26",0.00127328519041568,-3.10058612217008e-06,NA,NA,-3.17694141639928e-06,3.66180899692345e-06,NA,NA,NA,5,-160.745364723411,335.490729446823,12.1748108160042,0.000498526013456786
"70",0.00130019066674331,1.36432582599965e-06,NA,8.06816255381286e-10,NA,NA,NA,2.35434202082686e-06,NA,5,-160.764333866645,335.528667733289,12.2127491024704,0.000489158529562827
"14",0.00129827672912524,1.59499902046525e-06,NA,7.49817919303186e-10,-1.68532658753809e-06,NA,NA,NA,NA,5,-160.802945381896,335.605890763792,12.2899721329733,0.000470631360288361
"57",0.00126910206702036,NA,NA,NA,-2.60633941238665e-06,2.46585919988776e-06,-1.66620194913255e-09,NA,NA,5,-160.810094321889,335.620188643779,12.3042700129599,0.000467278842686466
