,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
104,0.001523569,7.34E-05,2.80E-06,-1.16E-06,NA,NA,-0.0001169,-7.01E-05,NA,NA,7,-143.7172945,311.6164071,19.86086527,6.45E-06
80,0.001338684,0.000160053,1.24E-06,-1.18E-05,1.99E-06,NA,NA,0.000138444,NA,NA,7,-143.8474891,311.8767963,20.12125449,5.66E-06
110,0.001295997,4.39E-05,NA,-1.85E-05,2.25E-06,NA,-5.20E-05,7.78E-05,NA,NA,7,-143.8824752,311.9467686,20.19122675,5.47E-06
350,0.001523763,0.000229733,NA,-8.35E-06,-6.42E-07,2.73E-05,NA,-0.000197455,NA,-1.35E-06,8,-141.0489203,312.4978406,20.74229877,4.15E-06
344,0.001452564,0.000180878,-4.29E-07,-1.08E-05,NA,2.65E-05,NA,-0.000178937,NA,-1.39E-06,8,-141.0489764,312.4979528,20.74241098,4.15E-06
374,0.001397555,0.000181788,NA,-1.08E-05,NA,2.72E-05,-2.04E-05,-0.000178384,NA,-1.24E-06,8,-141.051732,312.503464,20.74792216,4.14E-06
470,0.001598052,0.000207306,NA,-9.38E-06,NA,2.43E-05,NA,-0.000151442,-7.36E-05,-1.33E-06,8,-141.0719837,312.5439673,20.78842546,4.06E-06
348,0.001510339,0.00021803,-3.37E-07,NA,-9.91E-07,2.81E-05,NA,-0.000215113,NA,-1.41E-06,8,-141.1141551,312.6283101,20.87276829,3.89E-06
474,0.001260539,0.000250532,NA,NA,-8.84E-07,2.81E-05,NA,-0.000192703,0.000183386,-1.42E-06,8,-141.1224404,312.6448807,20.88933887,3.86E-06
378,0.001515696,0.000234109,NA,NA,-8.80E-07,2.71E-05,-4.34E-06,-0.000193849,NA,-1.36E-06,8,-141.1259118,312.6518236,20.89628176,3.84E-06
468,0.001099948,0.000216861,-2.28E-07,NA,NA,2.62E-05,NA,-0.000142417,0.000239826,-1.45E-06,8,-141.1610116,312.7220232,20.96648136,3.71E-06
498,0.001081563,0.00021874,NA,NA,NA,2.63E-05,-9.08E-06,-0.000140731,0.000239495,-1.38E-06,8,-141.1637219,312.7274439,20.97190201,3.70E-06
372,0.00146294,0.000207639,-1.79E-07,NA,NA,2.41E-05,1.61E-07,-0.000134416,NA,-1.39E-06,8,-141.1681736,312.7363471,20.98080529,3.69E-06
414,0.001631736,0.000254479,NA,-8.26E-06,1.70E-07,2.30E-05,NA,NA,-0.000152931,-1.26E-06,8,-141.1756558,312.7513117,20.99576982,3.66E-06
318,0.001359733,0.000254089,NA,-8.31E-06,2.17E-07,2.49E-05,-7.40E-06,NA,NA,-1.24E-06,8,-141.1759893,312.7519787,20.99643681,3.66E-06
438,0.001579008,0.000261862,NA,-8.09E-06,NA,2.42E-05,-3.57E-06,NA,-0.000127947,-1.24E-06,8,-141.1772897,312.7545795,20.9990376,3.65E-06
288,0.001390758,0.000259121,-9.58E-08,-7.97E-06,1.70E-07,2.45E-05,NA,NA,NA,-1.30E-06,8,-141.177307,312.754614,20.99907212,3.65E-06
408,0.001595609,0.000261992,-6.19E-08,-8.03E-06,NA,2.40E-05,NA,NA,-0.000130504,-1.26E-06,8,-141.1773977,312.7547954,20.99925357,3.65E-06
312,0.001383083,0.000268148,-3.67E-08,-7.69E-06,NA,2.53E-05,-3.42E-06,NA,NA,-1.27E-06,8,-141.1792623,312.7585246,21.00298275,3.64E-06
375,0.001367413,NA,-5.67E-07,-1.36E-05,NA,2.55E-05,-3.10E-05,-0.000302614,NA,-1.30E-06,8,-141.2065944,312.8131888,21.05764696,3.55E-06
471,0.002099548,NA,-9.05E-07,-1.45E-05,NA,2.01E-05,NA,-0.000270969,-0.000417921,-1.40E-06,8,-141.211149,312.822298,21.06675611,3.53E-06
501,0.001798355,NA,NA,-1.37E-05,NA,2.25E-05,-4.49E-05,-0.000282389,-0.000296899,-1.10E-06,8,-141.2211472,312.8422944,21.08675255,3.50E-06
351,0.001496162,NA,-1.06E-06,-1.26E-05,-4.12E-07,2.43E-05,NA,-0.000327947,NA,-1.53E-06,8,-141.2258525,312.8517051,21.09616321,3.48E-06
381,0.001335966,NA,NA,-1.29E-05,-2.86E-08,2.52E-05,-5.01E-05,-0.000304281,NA,-1.14E-06,8,-141.2314385,312.8628771,21.10733521,3.46E-06
442,0.001350475,0.000290293,NA,NA,-1.12E-07,2.41E-05,6.02E-06,NA,6.26E-05,-1.37E-06,8,-141.2459074,312.8918149,21.13627301,3.41E-06
316,0.001452473,0.00028764,-3.23E-08,NA,-1.24E-07,2.35E-05,8.09E-06,NA,NA,-1.37E-06,8,-141.2463491,312.8926983,21.13715641,3.41E-06
436,0.001330214,0.00028369,-1.83E-08,NA,NA,2.38E-05,5.73E-06,NA,7.14E-05,-1.37E-06,8,-141.2468492,312.8936984,21.1381565,3.41E-06
412,0.001299827,0.000285965,5.61E-08,NA,-8.16E-08,2.45E-05,NA,NA,7.86E-05,-1.33E-06,8,-141.2471905,312.894381,21.13883909,3.41E-06
477,0.002456172,NA,NA,-1.26E-05,-2.27E-08,1.40E-05,NA,-0.000246548,-0.000608989,-1.26E-06,8,-141.3170164,313.0340329,21.27849101,3.18E-06
379,0.001413909,NA,-7.26E-07,NA,-7.84E-07,2.50E-05,-2.42E-05,-0.0003329,NA,-1.36E-06,8,-141.3375245,313.075049,21.31950718,3.11E-06
475,0.001786536,NA,-1.02E-06,NA,-8.65E-07,2.20E-05,NA,-0.000321059,-0.000191948,-1.48E-06,8,-141.3492462,313.0984923,21.34295048,3.08E-06
505,0.001538811,NA,NA,NA,-5.10E-07,2.26E-05,-4.49E-05,-0.000303833,-0.000109856,-1.16E-06,8,-141.3701962,313.1403924,21.38485058,3.01E-06
499,0.001497973,NA,-4.59E-07,NA,NA,2.15E-05,-2.84E-05,-0.000260331,-8.55E-05,-1.29E-06,8,-141.3716864,313.1433727,21.38783088,3.01E-06
486,0.003683517,0.000111399,NA,-9.50E-06,NA,NA,2.77E-05,-0.000103948,-0.001178966,-1.47E-06,8,-141.4363102,313.2726205,21.5170786,2.82E-06
430,0.003487341,0.00013475,NA,-9.82E-06,5.66E-07,NA,2.79E-05,NA,-0.00111899,-1.43E-06,8,-141.4612847,313.3225694,21.56702754,2.75E-06
462,0.003606283,4.48E-05,NA,-1.22E-05,4.76E-07,NA,NA,-0.000106813,-0.00121223,-1.33E-06,8,-141.4658872,313.3317743,21.57623248,2.74E-06
456,0.003733166,8.44E-05,3.33E-07,-1.00E-05,NA,NA,NA,-0.000121162,-0.001251107,-1.30E-06,8,-141.4685501,313.3371002,21.58155831,2.73E-06
445,0.002356915,NA,NA,-1.57E-05,1.21E-06,1.25E-05,-3.57E-05,NA,-0.000755387,-9.69E-07,8,-141.4717756,313.3435512,21.58800934,2.72E-06
400,0.00348101,0.000113751,4.24E-07,-1.07E-05,7.53E-07,NA,NA,NA,-0.001169435,-1.24E-06,8,-141.4813047,313.3626094,21.60706758,2.69E-06
493,0.003612577,NA,NA,-1.30E-05,4.88E-07,NA,4.42E-06,-0.0001421,-0.001234253,-1.32E-06,8,-141.4837087,313.3674174,21.6118755,2.69E-06
463,0.003618558,NA,-2.44E-08,-1.32E-05,5.10E-07,NA,NA,-0.000138382,-0.001241811,-1.31E-06,8,-141.4854123,313.3708246,21.61528276,2.68E-06
424,0.003589276,0.00016823,-1.06E-07,-7.98E-06,NA,NA,4.00E-05,NA,-0.001129064,-1.52E-06,8,-141.4857664,313.3715329,21.61599103,2.68E-06
487,0.003741114,NA,-4.72E-07,-1.23E-05,NA,NA,2.43E-05,-0.000173426,-0.001257073,-1.49E-06,8,-141.4864274,313.3728548,21.6173129,2.68E-06
415,0.002665216,NA,-5.23E-07,-1.55E-05,1.09E-06,9.23E-06,NA,NA,-0.000867309,-1.21E-06,8,-141.4927377,313.3854755,21.62993361,2.66E-06
490,0.003361146,0.000151161,NA,NA,-8.46E-08,NA,3.74E-05,-7.86E-05,-0.000938426,-1.60E-06,8,-141.525164,313.4503279,21.69478605,2.58E-06
484,0.003326846,0.000148722,-4.48E-08,NA,NA,NA,3.85E-05,-7.38E-05,-0.000921115,-1.61E-06,8,-141.5255366,313.4510731,21.69553128,2.58E-06
428,0.00326613,0.000184109,5.04E-08,NA,1.99E-07,NA,3.98E-05,NA,-0.000910938,-1.58E-06,8,-141.5495216,313.4990431,21.74350128,2.52E-06
319,0.001147233,NA,2.53E-08,-1.39E-05,1.41E-06,1.77E-05,-5.02E-05,NA,NA,-1.06E-06,8,-141.5544233,313.5088466,21.75330472,2.50E-06
460,0.003329166,0.000122012,5.41E-07,NA,1.30E-07,NA,NA,-8.41E-05,-0.000985773,-1.35E-06,8,-141.5630409,313.5260817,21.77053985,2.48E-06
431,0.003427013,NA,-1.55E-07,-1.46E-05,1.13E-06,NA,3.48E-06,NA,-0.001231759,-1.24E-06,8,-141.5712889,313.5425778,21.78703595,2.46E-06
439,0.002716276,NA,-4.55E-07,-1.23E-05,NA,1.15E-05,-1.50E-05,NA,-0.000928768,-1.08E-06,8,-141.6140176,313.6280352,21.87249331,2.36E-06
491,0.003338704,NA,-3.30E-07,NA,-5.59E-08,NA,1.86E-05,-0.000168431,-0.001007379,-1.51E-06,8,-141.6293285,313.658657,21.90311513,2.32E-06
366,0.002052293,0.000124661,NA,-5.47E-06,4.22E-07,NA,2.94E-05,-8.11E-05,NA,-1.88E-06,8,-141.6312052,313.6624103,21.90686848,2.32E-06
360,0.002139295,0.000130113,-4.24E-07,-4.97E-06,NA,NA,4.86E-05,-0.000100698,NA,-2.04E-06,8,-141.6331395,313.6662789,21.91073708,2.32E-06
304,0.002008686,0.000154446,-2.03E-07,-5.18E-06,6.11E-07,NA,4.01E-05,NA,NA,-1.91E-06,8,-141.6546282,313.7092564,21.95371452,2.27E-06
364,0.002105472,0.000151066,-2.44E-07,NA,1.17E-07,NA,4.68E-05,-7.64E-05,NA,-2.00E-06,8,-141.6611353,313.7222706,21.96672874,2.25E-06
336,0.001974025,9.71E-05,3.79E-07,-6.44E-06,6.72E-07,NA,NA,-8.60E-05,NA,-1.71E-06,8,-141.6635383,313.7270766,21.97153471,2.25E-06
443,0.002086499,NA,-1.07E-07,NA,8.17E-07,1.16E-05,-2.93E-05,NA,-0.000558119,-1.08E-06,8,-141.687654,313.775308,22.01976614,2.19E-06
367,0.001979487,NA,-3.93E-07,-8.63E-06,5.30E-07,NA,2.20E-05,-0.000155929,NA,-1.89E-06,8,-141.7106926,313.8213852,22.06584331,2.14E-06
184,0.001961179,0.000203104,1.49E-06,-1.38E-05,NA,2.97E-05,-0.000103436,NA,-0.000739211,NA,8,-141.7451598,313.8903196,22.13477771,2.07E-06
64,0.000704327,0.000184114,1.56E-06,-1.52E-05,8.34E-07,3.49E-05,-0.000126169,NA,NA,NA,8,-141.7723421,313.9446843,22.1891424,2.01E-06
120,0.000754318,0.000186158,1.39E-06,-1.42E-05,NA,3.84E-05,-0.00012112,-0.000100452,NA,NA,8,-141.8012895,314.0025791,22.24703721,1.96E-06
247,0.002164258,NA,1.04E-06,-1.49E-05,NA,2.65E-05,-0.000118339,-0.000174392,-0.000878021,NA,8,-141.8445624,314.0891248,22.33358294,1.87E-06
191,0.002117073,NA,1.24E-06,-1.74E-05,1.16E-06,2.13E-05,-0.000120926,NA,-0.000904807,NA,8,-141.8638187,314.1276375,22.37209562,1.84E-06
127,0.000683125,NA,1.30E-06,-1.57E-05,8.75E-07,3.25E-05,-0.000144742,-0.00014834,NA,NA,8,-141.914292,314.228584,22.47304218,1.75E-06
246,0.001802229,9.41E-05,NA,-1.80E-05,NA,3.38E-05,-9.09E-05,-0.000143138,-0.000685162,NA,8,-141.9260122,314.2520244,22.49648255,1.73E-06
244,0.00180978,0.00015333,1.61E-06,NA,NA,2.74E-05,-0.000116441,-3.04E-05,-0.000652361,NA,8,-141.9488018,314.2976035,22.54206167,1.69E-06
188,0.001806408,0.000167944,1.65E-06,NA,7.46E-08,2.71E-05,-0.000115019,NA,-0.000655164,NA,8,-141.9515191,314.3030383,22.54749641,1.68E-06
253,0.00202138,NA,NA,-1.80E-05,1.74E-07,3.01E-05,-0.000101025,-0.000170182,-0.000841366,NA,8,-141.9655335,314.331067,22.57552511,1.66E-06
190,0.001771029,0.000119827,NA,-1.89E-05,6.43E-07,3.12E-05,-8.61E-05,NA,-0.000711892,NA,8,-141.9758167,314.3516333,22.59609148,1.64E-06
126,0.000684108,0.00012909,NA,-1.79E-05,2.31E-07,4.05E-05,-0.000101753,-0.000150296,NA,NA,8,-142.0041886,314.4083772,22.65283537,1.60E-06
124,0.000700333,0.000159656,1.64E-06,NA,2.58E-07,3.39E-05,-0.0001323,-2.72E-05,NA,NA,8,-142.01437,314.42874,22.67319816,1.58E-06
251,0.001937104,NA,1.23E-06,NA,-1.05E-07,2.54E-05,-0.000128034,-0.000149655,-0.000751051,NA,8,-142.0434179,314.4868358,22.73129389,1.54E-06
176,0.004384065,4.88E-05,2.01E-06,-1.47E-05,9.18E-07,NA,-9.26E-05,NA,-0.002063018,NA,8,-142.1656546,314.7313091,22.97576725,1.36E-06
239,0.004212327,NA,1.85E-06,-1.61E-05,1.24E-06,NA,-9.72E-05,3.06E-05,-0.002013091,NA,8,-142.1758525,314.7517051,22.99616323,1.35E-06
250,0.00174676,5.85E-05,NA,NA,-6.46E-07,3.37E-05,-0.000103119,-0.000171874,-0.000679583,NA,8,-142.177434,314.7548681,22.99932624,1.34E-06
232,0.004808368,9.02E-05,2.07E-06,-1.16E-05,NA,NA,-8.35E-05,-2.31E-05,-0.00228137,NA,8,-142.2373021,314.8746042,23.11906237,1.27E-06
236,0.004175017,0.000106407,2.40E-06,NA,6.12E-07,NA,-9.62E-05,5.06E-05,-0.001930048,NA,8,-142.3506702,315.1013404,23.34579851,1.13E-06
216,0.002867004,0.000214177,7.18E-07,-1.58E-05,NA,1.96E-05,NA,-3.44E-05,-0.001170363,NA,8,-142.4061329,315.2122658,23.45672393,1.07E-06
160,0.002878306,0.000223282,7.87E-07,-1.54E-05,1.19E-07,1.89E-05,NA,NA,-0.001184995,NA,8,-142.4099845,315.219969,23.46442716,1.06E-06
222,0.002624702,0.0001893,NA,-1.87E-05,-3.15E-08,2.30E-05,NA,-9.24E-05,-0.001031628,NA,8,-142.461135,315.3222699,23.56672806,1.01E-06
238,0.004616612,-7.14E-05,NA,-2.11E-05,1.06E-06,NA,-5.67E-05,-2.90E-05,-0.002292797,NA,8,-142.5906675,315.581335,23.82579309,8.89E-07
223,0.003351413,NA,4.08E-07,-1.75E-05,1.22E-07,1.29E-05,NA,-0.000116967,-0.001518727,NA,8,-142.6036599,315.6073198,23.85177794,8.77E-07
208,0.00449224,0.000143411,1.27E-06,-1.50E-05,7.02E-07,NA,NA,5.92E-05,-0.00210273,NA,8,-142.627403,315.654806,23.89926417,8.57E-07
220,0.002919658,0.000220944,1.20E-06,NA,-4.85E-07,1.77E-05,NA,-1.48E-05,-0.001206603,NA,8,-142.6596946,315.7193893,23.96384743,8.29E-07
96,0.000992432,0.000282328,3.72E-07,-1.56E-05,-5.73E-08,3.19E-05,NA,-6.97E-05,NA,NA,8,-142.6670485,315.734097,23.97855512,8.23E-07
112,0.001161326,7.31E-05,3.19E-06,-9.90E-06,3.00E-06,NA,-0.000149381,0.000175579,NA,NA,8,-143.044997,316.4899939,24.73445209,5.64E-07
352,0.001488399,0.000196511,-4.90E-07,-9.91E-06,-7.19E-07,2.94E-05,NA,-0.000233299,NA,-1.40E-06,9,-141.0193832,320.0387665,28.28322463,9.57E-08
382,0.00144309,0.00020184,NA,-9.78E-06,-5.50E-07,2.90E-05,-1.73E-05,-0.000214048,NA,-1.26E-06,9,-141.0344983,320.0689966,28.31345479,9.42E-08
376,0.001414593,0.000174603,-2.89E-07,-1.11E-05,NA,2.73E-05,-1.10E-05,-0.000184507,NA,-1.31E-06,9,-141.0454582,320.0909164,28.33537459,9.32E-08
478,0.001571291,0.000227955,NA,-8.46E-06,-6.37E-07,2.70E-05,NA,-0.000196693,-3.18E-05,-1.34E-06,9,-141.0487961,320.0975922,28.34205034,9.29E-08
472,0.001451017,0.000180929,-4.29E-07,-1.08E-05,NA,2.65E-05,NA,-0.000178962,1.03E-06,-1.39E-06,9,-141.0489763,320.0979526,28.34241072,9.29E-08
502,0.001342211,0.000183091,NA,-1.07E-05,NA,2.76E-05,-2.08E-05,-0.00017964,3.56E-05,-1.24E-06,9,-141.0515867,320.1031735,28.34763163,9.26E-08
476,0.001115212,0.000228895,-3.92E-07,NA,-1.00E-06,3.04E-05,NA,-0.000223949,0.00026238,-1.48E-06,9,-141.1055566,320.2111132,28.45557135,8.78E-08
380,0.001547509,0.000226555,-4.61E-07,NA,-1.04E-06,2.77E-05,1.01E-05,-0.000212886,NA,-1.48E-06,9,-141.1114021,320.2228042,28.46726234,8.73E-08
506,0.00118046,0.00024061,NA,NA,-8.68E-07,2.90E-05,-7.03E-06,-0.000200659,0.000216007,-1.39E-06,9,-141.120305,320.24061,28.48506812,8.65E-08
500,0.001080075,0.000215217,-1.97E-07,NA,NA,2.64E-05,-2.68E-06,-0.000143995,0.000247086,-1.44E-06,9,-141.16082,320.32164,28.56609814,8.31E-08
446,0.001562695,0.000246997,NA,-8.74E-06,2.18E-07,2.38E-05,-6.15E-06,NA,-0.000130253,-1.22E-06,9,-141.1738603,320.3477206,28.59217878,8.20E-08
416,0.001602966,0.000250651,-7.59E-08,-8.49E-06,1.81E-07,2.33E-05,NA,NA,-0.000139665,-1.27E-06,9,-141.1748209,320.3496419,28.59410004,8.19E-08
320,0.001359845,0.000254086,-1.04E-09,-8.31E-06,2.17E-07,2.49E-05,-7.36E-06,NA,NA,-1.25E-06,9,-141.1759893,320.3519785,28.59643665,8.18E-08
440,0.001579747,0.000261443,-2.90E-08,-8.10E-06,NA,2.42E-05,-2.51E-06,NA,-0.000126726,-1.25E-06,9,-141.1772254,320.3544508,28.59890898,8.17E-08
503,0.00185297,NA,-5.91E-07,-1.44E-05,NA,2.29E-05,-2.45E-05,-0.000282678,-0.000310507,-1.26E-06,9,-141.1945141,320.3890282,28.63348634,8.03E-08
383,0.001388379,NA,-6.59E-07,-1.30E-05,-2.84E-07,2.63E-05,-2.83E-05,-0.000326723,NA,-1.32E-06,9,-141.2019746,320.4039492,28.64840736,7.97E-08
479,0.002083849,NA,-9.76E-07,-1.38E-05,-3.60E-07,2.16E-05,NA,-0.000302992,-0.000397679,-1.42E-06,9,-141.2033969,320.4067937,28.65125184,7.96E-08
509,0.001800521,NA,NA,-1.36E-05,-3.23E-08,2.26E-05,-4.50E-05,-0.000285216,-0.000297134,-1.10E-06,9,-141.2210795,320.442159,28.68661716,7.82E-08
444,0.001350996,0.000290267,-3.88E-08,NA,-1.19E-07,2.41E-05,7.48E-06,NA,6.46E-05,-1.38E-06,9,-141.245797,320.4915941,28.73605221,7.63E-08
507,0.001589208,NA,-7.28E-07,NA,-7.94E-07,2.41E-05,-2.22E-05,-0.000326651,-0.00011285,-1.35E-06,9,-141.3358828,320.6717656,28.91622379,6.97E-08
494,0.003608866,0.000102561,NA,-1.02E-05,2.82E-07,NA,2.49E-05,-8.91E-05,-0.001156993,-1.45E-06,9,-141.4310508,320.8621017,29.10655981,6.34E-08
488,0.003670635,0.000104686,-2.26E-07,-9.81E-06,NA,NA,3.52E-05,-0.000106547,-0.001161346,-1.54E-06,9,-141.4332939,320.8665877,29.11104588,6.32E-08
464,0.003591022,7.85E-05,3.12E-07,-1.11E-05,4.61E-07,NA,NA,-9.08E-05,-0.001194297,-1.29E-06,9,-141.453452,320.906904,29.15136212,6.20E-08
432,0.003486852,0.000134616,-1.11E-08,-9.83E-06,5.65E-07,NA,2.84E-05,NA,-0.001118065,-1.43E-06,9,-141.4612774,320.9225547,29.16701286,6.15E-08
447,0.002379514,NA,-1.27E-07,-1.58E-05,1.19E-06,1.24E-05,-3.07E-05,NA,-0.000761721,-1.01E-06,9,-141.4706132,320.9412264,29.18568459,6.09E-08
495,0.0036402,NA,-3.60E-07,-1.32E-05,3.95E-07,NA,1.86E-05,-0.000146102,-0.001226527,-1.44E-06,9,-141.4758271,320.9516542,29.19611231,6.06E-08
492,0.003359533,0.000149719,-7.35E-08,NA,-1.02E-07,NA,4.01E-05,-8.00E-05,-0.000932792,-1.62E-06,9,-141.5248685,321.0497369,29.29419509,5.77E-08
368,0.002082041,0.000122319,-3.04E-07,-5.66E-06,3.29E-07,NA,4.10E-05,-8.49E-05,NA,-1.97E-06,9,-141.6265149,321.2530299,29.49748799,5.21E-08
192,0.001763136,0.000167361,1.49E-06,-1.55E-05,5.86E-07,2.87E-05,-0.000111194,NA,-0.000631075,NA,9,-141.7157998,321.4315997,29.6760578,4.77E-08
248,0.001896542,0.00016533,1.38E-06,-1.48E-05,NA,3.04E-05,-0.000107947,-7.24E-05,-0.000688904,NA,9,-141.7262852,321.4525704,29.69702858,4.72E-08
128,0.000718992,0.000173407,1.52E-06,-1.54E-05,7.11E-07,3.54E-05,-0.000126584,-3.56E-05,NA,NA,9,-141.7693278,321.5386557,29.7831138,4.52E-08
255,0.002024044,NA,1.15E-06,-1.66E-05,5.94E-07,2.50E-05,-0.000122435,-0.000117857,-0.000808542,NA,9,-141.8245314,321.6490628,29.89352092,4.28E-08
254,0.001788793,9.29E-05,NA,-1.83E-05,8.78E-08,3.35E-05,-9.10E-05,-0.000135226,-0.000680047,NA,9,-141.9255363,321.8510727,30.09553081,3.87E-08
252,0.001828723,0.00015323,1.59E-06,NA,-6.13E-08,2.76E-05,-0.000115991,-3.62E-05,-0.000662127,NA,9,-141.9485883,321.8971765,30.14163465,3.78E-08
240,0.004251721,7.60E-05,2.08E-06,-1.49E-05,1.20E-06,NA,-9.11E-05,7.64E-05,-0.002008093,NA,9,-142.1501081,322.3002162,30.54467431,3.09E-08
224,0.002867079,0.000214666,7.19E-07,-1.57E-05,-3.79E-08,1.98E-05,NA,-3.78E-05,-0.001169173,NA,9,-142.4060471,322.8120943,31.05655243,2.39E-08
480,0.00139444,0.000199747,-5.00E-07,-9.72E-06,-7.30E-07,3.00E-05,NA,-0.000235547,6.27E-05,-1.42E-06,10,-141.0189022,329.5378044,37.78226252,8.28E-10
384,0.00148151,0.000195141,-4.67E-07,-9.98E-06,-7.07E-07,2.95E-05,-1.80E-06,-0.000233491,NA,-1.39E-06,10,-141.0192947,329.5385895,37.78304764,8.28E-10
510,0.001367658,0.000203695,NA,-9.66E-06,-5.53E-07,2.94E-05,-1.78E-05,-0.000215798,4.88E-05,-1.27E-06,10,-141.0342217,329.5684434,37.81290156,8.16E-10
504,0.001360408,0.000176018,-2.88E-07,-1.10E-05,NA,2.76E-05,-1.14E-05,-0.000185642,3.49E-05,-1.32E-06,10,-141.0453154,329.5906308,37.83508891,8.07E-10
508,0.001167769,0.000235513,-4.92E-07,NA,-1.05E-06,3.00E-05,8.33E-06,-0.00022173,0.000247968,-1.53E-06,10,-141.1037131,329.7074261,37.95188428,7.61E-10
448,0.001562473,0.00024701,3.61E-09,-8.74E-06,2.18E-07,2.38E-05,-6.29E-06,NA,-0.000130349,-1.22E-06,10,-141.1738593,329.8477187,38.09217683,7.09E-10
511,0.001869425,NA,-6.78E-07,-1.38E-05,-2.82E-07,2.38E-05,-2.22E-05,-0.000307197,-0.000308506,-1.28E-06,10,-141.1899254,329.8798509,38.124309,6.98E-10
496,0.003611071,9.86E-05,-1.71E-07,-1.04E-05,2.47E-07,NA,3.09E-05,-9.30E-05,-0.001148288,-1.50E-06,10,-141.4293897,330.3587794,38.60323751,5.49E-10
256,0.001769974,0.000158414,1.45E-06,-1.56E-05,4.71E-07,2.92E-05,-0.000111735,-3.12E-05,-0.000627588,NA,10,-141.7134332,330.9268665,39.17132461,4.14E-10
512,0.001379107,0.000198161,-4.71E-07,-9.79E-06,-7.15E-07,3.01E-05,-2.34E-06,-0.000235961,6.70E-05,-1.40E-06,11,-141.0187554,341.7517964,49.99625457,1.84E-12
