,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
43,0.001238723,NA,3.38E-06,NA,2.25E-06,NA,-0.000163232,NA,NA,NA,5,-143.2207483,301.0568812,9.301339336,0.001266693
83,0.000906404,NA,6.71E-07,NA,NA,2.26E-05,NA,-0.00017538,NA,NA,5,-143.3035809,301.2225464,9.467004533,0.001165998
89,0.00093122,NA,NA,NA,-6.77E-07,2.64E-05,NA,-0.000258082,NA,NA,5,-143.3183619,301.2521085,9.496566634,0.00114889
29,0.000852243,NA,NA,-1.62E-05,1.36E-06,1.83E-05,NA,NA,NA,NA,5,-143.3358334,301.2870515,9.53150962,0.001128991
338,0.001479429,0.000220628,NA,NA,NA,2.35E-05,NA,-0.000125224,NA,-1.38E-06,6,-141.1720201,301.3440402,9.588498358,0.001097275
278,0.001405772,0.000273537,NA,-7.32E-06,NA,2.47E-05,NA,NA,NA,-1.29E-06,6,-141.1806203,301.3612405,9.605698686,0.001087879
23,0.000862185,NA,9.51E-07,-9.08E-06,NA,1.94E-05,NA,NA,NA,NA,5,-143.4170633,301.4495112,9.693969369,0.001040909
306,0.001440988,0.000280548,NA,NA,NA,2.32E-05,5.96E-06,NA,NA,-1.36E-06,6,-141.2475312,301.4950625,9.739520632,0.00101747
402,0.001268051,0.000279569,NA,NA,NA,2.46E-05,NA,NA,9.37E-05,-1.34E-06,6,-141.2481527,301.4963054,9.740763571,0.001016838
276,0.0014177,0.000277769,7.25E-08,NA,NA,2.36E-05,NA,NA,NA,-1.32E-06,6,-141.248618,301.4972359,9.741694063,0.001016365
282,0.001411522,0.000278123,NA,NA,-8.52E-08,2.41E-05,NA,NA,NA,-1.32E-06,6,-141.2487939,301.4975877,9.742045865,0.001016186
27,0.000819373,NA,1.06E-06,NA,6.39E-07,1.81E-05,NA,NA,NA,NA,5,-143.4756751,301.5667348,9.811192895,0.000981653
341,0.001539793,NA,NA,-1.08E-05,NA,1.76E-05,NA,-0.00027296,NA,-1.39E-06,6,-141.3643871,301.7287742,9.973232351,0.000905257
369,0.00134331,NA,NA,NA,NA,2.18E-05,-4.53E-05,-0.000266263,NA,-1.18E-06,6,-141.3879979,301.7759957,10.02045388,0.000884133
339,0.00146703,NA,-8.50E-07,NA,NA,1.98E-05,NA,-0.000258182,NA,-1.51E-06,6,-141.3985486,301.7970972,10.04155538,0.000874854
465,0.002069571,NA,NA,NA,NA,1.33E-05,NA,-0.000229285,-0.000360858,-1.33E-06,6,-141.4700571,301.9401143,10.18457241,0.000814479
345,0.001549193,NA,NA,NA,-4.36E-07,1.70E-05,NA,-0.000282365,NA,-1.40E-06,6,-141.474854,301.9497081,10.1941662,0.000810581
453,0.003766465,NA,NA,-1.18E-05,NA,NA,NA,-0.000175971,-0.0013026,-1.32E-06,6,-141.5046762,302.0093524,10.2538105,0.000786765
36,0.001498742,0.000110717,2.90E-06,NA,NA,NA,-0.000114082,NA,NA,NA,5,-143.7352081,302.0858008,10.33025892,0.000757259
99,0.001480365,NA,2.76E-06,NA,NA,NA,-0.000124667,-0.00012535,NA,NA,5,-143.7399246,302.0952337,10.33969188,0.000753696
418,0.003324579,0.00019353,NA,NA,NA,NA,4.39E-05,NA,-0.000931509,-1.60E-06,6,-141.5527507,302.1055014,10.34995956,0.000749836
397,0.003413553,NA,NA,-1.45E-05,1.15E-06,NA,NA,NA,-0.001231959,-1.20E-06,6,-141.57344,302.14688,10.39133819,0.000734482
390,0.003661672,0.000101846,NA,-9.81E-06,NA,NA,NA,NA,-0.001264895,-1.28E-06,6,-141.5739999,302.1479997,10.39245788,0.000734071
450,0.003360224,6.50E-05,NA,NA,NA,NA,NA,-0.000120175,-0.001011507,-1.43E-06,6,-141.5975945,302.195189,10.43964716,0.000716954
388,0.00340739,0.000174338,7.07E-07,NA,NA,NA,NA,NA,-0.001057527,-1.28E-06,6,-141.6043498,302.2086996,10.45315776,0.000712127
39,0.00136127,NA,2.71E-06,-1.99E-07,NA,NA,-0.000114764,NA,NA,NA,5,-143.8274234,302.2702314,10.51468954,0.000690551
481,0.003327712,NA,NA,NA,NA,NA,6.02E-06,-0.000168419,-0.00102043,-1.41E-06,6,-141.6356583,302.2713167,10.51577482,0.000690176
457,0.003326472,NA,NA,NA,5.38E-08,NA,NA,-0.000163595,-0.001026546,-1.39E-06,6,-141.6384118,302.2768236,10.52128179,0.000688279
451,0.003347391,NA,-3.77E-09,NA,NA,NA,NA,-0.000167237,-0.001036478,-1.39E-06,6,-141.6386196,302.2772392,10.52169733,0.000688136
394,0.003169369,9.78E-05,NA,NA,4.83E-07,NA,NA,NA,-0.000954924,-1.38E-06,6,-141.6476303,302.2952606,10.53971877,0.000681963
354,0.002112466,0.000156092,NA,NA,NA,NA,3.88E-05,-8.53E-05,NA,-1.95E-06,6,-141.6669648,302.3339296,10.57838777,0.000668904
405,0.003063986,NA,NA,-1.16E-05,NA,6.46E-06,NA,NA,-0.001090204,-1.07E-06,6,-141.6717401,302.3434802,10.58793835,0.000665718
285,0.001397288,NA,NA,-1.12E-05,1.30E-06,1.02E-05,NA,NA,NA,-1.36E-06,6,-141.6728632,302.3457264,10.59018455,0.00066497
298,0.002027759,0.000181158,NA,NA,4.40E-07,NA,4.04E-05,NA,NA,-1.90E-06,6,-141.6859336,302.3718672,10.6163253,0.000656335
294,0.002085991,0.000194328,NA,-2.94E-06,NA,NA,4.21E-05,NA,NA,-1.92E-06,6,-141.6916309,302.3832617,10.62771986,0.000652607
292,0.002106835,0.000198214,-3.32E-07,NA,NA,NA,5.74E-05,NA,NA,-2.04E-06,6,-141.6967599,302.3935197,10.63797786,0.000649268
45,0.001320104,NA,NA,-1.75E-05,2.09E-06,NA,-5.72E-05,NA,NA,NA,5,-143.9010032,302.417391,10.66184912,0.000641565
391,0.003676167,NA,-1.94E-07,-1.15E-05,NA,NA,NA,NA,-0.001374892,-1.20E-06,6,-141.7127532,302.4255064,10.66996457,0.000638967
326,0.002062675,6.68E-05,NA,-5.95E-06,NA,NA,NA,-0.000147622,NA,-1.81E-06,6,-141.7173225,302.434645,10.67910318,0.000636054
421,0.003669122,NA,NA,-1.13E-05,NA,NA,-6.95E-07,NA,-0.00138105,-1.15E-06,6,-141.7197353,302.4394705,10.68392867,0.000634521
270,0.001875897,9.07E-05,NA,-7.86E-06,1.00E-06,NA,NA,NA,NA,-1.70E-06,6,-141.72172,302.4434399,10.68789805,0.000633263
333,0.001930969,NA,NA,-8.67E-06,7.01E-07,NA,NA,-0.000148912,NA,-1.75E-06,6,-141.7226777,302.4453554,10.68981355,0.000632657
324,0.002053225,0.000121382,5.00E-07,NA,NA,NA,NA,-0.000115173,NA,-1.74E-06,6,-141.7249193,302.4498386,10.69429677,0.00063124
409,0.002491994,NA,NA,NA,8.30E-07,5.89E-06,NA,NA,-0.00072439,-1.20E-06,6,-141.7320368,302.4640735,10.70853165,0.000626763
268,0.001918182,0.000153839,6.23E-07,NA,7.48E-07,NA,NA,NA,NA,-1.65E-06,6,-141.7320552,302.4641103,10.70856849,0.000626752
313,0.001185786,NA,NA,NA,1.00E-06,1.56E-05,-4.32E-05,NA,NA,-1.12E-06,6,-141.7324619,302.4649237,10.70938189,0.000626497
330,0.001981559,7.38E-05,NA,NA,3.72E-07,NA,NA,-0.000108047,NA,-1.79E-06,6,-141.7472785,302.494557,10.73901514,0.000617283
357,0.002023822,NA,NA,-6.71E-06,NA,NA,1.04E-05,-0.000198436,NA,-1.81E-06,6,-141.7510643,302.5021285,10.74658668,0.00061495
327,0.002023653,NA,-1.54E-08,-6.77E-06,NA,NA,NA,-0.000198085,NA,-1.80E-06,6,-141.7601974,302.5203948,10.76485298,0.000609359
403,0.002494813,NA,-5.92E-07,NA,NA,9.27E-06,NA,NA,-0.000741008,-1.25E-06,6,-141.7611828,302.5223657,10.76682381,0.000608759
433,0.002357136,NA,NA,NA,NA,1.16E-05,-3.27E-05,NA,-0.000730826,-9.80E-07,6,-141.7613966,302.5227933,10.76725141,0.000608629
279,0.001403714,NA,-8.18E-07,-9.08E-06,NA,1.40E-05,NA,NA,NA,-1.46E-06,6,-141.7681978,302.5363957,10.78085382,0.000604504
309,0.00121696,NA,NA,-8.45E-06,NA,1.75E-05,-4.31E-05,NA,NA,-1.08E-06,6,-141.7693183,302.5386366,10.78309476,0.000603827
