"","(Intercept)","agr_gdp.lag1","dev_agr.lag1","dev_env.lag1","fdi.lag1","for_rem","gdp.lag1","gdp_gr.lag1","pop_den.lag1","time","df","logLik","AICc","delta","weight"
"113",-6413.05378583967,NA,NA,NA,NA,0.0806924957167638,-7.7209774409819,56.224382973312,NA,NA,5,-133.10418782063,280.823760256644,82.2592879843376,7.748903924466e-19
"463",-254.786678531758,NA,-0.759463911914549,-0.180556412294229,-0.313139136948105,NA,NA,13.4820825761694,730.036722455836,1.07572712762788,8,-125.238549724218,280.877099448436,82.3126271761296,7.54497522336401e-19
"487",-98.3946195862577,NA,-0.73129352310049,-1.33541636149584,NA,NA,-3.33856697208811,20.4225962955976,680.986003660124,1.0167830563233,8,-125.292279216836,280.984558433672,82.4200861613649,7.150285712862e-19
"303",831.73103559334,NA,-0.468725129267645,-0.274883734717753,-0.356127000781711,NA,-3.83644306520879,NA,NA,1.26082009240146,7,-128.601937019514,281.385692220846,82.8212199485388,5.85084106182305e-19
"456",-308.042637446695,-31.0328150319117,-0.663485961065321,-0.961330427664778,NA,NA,NA,3.33507074272707,718.780823011927,1.13889911414765,8,-125.499956378816,281.399912757632,82.8354404853252,5.80938755895612e-19
"359",924.752504553971,NA,-0.618412921467266,-2.03436634046563,NA,NA,-6.94099776258698,23.8321621878364,NA,1.13323352449375,7,-128.625024876396,281.43186793461,82.8673956623033,5.71730514156912e-19
"83",-8040.10026331413,NA,-0.728418659521689,NA,NA,0.0959233692752583,NA,51.456146792707,NA,NA,5,-133.409323819686,281.434032254757,82.8695599824503,5.71112144869292e-19
"431",-153.772886731826,NA,-0.591626047333701,-0.135681345029766,-0.232280002952218,NA,-0.93930527727051,NA,664.650156372246,1.13219323131495,8,-125.531494397796,281.462988795592,82.8985165232851,5.62902999311666e-19
"332",640.346740935136,-54.5798073253668,-0.550437663871911,NA,-0.381316891226528,NA,NA,-4.92536144520649,NA,1.35209779023253,7,-128.679512431121,281.54084304406,82.9763707717536,5.41411813131445e-19
"272",651.462906291288,-50.3116756583369,-0.598641900282269,-0.0525639588342848,-0.412820588759505,NA,NA,NA,NA,1.33199758526426,7,-128.708249500181,281.598317182181,83.0338449098739,5.26074652452518e-19
"115",-5592.72842520892,NA,-0.815794195272711,NA,NA,0.0724002853025029,-8.48337493826851,71.7299462303556,NA,NA,6,-131.33177566274,281.66355132548,83.0990790531733,5.09192458370552e-19
"21",-8453.23827533755,NA,NA,5.28082770983195,NA,0.099960992594256,NA,NA,NA,NA,4,-135.45318635056,281.763515558263,83.1990432859562,4.84367511297436e-19
"85",-8604.66421363569,NA,NA,4.35864920147917,NA,0.101650110711657,NA,35.9271619198174,NA,NA,5,-133.917518921173,282.450422457731,83.8859501854246,3.43569867462708e-19
"328",586.155867480738,-69.0716355589988,-0.454281282856595,-1.28635731368573,NA,NA,NA,-13.6036582161069,NA,1.41770225054305,7,-129.266059629988,282.713937441795,84.1494651694881,3.01157383741973e-19
"82",-8887.60729714765,50.7085835942917,NA,NA,NA,0.105460459639018,NA,45.2771453358081,NA,NA,5,-134.198649454474,283.012683524333,84.448211252026,2.59371126372496e-19
"335",719.627954254111,NA,-0.619474322037094,-0.308973051521027,-0.510145318433095,NA,NA,5.38240896391561,NA,1.31664279016152,7,-129.422457558987,283.026733299792,84.4622610274855,2.57555458228599e-19
"365",870.064432951108,NA,NA,0.445645346323354,-0.322121729833622,NA,-5.56234618308939,8.82547033863752,NA,1.21067014644661,7,-129.427556763368,283.036931708554,84.4724594362468,2.56245473087237e-19
"19",-8168.77849804115,NA,-0.292226565889152,NA,NA,0.0971058423478483,NA,NA,NA,NA,4,-136.128469684609,283.114082226361,84.5496099540545,2.46548962697683e-19
"49",-7687.07695200315,NA,NA,NA,NA,0.0926328536143189,-2.47987273216197,NA,NA,NA,4,-136.153943343193,283.165029543529,84.6005572712226,2.40347777365884e-19
"25",-8602.48094769843,NA,NA,NA,0.145541207935103,0.101569501708085,NA,NA,NA,NA,4,-136.25070855083,283.358559958804,84.7940876864967,2.18180289961623e-19
"145",-8863.65985568979,NA,NA,NA,NA,0.10699603574873,NA,NA,-167.846261707397,NA,4,-136.266035404829,283.389213666801,84.8247413944947,2.14861768720448e-19
"364",870.43174398335,-64.8168674336731,-0.630370460438344,NA,-0.267859983019266,NA,-6.93206779868954,18.7509364174264,NA,1.10748036073153,8,-126.496141770864,283.392283541728,84.8278112694207,2.14532222323526e-19
"18",-8466.49767370152,10.6567751869314,NA,NA,NA,0.100352719435095,NA,NA,NA,NA,4,-136.288767301127,283.434677459398,84.8702051870907,2.10032648750477e-19
"334",591.663966065575,-63.4334342107547,NA,0.676477494287239,-0.270170827650199,NA,NA,-19.8879121186173,NA,1.43210282779504,7,-129.634507042902,283.450832267621,84.8863599953146,2.08342963492021e-19
"209",-9297.65976045767,NA,NA,NA,NA,0.113125159298066,NA,39.9514276967235,-262.4183512861,NA,5,-134.480032878674,283.575450372732,85.0109781004253,1.95757477271209e-19
"89",-8568.34769014628,NA,NA,NA,-0.0100824987011819,0.101360657461727,NA,39.2188248435636,NA,NA,5,-134.592609229802,283.800603074988,85.2361308026815,1.74915006898259e-19
"430",123.37876897203,-48.4599247474855,NA,0.833415430044459,-0.109726453936166,NA,-3.91123052302987,NA,463.422853869575,1.14449231459304,8,-126.729985228088,283.859970456175,85.2954981838684,1.69799187781892e-19
"490",110.388545052622,-49.0664897846343,NA,NA,-0.0679930279076995,NA,-3.69126890933476,-2.47840897208863,464.393814794854,1.17076076863434,8,-126.762887694073,283.925775388147,85.3613031158401,1.64303285943424e-19
"486",91.5915175306827,-53.0205420251721,NA,0.446585708452772,NA,NA,-3.84373403664307,-3.3913261626189,474.287485282289,1.1634004622311,8,-126.776851839863,283.953703679726,85.389231407419,1.62024875953007e-19
"117",-6549.8367885227,NA,NA,3.82566216660678,NA,0.081946163184832,-7.30666974364464,52.5046372574012,NA,NA,6,-132.502731200672,284.005462401344,85.4409901290374,1.57885568068818e-19
"360",848.199652287725,-75.281724860996,-0.570748884354089,-0.91163346719337,NA,NA,-7.37236917072169,14.367351061281,NA,1.13702124310729,8,-126.851082658678,284.102165317356,85.5376930450493,1.50433189177566e-19
"304",792.396015198337,-74.8077354574949,-0.47854953674496,0.077844277373483,-0.198489175500704,NA,-5.5330459180018,NA,NA,1.21488896932309,8,-126.880678454776,284.161356909552,85.5968846372454,1.4604623706475e-19
"241",-7429.10501466309,NA,NA,NA,NA,0.0984173952479754,-8.37731075388592,59.0727620864606,-439.777166490361,NA,6,-132.740359956253,284.480719912505,85.9162476401985,1.24492038033258e-19
"462",-179.32507711728,-37.809100292737,NA,0.816832063638875,-0.145013645620076,NA,NA,-12.0349858556157,598.212677044552,1.23815205424258,8,-127.254711516705,284.909423033411,86.344950761104,1.00473117270035e-19
"114",-6697.17760712831,20.7866675265383,NA,NA,NA,0.0838400927202681,-7.15624696346259,57.4974882504032,NA,NA,6,-133.03666703622,285.07333407244,86.5088618001335,9.25671828853333e-20
"84",-8333.75582869833,45.8433966857183,-0.705789213853873,NA,NA,0.099682794433578,NA,56.6398231613272,NA,NA,6,-133.046169189271,285.092338378543,86.5278661062359,9.16917611286735e-20
"493",-14.5488871431912,NA,NA,0.669500739738067,-0.192565907724333,NA,-2.58295093267111,2.50240599876947,580.357055861913,1.13674419964222,8,-127.390343626193,285.180687252385,86.6162149800786,8.77294890829641e-20
"121",-6445.55977567673,NA,NA,NA,0.0292105381015825,0.0810266874747947,-7.73975326952496,55.9779627452384,NA,NA,6,-133.10127617717,285.20255235434,86.638080082033,8.67756056616415e-20
"87",-8138.87615039778,NA,-0.616382738166567,2.90658932035446,NA,0.096884547219272,NA,47.4299007767621,NA,NA,6,-133.105968968116,285.211937936231,86.6474656639245,8.63693398908217e-20
"53",-7759.05758627056,NA,NA,5.24571307489228,NA,0.0932686830766469,-2.38723267302386,NA,NA,NA,5,-135.300365888686,285.216116392756,86.651644120449,8.61890829893993e-20
"23",-8320.85808518527,NA,-0.158665463260645,4.98304940856028,NA,0.0985950605154227,NA,NA,NA,NA,5,-135.399555061578,285.414494738541,86.8500224662338,7.80503670185464e-20
"29",-8300.71870414166,NA,NA,5.74667871462379,-0.117062918806804,0.0983960020210208,NA,NA,NA,NA,5,-135.421943824608,285.459272264601,86.8947999922947,7.6322332308559e-20
"149",-8836.37151791574,NA,NA,5.24716951594074,NA,0.106195425665075,NA,NA,-141.200697781397,NA,5,-135.423277303476,285.461939222337,86.8974669500298,7.62206259180323e-20
"22",-8448.50853961079,-0.874233504388713,NA,5.28999588583369,NA,0.0998984444691105,NA,NA,NA,NA,5,-135.45307156815,285.521527751685,86.9570554793778,7.39831853755515e-20
"91",-7696.14083220567,NA,-0.808222018991494,NA,-0.220096265694459,0.0924139105932283,NA,54.977872341603,NA,NA,6,-133.262749250964,285.525498501928,86.9610262296212,7.38364467137289e-20
"211",-7813.28934502489,NA,-0.754847489681728,NA,NA,0.0923569685787622,NA,51.6631049759615,75.9008374647306,NA,6,-133.40034655983,285.800693119659,87.2362208473525,6.4344737974636e-20
"367",943.297853288424,NA,-0.70474593192097,-0.388236797345424,-0.427515717713569,NA,-6.33092577207596,28.7749491899436,NA,1.08752372307865,8,-127.759652064974,285.919304129949,87.3548318576422,6.06396914804585e-20
"86",-8834.87959662072,38.5958528986868,NA,3.82352896273659,NA,0.104650277286261,NA,41.0059204178437,NA,NA,6,-133.685037040098,286.370074080196,87.805601807889,4.84031395558115e-20
"366",795.602729824198,-73.9537655156513,NA,0.739948673100718,-0.150497744745202,NA,-6.34057751256718,-0.223568532314107,NA,1.21940314881683,8,-128.011321891471,286.422643782942,87.8581715106354,4.71474453889342e-20
"119",-5747.14725090334,NA,-0.734451386486504,2.03121517034992,NA,0.0738927294303863,-8.1873818232894,68.2089077073487,NA,NA,7,-131.151452695544,286.484723572906,87.9202513005991,4.57064731422169e-20
"93",-8291.81435452053,NA,NA,5.29195168575626,-0.245748120048049,0.0984465378320926,NA,37.6666938350608,NA,NA,6,-133.758527138355,286.517054276711,87.9525820044038,4.49735518454254e-20
"123",-5301.16137402005,NA,-0.88687908181444,NA,-0.197774920910923,0.0694150346568525,-8.42268211689664,74.7494661204208,NA,NA,7,-131.18460832477,286.551034831357,87.9865625590506,4.42158933671738e-20
"51",-7531.98913380437,NA,-0.26977918172634,NA,NA,0.0909796100602479,-2.25400972174105,NA,NA,NA,5,-136.002782556609,286.620949728603,88.0564774562958,4.26969228942363e-20
"492",69.4484477340925,-34.4624965281105,-0.733111552683219,NA,-0.231611485917986,NA,-3.88789643160119,19.3613352817988,552.602705195984,1.01507324950604,9,-124.318382439523,286.636764879046,88.072292606739,4.23606251668887e-20
"213",-9240.30094554443,NA,NA,4.28271112045489,NA,0.111976203781644,NA,36.7216005278553,-233.024815754052,NA,6,-133.822258938803,286.644517877607,88.0800456052999,4.21967321048174e-20
"57",-7855.75357441172,NA,NA,NA,0.183013821807062,0.0943987983068702,-2.74142882744507,NA,NA,NA,5,-136.068697749377,286.752780114138,88.188307841831,3.99732972125345e-20
"116",-5751.004648045,10.9504470691503,-0.807242319649649,NA,NA,0.0741453703168563,-8.17788196668242,72.2380769500595,NA,NA,7,-131.309461911281,286.80074200438,88.2362697320732,3.90261024710743e-20
"177",-8202.8075852093,NA,NA,NA,NA,0.101381042469124,-2.66639489685039,NA,-209.890549871931,NA,5,-136.093244558802,286.801873732989,88.2374014606818,3.90040252396991e-20
"243",-5838.10732502615,NA,-0.784656074508201,NA,NA,0.0764511806338852,-8.59255519952676,71.7382267839054,-92.6549178117279,NA,7,-131.315506201416,286.81283058465,88.2483583123437,3.87909288297267e-20
"27",-8315.26892330566,NA,-0.270394212751109,NA,0.0962009625642236,0.0986044037112831,NA,NA,NA,NA,5,-136.105454923821,286.826294463026,88.2618221907195,3.85306676698513e-20
"20",-8199.69607458756,4.62257299398548,-0.285513915246396,NA,NA,0.0974969317635717,NA,NA,NA,NA,5,-136.125504252756,286.866393120896,88.3019208485894,3.77658463366837e-20
