"","(Intercept)","for_rem","prod_cass","prod_corn","prod_rub","prod_sug","time","df","logLik","AICc","delta","weight"
"47",760.741832553318,NA,0.488617929717017,-1.16371640363953,-1.22937648337032,NA,1.01137343790243,6,-157.389425206101,332.378850412203,67.1133160410425,1.39459681367879e-15
"63",772.465746712274,NA,-0.319951252505055,-1.22414147253613,-0.296625097417567,-0.191247006276992,1.01509809902222,7,-156.906390985783,335.812781971567,70.5472476004062,2.50483950934348e-16
"2",-3941.48932387343,0.0502559490473025,NA,NA,NA,NA,NA,3,-167.120215234369,341.573763802071,76.3082294309106,1.40539561842488e-17
"4",-3967.24859973628,0.0505660745070768,3.12833281742833,NA,NA,NA,NA,4,-166.453070734275,343.25908264502,77.9935482738598,6.05112686646964e-18
"10",-4207.81543376658,0.0530717010312359,NA,NA,1.31538916361505,NA,NA,4,-166.96841055295,344.28976228237,79.0242279112092,3.61432347750326e-18
"6",-4015.80081671836,0.051009782532207,NA,0.57737971999512,NA,NA,NA,4,-167.101192126744,344.555325429958,79.2897910587977,3.16490525889709e-18
"18",-3847.61416987182,0.0492858749660834,NA,NA,NA,-0.0436033058615291,NA,4,-167.105214204764,344.563369585998,79.2978352148375,3.15220132824644e-18
"1",748.975909090909,NA,NA,NA,NA,NA,NA,2,-169.973331865951,344.578242679271,79.3127083081103,3.12884678227652e-18
"3",752.061621665892,NA,3.03061056471511,NA,NA,NA,NA,3,-169.494246945824,346.321827224981,81.0562928538205,1.30848793653732e-18
"12",-4205.85710322749,0.0530879563459865,3.06012931023311,NA,1.18126519042137,NA,NA,5,-166.323450208059,346.396900416119,81.1313660449583,1.26028215454146e-18
"20",-4123.30632305617,0.0521827470981399,3.41490036731672,NA,NA,0.0713899662180087,NA,5,-166.416082778509,346.582165557019,81.3166311858584,1.14878292701532e-18
"8",-3883.7963374283,0.0497228186342326,3.34004587356286,-0.661945807367252,NA,NA,NA,5,-166.429651860279,346.609303720558,81.3437693493972,1.13330027776487e-18
"17",765.009124165035,NA,NA,NA,NA,-0.209522264110941,NA,3,-169.680800027788,346.694933388909,81.4293990177483,1.08580227929841e-18
"5",754.95721978057,NA,NA,-0.873184042286299,NA,NA,NA,3,-169.938444392832,347.210222118998,81.9446877478373,8.39184054118368e-19
"9",749.67139313395,NA,NA,NA,-0.259333032998441,NA,NA,3,-169.968502956455,347.270339246243,82.0048048750826,8.14334725356271e-19
"26",-4038.159044152,0.0513451950726931,NA,NA,1.8666532411166,-0.130645053346339,NA,5,-166.858260431763,347.466520863525,82.2009864923649,7.38248643632878e-19
"14",-4203.61295715814,0.0530308327960416,NA,-0.0646262101912265,1.33571431182657,NA,NA,5,-166.968205615549,347.686411231097,82.4208768599366,6.6138458890831e-19
"22",-3921.58182257966,0.0500360464854948,NA,0.581844002717729,NA,-0.0440298926767728,NA,5,-167.0858705809,347.9217411618,82.656206790639,5.87966829687804e-19
"7",768.014446713055,NA,3.74688599174292,-2.222412617599,NA,NA,NA,4,-169.283915819114,348.920772814698,83.6552384435377,3.56792616834209e-19
"19",761.651776157128,NA,2.50527694537304,NA,NA,-0.132314150211143,NA,4,-169.388202756824,349.129346690118,83.8638123189573,3.21458280486678e-19
"11",753.142285605737,NA,3.0549669859242,NA,-0.393712251551196,NA,NA,4,-169.482649660746,349.318240497963,84.0527061268024,2.92487188622113e-19
"25",766.0868773604,NA,NA,NA,0.920665043517951,-0.255872016332855,NA,4,-169.632715492927,349.618372162325,84.3528377911644,2.51729483802755e-19
"21",769.680014587704,NA,NA,-0.722851253380951,NA,-0.20585484825956,NA,4,-169.656349552518,349.665640281507,84.4001059103469,2.45849847695961e-19
"16",-4107.02714264686,0.0521321415243502,3.51842113324142,-1.51530932055529,1.63774807413761,NA,NA,6,-166.218376051379,350.036752102759,84.7712177315981,2.04213305697432e-19
"13",754.991954340727,NA,NA,-0.893275322789055,0.03836602793736,NA,NA,4,-169.938356891271,350.229654959013,84.9641205878529,1.85436709584328e-19
"28",-4214.54140529503,0.0531766702739626,3.08873497259228,NA,1.15173405518316,0.00670150251385486,NA,6,-166.323202450485,350.24640490097,84.9808705298099,1.83890167684523e-19
"24",-4044.7151109822,0.0513946134394645,3.7173118697149,-0.810261651375182,NA,0.0821674181190426,NA,6,-166.381703717843,350.363407435685,85.0978730645248,1.73440984971618e-19
"30",-4005.24217444574,0.0510212600919881,NA,-0.375971672168314,2.01241386509872,-0.137166199625359,NA,6,-166.851528371386,351.303056742772,86.037522371612,1.08420018419818e-19
"23",773.422015846289,NA,3.2785788840743,-1.9818984618092,NA,-0.0984271359788857,NA,5,-169.226727185962,352.203454371925,86.9379200007644,6.91179129291479e-20
"15",768.528922233563,NA,3.7937843904003,-2.44235188184889,0.387744233918938,NA,NA,5,-169.274532135977,352.299064271954,87.0335299007937,6.589146898179e-20
"27",762.182295122223,NA,2.40451830077608,NA,0.337846332205602,-0.152427808940691,NA,5,-169.382045626947,352.514091253893,87.2485568827328,5.91747829917619e-20
"29",776.217288936453,NA,NA,-1.46093836737558,1.51024794200372,-0.27814171263242,NA,5,-169.551982115399,352.853964230797,87.5884298596367,4.99268532709227e-20
"32",-4106.2439450642,0.0521241529581278,3.5160182431613,-1.51565135105516,1.640438530967,-0.000587163634799281,NA,7,-166.218374136567,354.436748273134,89.1712139019736,2.26275225783046e-20
"31",778.314954221709,NA,3.1306484359442,-2.49658701183642,1.16937736930414,-0.159245660836141,NA,6,-169.162676830392,355.925353660784,90.6598192896232,1.07495542083141e-20
