,(Intercept),armi,cpi,for_prod,for_rem,nfi,rice_med,time,df,logLik,AICc,delta,weight
118,747.2478615,-1.802167596,NA,-0.000507757,NA,0.234943211,0.357933263,0.913003858,7,-157.0778103,336.1556206,70.89008618,8.72E-17
116,814.0598454,2.134594365,-2.679978341,NA,NA,0.756677923,0.473139971,1.091592614,7,-157.1485642,336.2971283,71.03159396,8.12E-17
13,-3304.359238,NA,NA,-0.001442922,0.043376016,NA,NA,NA,4,-162.9740697,336.3010805,71.03554612,8.11E-17
31,-4390.131605,NA,2.943953764,-0.00129653,0.054053209,-2.634886838,NA,NA,6,-159.7900647,337.1801294,71.91459504,5.22E-17
61,-3844.728562,NA,NA,-0.001317913,0.048887391,-2.686381539,0.898107978,NA,6,-160.23312,338.0662399,72.80070554,3.35E-17
30,-3901.824294,3.450429108,NA,-0.001325562,0.049578567,-2.333904002,NA,NA,6,-160.5559658,338.7119317,73.44639732,2.43E-17
15,-3578.172222,NA,1.601641225,-0.001439505,0.045900633,NA,NA,NA,5,-162.7626637,339.2753274,74.00979302,1.83E-17
5,743.4455368,NA,NA,-0.001600897,NA,NA,NA,NA,3,-165.994578,339.3224894,74.056955,1.79E-17
14,-3372.551596,2.886281875,NA,-0.001448565,0.044091554,NA,NA,NA,5,-162.921355,339.5927101,74.32717568,1.56E-17
45,-3304.37459,NA,NA,-0.001442917,0.043376201,NA,-0.000257749,NA,5,-162.9740696,339.6981392,74.43260488,1.48E-17
25,-4484.622328,NA,NA,NA,0.055856845,-2.748859386,NA,NA,4,-164.8478998,340.0487409,74.78320649,1.24E-17
120,803.024108,1.971675259,-2.365034572,-0.000454309,NA,0.516605481,0.508102772,0.971617711,8,-156.5261899,340.1293029,74.8637685,1.20E-17
21,730.3434884,NA,NA,-0.001520032,NA,-1.803754618,NA,NA,4,-164.9612536,340.2754485,75.00991408,1.11E-17
63,-4331.509088,NA,2.553717437,-0.001298555,0.053465813,-2.824256499,0.566978345,NA,7,-159.6286744,341.2573488,75.99181447,6.80E-18
32,-4393.439626,-1.828717271,3.191153475,-0.001291404,0.054033586,-2.654126726,NA,NA,7,-159.7681716,341.5363431,76.27080876,5.92E-18
9,-3941.489324,NA,NA,NA,0.050255949,NA,NA,NA,3,-167.1202152,341.5737638,76.30822943,5.81E-18
27,-5105.171928,NA,3.255380724,NA,0.061646864,-3.088378663,NA,NA,5,-164.1341122,342.0182243,76.75268997,4.65E-18
37,742.5678781,NA,NA,-0.001602977,NA,NA,0.120518844,NA,4,-165.9893311,342.3316033,77.06606892,3.97E-18
6,743.571479,-0.256140765,NA,-0.001600165,NA,NA,NA,NA,4,-165.9942576,342.3414565,77.07592208,3.96E-18
7,742.2224173,NA,0.051258033,-0.001601082,NA,NA,NA,NA,4,-165.9944059,342.341753,77.07621858,3.95E-18
62,-3883.41752,1.64711801,NA,-0.001320888,0.049298745,-2.670758772,0.843927932,NA,7,-160.2126923,342.4253845,77.15985017,3.79E-18
57,-4511.626477,NA,NA,NA,0.056046111,-3.119957555,0.91192061,NA,5,-164.5567421,342.8634842,77.59794983,3.05E-18
47,-3634.136091,NA,1.834488918,-0.00143362,0.046461966,NA,-0.271249831,NA,6,-162.7315544,343.0631087,77.79757435,2.76E-18
16,-3578.534739,0.252945437,1.568804665,-0.00144007,0.045911582,NA,NA,NA,6,-162.7623417,343.1246834,77.85914899,2.67E-18
53,721.6376173,NA,NA,-0.001519256,NA,-2.148746546,0.851365703,NA,5,-164.7104932,343.1709863,77.90545197,2.61E-18
26,-4550.063439,2.578826629,NA,NA,0.05654378,-2.76043169,NA,NA,5,-164.8124296,343.3748593,78.10932489,2.36E-18
46,-3382.903926,3.092104307,NA,-0.001447137,0.044208596,NA,-0.092161123,NA,6,-162.9175749,343.4351498,78.16961547,2.29E-18
23,710.4913726,NA,0.810367586,-0.001519776,NA,-1.874670882,NA,NA,5,-164.9155742,343.5811484,78.31561399,2.13E-18
22,730.4047248,-0.122382631,NA,-0.001519689,NA,-1.803608415,NA,NA,5,-164.9611733,343.6723466,78.40681224,2.03E-18
11,-4229.263843,NA,1.692635281,NA,0.052906778,NA,NA,NA,4,-166.9585946,344.2701304,79.00459601,1.51E-18
10,-3985.638294,1.802759269,NA,NA,0.050719676,NA,NA,NA,4,-167.1061124,344.5651659,79.29963153,1.30E-18
1,748.9759091,NA,NA,NA,NA,NA,NA,NA,2,-169.9733319,344.5782427,79.31270831,1.29E-18
41,-3948.910943,NA,NA,NA,0.050346775,NA,-0.14611484,NA,4,-167.1132524,344.579446,79.31391165,1.29E-18
17,732.513508,NA,NA,NA,NA,-2.219060256,NA,NA,3,-168.8669506,345.0672346,79.80170018,1.01E-18
59,-5050.657302,NA,2.885902512,NA,0.061101265,-3.268570358,0.537488685,NA,6,-164.0366694,345.6733387,80.40780438,7.48E-19
38,742.7218259,-0.548433319,NA,-0.001601684,NA,NA,0.136408268,NA,5,-165.9879527,345.7259055,80.46037111,7.28E-19
39,743.6938146,NA,-0.049339115,-0.001602921,NA,NA,0.127576171,NA,5,-165.9891895,345.728379,80.46284462,7.27E-19
8,741.032422,-0.450605019,0.110412901,-0.001600008,NA,NA,NA,NA,5,-165.9936436,345.7372872,80.47175282,7.24E-19
28,-5106.112659,-3.575959663,3.736359031,NA,0.061549786,-3.122495329,NA,NA,6,-164.0774062,345.7548125,80.48927812,7.18E-19
64,-4331.67765,-2.614396043,2.876763021,-0.001291385,0.053392061,-2.866495013,0.611087945,NA,8,-159.5842061,346.2453353,80.97980094,5.62E-19
