,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,pop_den,time,df,logLik,AICc,delta,weight
222,190.8835035,-40.39728062,NA,1.179812011,0.043717363,-5.982876593,NA,488.5218731,1.094969415,8,-135.3397676,299.7704443,15.04856305,0.000114379
250,251.9444527,-41.82152961,NA,NA,0.060452444,-6.629980419,6.653292209,460.0140447,1.062939317,8,-135.3608169,299.8125429,15.0906616,0.000111997
142,685.8288044,-31.39920581,NA,2.749528955,-0.403341788,NA,NA,NA,1.07580374,6,-140.6851645,299.8318676,15.10998626,0.00011092
244,275.4740153,-41.52683162,0.012141898,NA,NA,-6.629874014,7.72016943,446.5396655,1.050544101,8,-135.3766246,299.8441584,15.12227708,0.00011024
220,182.1790262,-39.357538,0.030648761,NA,0.095080465,-6.049749192,NA,496.1231737,1.094420434,8,-135.4052544,299.9014178,15.17953655,0.000107129
173,716.4601381,NA,NA,2.653841323,-0.37377154,NA,-6.974042708,NA,1.172995068,6,-140.7653314,299.9922013,15.27031999,0.000102375
143,721.8813492,NA,0.070318428,2.712035687,-0.42689919,NA,NA,NA,1.129615824,6,-140.7843254,300.0301893,15.30830798,0.000100449
170,678.5606655,-29.76644109,NA,NA,-0.242651527,NA,-7.188699261,NA,1.116524386,6,-140.8765684,300.2146753,15.49279405,9.16E-05
247,99.76142807,NA,0.019054886,1.022202942,NA,-5.104196455,3.107885069,570.2191736,1.152591108,8,-135.5816918,300.2542926,15.53241135,8.98E-05
253,100.1530637,NA,NA,0.946668409,0.010559788,-5.147469726,3.391998725,570.5710751,1.15458813,8,-135.5842356,300.2593804,15.53749908,8.96E-05
223,68.89544489,NA,0.028001638,1.060260092,0.022617963,-4.872292331,NA,585.4221322,1.166648096,8,-135.5910355,300.2729801,15.5510988,8.90E-05
140,685.3467641,-28.57345348,0.051800123,NA,-0.294082682,NA,NA,NA,1.076738643,6,-140.9093532,300.2802449,15.55836357,8.86E-05
166,643.8804569,-38.82852527,NA,1.742209199,NA,NA,-14.60439211,NA,1.168051177,6,-140.9419999,300.3455382,15.62365688,8.58E-05
251,101.3686614,NA,0.004364161,NA,0.050505746,-5.276268274,3.999041584,571.9940104,1.152300053,8,-135.6303782,300.3516655,15.62978416,8.55E-05
171,712.9538486,NA,0.058748151,NA,-0.267610634,NA,-6.920645139,NA,1.167146205,6,-140.9690986,300.3997356,15.67785435,8.35E-05
164,649.7555532,-36.61648486,0.082350111,NA,NA,NA,-13.71352305,NA,1.151367626,6,-141.0144505,300.4904394,15.76855809,7.98E-05
167,686.248258,NA,0.084034913,1.588647018,NA,NA,-14.8707828,NA,1.239258955,6,-141.092911,300.6473604,15.92547914,7.38E-05
136,650.2659479,-36.2886097,0.052472903,1.293916401,NA,NA,NA,NA,1.104665151,6,-141.1410572,300.7436529,16.02177162,7.03E-05
190,950.6605309,-80.40592489,NA,1.259118761,-0.100677137,-9.881801531,16.11771177,NA,0.95225062,8,-136.2492984,301.5895059,16.86762456,4.61E-05
184,945.5270855,-82.84310593,0.013468836,0.955780612,NA,-10.04290647,14.56888562,NA,0.963821745,8,-136.2875859,301.6660809,16.94419956,4.43E-05
188,956.3593854,-79.36804826,-0.002056919,NA,-0.049386025,-10.05907914,17.1181851,NA,0.951282691,8,-136.3256194,301.7421478,17.02026651,4.27E-05
160,909.7785857,-81.82087165,0.06766824,1.713239209,-0.047870934,-8.978388231,NA,NA,1.016392994,8,-136.53048,302.1518691,17.42998783,3.48E-05
232,-403.0736704,2.447428808,0.08032422,1.774566777,NA,NA,-13.00785791,813.6338848,1.204647643,8,-136.6805222,302.4519535,17.73007217,2.99E-05
239,-403.8760797,NA,0.081780036,1.7790563,0.005342668,NA,-13.20451616,811.8805252,1.20102041,8,-136.6814662,302.4538414,17.73196014,2.99E-05
50,966.7076563,-221.2249633,NA,NA,NA,-14.28818379,55.76193995,NA,NA,5,-144.1266882,302.5390907,17.81720938,2.87E-05
238,-407.4562899,4.686166733,NA,1.573147356,0.010046272,NA,-11.6992188,818.7411747,1.212978776,8,-136.7280555,302.5470201,17.82513877,2.85E-05
236,-427.8370351,6.432683295,0.055612297,NA,0.078145636,NA,-12.019616,833.392077,1.212315619,8,-136.8188251,302.7285593,18.00667797,2.61E-05
208,-380.3918344,6.923882966,0.040321957,1.527143666,-0.072970123,NA,NA,807.1517647,1.154119221,8,-136.9009894,302.892888,18.17100666,2.40E-05
18,816.416039,-254.4828356,NA,NA,NA,-11.10401345,NA,NA,NA,4,-146.2579415,303.1825496,18.46066833,2.08E-05
191,1004.690293,NA,-0.018831281,0.972321244,-0.179152602,-8.686706601,16.61961982,NA,1.105488249,8,-137.3618282,303.8145655,19.09268423,1.51E-05
