,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
257,0.001708839,,,,,,,,,-1.54E-06,3,-149.4654124,306.4308249,0,0.117480628
273,0.001069787,,,,,2.25E-05,,,,-1.72E-06,4,-148.6316588,307.9299844,1.499159465,0.055517247
1,0.001365068,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-152.0571005,308.8200833,2.389258396,0.03557504
2,0.001987237,0.000389758,NA,NA,NA,NA,NA,NA,NA,NA,3,-150.7581788,309.0163575,2.585532622,0.032249648
289,0.001780251,NA,NA,NA,NA,NA,5.49E-05,NA,NA,-2.00E-06,4,-149.1966885,309.0600436,2.629218721,0.031552856
385,0.003091612,NA,NA,NA,NA,NA,NA,NA,-0.001027316,-1.29E-06,4,-149.2612948,309.1892563,2.75843143,0.029578796
259,0.001737196,NA,7.19E-07,NA,NA,NA,NA,NA,NA,-1.76E-06,4,-149.3603287,309.3873241,2.956499171,0.026789871
265,0.001642006,NA,NA,NA,1.04E-06,NA,NA,NA,NA,-1.43E-06,4,-149.3690557,309.4047781,2.973953214,0.026557092
321,0.001807981,NA,NA,NA,NA,NA,NA,-0.000100226,NA,-1.45E-06,4,-149.3889262,309.4445191,3.013694211,0.026034598
258,0.001605831,-0.000105724,NA,NA,NA,NA,NA,NA,NA,-1.83E-06,4,-149.4225028,309.5116723,3.080847438,0.025174957
261,0.001707908,NA,NA,1.31E-06,NA,NA,NA,NA,NA,-1.54E-06,4,-149.4626959,309.5920585,3.161233584,0.024183163
65,0.001768365,NA,NA,NA,NA,NA,NA,-0.000343074,NA,NA,3,-151.1577068,309.8154136,3.384588738,0.02162779
18,0.001364364,0.000450861,NA,NA,NA,2.38E-05,NA,NA,NA,NA,4,-149.8289185,310.3245036,3.89367876,0.016767359
129,0.003374972,NA,NA,NA,NA,NA,NA,NA,-0.00143706,NA,3,-151.4407412,310.3814825,3.950657573,0.016296407
9,0.001276165,NA,NA,NA,2.12E-06,NA,NA,NA,NA,NA,3,-151.5452712,310.5905423,4.159717442,0.014678953
33,0.001410542,NA,NA,NA,NA,NA,-7.54E-05,NA,NA,NA,3,-151.6774621,310.8549242,4.424099363,0.012861312
17,0.000989459,NA,NA,NA,NA,1.24E-05,NA,NA,NA,NA,3,-151.6928843,310.8857687,4.454943811,0.012664484
130,0.003625064,0.000353281,NA,NA,NA,NA,NA,NA,-0.001212662,NA,4,-150.3406248,311.3479163,4.917091427,0.010051559
337,0.001147523,NA,NA,NA,NA,2.32E-05,NA,-0.000104835,NA,-1.62E-06,5,-148.5325028,311.35072,4.919895093,0.010037478
3,0.001388709,NA,-8.17E-07,NA,NA,NA,NA,NA,NA,NA,3,-151.9286379,311.3572759,4.926451009,0.01000463
305,0.001155571,NA,NA,NA,NA,2.05E-05,2.24E-05,NA,NA,-1.90E-06,5,-148.5920095,311.4697332,5.038908312,0.009457606
275,0.001096721,NA,3.02E-07,NA,NA,2.19E-05,NA,NA,NA,-1.79E-06,5,-148.6130019,311.5117182,5.080893265,0.009261137
401,0.001445713,NA,NA,NA,NA,2.16E-05,NA,NA,-0.000259698,-1.65E-06,5,-148.616259,311.5182323,5.087407431,0.009231022
281,0.001065428,NA,NA,NA,2.89E-07,2.20E-05,NA,NA,NA,-1.68E-06,5,-148.6249895,311.5356934,5.10486849,0.009150781
274,0.001082455,3.38E-05,NA,NA,NA,2.31E-05,NA,NA,NA,-1.63E-06,5,-148.6268024,311.5393191,5.108494229,0.009134207
277,0.001068783,NA,NA,1.20E-06,NA,2.25E-05,NA,NA,NA,-1.72E-06,5,-148.629233,311.5441804,5.113355477,0.009112032
5,0.001361877,NA,NA,2.42E-06,NA,NA,NA,NA,NA,NA,3,-152.0480121,311.5960243,5.165199406,0.008878865
10,0.001854449,0.000346415,NA,NA,1.52E-06,NA,NA,NA,NA,NA,4,-150.5327856,311.732238,5.301413069,0.008294287
66,0.002088252,0.000312459,NA,NA,NA,NA,NA,-0.000190896,NA,NA,4,-150.5594206,311.7855079,5.354683011,0.008076285
81,0.001274365,NA,NA,NA,NA,1.70E-05,NA,-0.000360647,NA,NA,4,-150.5869938,311.8406543,5.409829377,0.007856638
97,0.00188652,NA,NA,NA,NA,NA,-8.65E-05,-0.000399198,NA,NA,4,-150.6524287,311.971524,5.540699114,0.007358999
417,0.003539861,NA,NA,NA,NA,NA,6.47E-05,NA,-0.001294444,-1.80E-06,5,-148.8832586,312.0522315,5.621406584,0.007067948
193,0.003598791,NA,NA,NA,NA,NA,NA,-0.000299231,-0.001345584,NA,4,-150.6975356,312.0617378,5.630912952,0.007034432
34,0.00195165,0.000361398,NA,NA,NA,NA,-1.61E-05,NA,NA,NA,4,-150.7396957,312.146058,5.715233127,0.006744025
4,0.001970064,0.00037439,-2.54E-07,NA,NA,NA,NA,NA,NA,NA,4,-150.7419702,312.1506071,5.719782207,0.006728703
6,0.002005298,0.000398485,NA,-3.13E-06,NA,NA,NA,NA,NA,NA,4,-150.7431673,312.1530013,5.722176425,0.006720652
49,0.000734481,NA,NA,NA,NA,2.31E-05,-0.000111918,NA,NA,NA,4,-150.7990036,312.2646739,5.833848985,0.00635568
67,0.001836226,NA,-1.16E-06,NA,NA,NA,NA,-0.00037225,NA,NA,4,-150.889153,312.4449726,6.014147691,0.005807787
387,0.003152955,NA,7.24E-07,NA,NA,NA,NA,NA,-0.001050574,-1.52E-06,5,-149.1500523,312.5858188,6.154993945,0.005412854
290,0.001695407,-8.45E-05,NA,NA,NA,NA,5.27E-05,NA,NA,-2.22E-06,5,-149.1687657,312.6232457,6.192420778,0.005312503
449,0.003215234,NA,NA,NA,NA,NA,NA,-0.000102695,-0.001041885,-1.22E-06,5,-149.179232,312.6441783,6.213353398,0.00525719
41,0.001317422,NA,NA,NA,2.35E-06,NA,-8.45E-05,NA,NA,NA,4,-150.9995552,312.6657771,6.234952179,0.005200721
297,0.001753349,NA,NA,NA,3.11E-07,NA,5.01E-05,NA,NA,-1.93E-06,5,-149.190201,312.6661162,6.23529133,0.00519984
353,0.001759634,NA,NA,NA,NA,NA,6.13E-05,3.14E-05,NA,-2.09E-06,5,-149.1911525,312.6680193,6.23719437,0.005194894
293,0.001784149,NA,NA,-1.77E-06,NA,NA,5.64E-05,NA,NA,-2.01E-06,5,-149.1912345,312.6681832,6.237358336,0.005194468
291,0.001779845,NA,9.32E-08,NA,NA,NA,5.22E-05,NA,NA,-2.01E-06,5,-149.1955556,312.6768256,6.246000687,0.005172071
386,0.003040801,-0.000123739,NA,NA,NA,NA,NA,NA,-0.001080379,-1.62E-06,5,-149.2046554,312.6950252,6.264200265,0.005125219
393,0.002879703,NA,NA,NA,6.90E-07,NA,NA,NA,-0.000902449,-1.26E-06,5,-149.2199706,312.7256555,6.294830603,0.005047324
161,0.003524517,NA,NA,NA,NA,NA,-6.63E-05,NA,-0.001515394,NA,4,-151.0446032,312.7558731,6.325048176,0.004971638
389,0.003123685,NA,NA,2.95E-06,NA,NA,NA,NA,-0.00105222,-1.30E-06,5,-149.249229,312.7841723,6.353347392,0.004901787
73,0.00165036,NA,NA,NA,1.01E-06,NA,NA,-0.000278848,NA,NA,4,-151.0725881,312.8118429,6.381018055,0.004834436
267,0.001675215,NA,5.79E-07,NA,8.58E-07,NA,NA,NA,NA,-1.62E-06,5,-149.2992163,312.884147,6.453322095,0.004662783
260,0.001616022,-0.000126954,7.94E-07,NA,NA,NA,NA,NA,NA,-2.13E-06,5,-149.3007748,312.8872639,6.456439039,0.004655521
266,0.001512372,-0.000126677,NA,NA,1.13E-06,NA,NA,NA,NA,-1.77E-06,5,-149.3092943,312.904303,6.473478075,0.004616027
322,0.001684168,-0.00013664,NA,NA,NA,NA,NA,-0.000111552,NA,-1.81E-06,5,-149.3202551,312.9262245,6.495399605,0.004565708
323,0.001786716,NA,5.55E-07,NA,NA,NA,NA,-5.74E-05,NA,-1.65E-06,5,-149.33976,312.9652343,6.534409458,0.004477517
69,0.001763803,NA,NA,1.52E-06,NA,NA,NA,-0.000340895,NA,NA,4,-151.1542771,312.9752208,6.544395905,0.004455216
329,0.001717735,NA,NA,NA,7.71E-07,NA,NA,-5.96E-05,NA,-1.41E-06,5,-149.3473939,312.9805021,6.549677204,0.004443467
137,0.002970263,NA,NA,NA,1.56E-06,NA,NA,NA,-0.001194461,NA,4,-151.1627458,312.9921582,6.561333333,0.004417645
263,0.001736081,NA,7.16E-07,1.11E-06,NA,NA,NA,NA,NA,-1.76E-06,5,-149.3582456,313.0022054,6.571380519,0.004395508
269,0.001638028,NA,NA,-1.80E-06,1.12E-06,NA,NA,NA,NA,-1.42E-06,5,-149.3646678,313.0150498,6.584224915,0.00436737
325,0.001808023,NA,NA,-1.10E-08,NA,NA,NA,-0.000100258,NA,-1.45E-06,5,-149.388926,313.0635664,6.632741465,0.0042627
262,0.001595098,-0.000115117,NA,2.45E-06,NA,NA,NA,NA,NA,-1.86E-06,5,-149.4134905,313.1126954,6.681870487,0.004159264
25,0.000973585,NA,NA,NA,1.90E-06,1.03E-05,NA,NA,NA,NA,4,-151.3063201,313.2793068,6.84848193,0.003826814
113,0.001122893,NA,NA,NA,NA,2.71E-05,-0.000121602,-0.000427824,NA,NA,5,-149.5223377,313.3303896,6.899564753,0.003730309
131,0.003329199,NA,-6.91E-07,NA,NA,NA,NA,NA,-0.001390031,NA,4,-151.3354456,313.3375579,6.906733064,0.003716963
145,0.002766795,NA,NA,NA,NA,5.77E-06,NA,NA,-0.001127061,NA,4,-151.3961572,313.4589811,7.028156223,0.003498014
50,0.001143113,0.000375132,NA,NA,NA,2.81E-05,-4.98E-05,NA,NA,NA,5,-149.6223603,313.5304349,7.099609973,0.003375247
133,0.003366286,NA,NA,2.18E-06,NA,NA,NA,NA,-0.001432902,NA,4,-151.4348077,313.536282,7.105457128,0.003365393
11,0.001298629,NA,-5.99E-07,NA,2.00E-06,NA,NA,NA,NA,NA,4,-151.4541444,313.5749555,7.144130643,0.003300943
82,0.001450232,0.000373608,NA,NA,NA,2.29E-05,NA,-0.000154681,NA,NA,5,-149.6918397,313.6693937,7.238568788,0.003148698
13,0.001274588,NA,NA,-5.17E-06,2.32E-06,NA,NA,NA,NA,NA,4,-151.5108077,313.6882821,7.257457223,0.003119101
19,0.001006257,NA,-9.65E-07,NA,NA,1.28E-05,NA,NA,NA,NA,4,-151.5361079,313.7388825,7.308057588,0.003041177
20,0.001325133,0.000434434,-4.94E-07,NA,NA,2.47E-05,NA,NA,NA,NA,5,-149.7726106,313.8309355,7.400110638,0.002904375
26,0.001342086,0.000425227,NA,NA,7.91E-07,2.21E-05,NA,NA,NA,NA,5,-149.7743739,313.8344621,7.40363722,0.002899258
22,0.0013822,0.000475401,NA,-5.72E-06,NA,2.48E-05,NA,NA,NA,NA,5,-149.7764098,313.8385339,7.407708995,0.002893361
146,0.001823025,0.000444661,NA,NA,NA,2.17E-05,NA,NA,-0.000289814,NA,5,-149.8066918,313.8990979,7.468273052,0.002807058
37,0.001406725,NA,NA,6.05E-06,NA,NA,-8.23E-05,NA,NA,NA,4,-151.6265811,313.9198289,7.48900405,0.002778112
35,0.001415571,NA,-3.45E-07,NA,NA,NA,-6.72E-05,NA,NA,NA,4,-151.6560665,313.9787996,7.547974732,0.002697394
21,0.000979437,NA,NA,3.34E-06,NA,1.26E-05,NA,NA,NA,NA,4,-151.6774049,314.0214765,7.590651586,0.002640446
7,0.001386569,NA,-8.01E-07,1.28E-06,NA,NA,NA,NA,NA,NA,4,-151.9261831,314.5190329,8.088208033,0.002058895
83,0.001265197,NA,-1.77E-06,NA,NA,2.12E-05,NA,-0.000416527,NA,NA,5,-150.1266584,314.5390311,8.108206252,0.00203841
194,0.003831645,0.000288578,NA,NA,NA,NA,NA,-0.000179957,-0.001282958,NA,5,-150.1272255,314.5401653,8.109340456,0.002037255
138,0.003352147,0.000326987,NA,NA,1.04E-06,NA,NA,NA,-0.001078713,NA,5,-150.2362315,314.7581774,8.327352482,0.001826857
225,0.003638313,NA,NA,NA,NA,NA,-7.03E-05,-0.000340972,-0.001308461,NA,5,-150.2534625,314.7926393,8.361814425,0.001795649
57,0.000735418,NA,NA,NA,1.95E-06,2.04E-05,-0.000113275,NA,NA,NA,5,-150.3225893,314.930893,8.500068095,0.001675714
162,0.003603682,0.000342229,NA,NA,NA,NA,-4.52E-06,NA,-0.001208036,NA,5,-150.3389851,314.9636846,8.532859696,0.001648463
134,0.003617683,0.000354358,NA,-9.85E-07,NA,NA,NA,NA,-0.001205226,NA,5,-150.3393354,314.964385,8.533560101,0.001647886
132,0.003617617,0.000351785,-2.05E-08,NA,NA,NA,NA,NA,-0.001208619,NA,5,-150.3405174,314.966749,8.53592413,0.00164594
98,0.002045006,0.00021298,NA,NA,NA,NA,-4.61E-05,-0.000265562,NA,NA,5,-150.4402674,315.1662492,8.735424286,0.00148968
195,0.00365115,NA,-1.09E-06,NA,NA,NA,NA,-0.000329643,-0.001334922,NA,5,-150.4442012,315.1741167,8.743291826,0.001483831
14,0.001866451,0.000354285,NA,-7.02E-06,1.75E-06,NA,NA,NA,NA,NA,5,-150.4627987,315.2113117,8.780486766,0.001456491
74,0.001954046,0.000308499,NA,NA,1.10E-06,NA,NA,-0.000121427,NA,NA,5,-150.4668393,315.2193929,8.788568026,0.001450618
68,0.002079501,0.00026244,-6.55E-07,NA,NA,NA,NA,-0.00023525,NA,NA,5,-150.4683701,315.2224545,8.791629662,0.001448399
42,0.001771987,0.000287878,NA,NA,1.67E-06,NA,-2.86E-05,NA,NA,NA,5,-150.4756952,315.2371048,8.806279899,0.001437828
12,0.001839986,0.000332606,-2.44E-07,NA,1.51E-06,NA,NA,NA,NA,NA,5,-150.515534,315.3167823,8.885957434,0.001381673
209,0.002225717,NA,NA,NA,NA,1.24E-05,NA,-0.000332692,-0.000604333,NA,5,-150.5226665,315.3310472,8.900222337,0.001371853
105,0.001732536,NA,NA,NA,1.24E-06,NA,-8.64E-05,-0.000312291,NA,NA,5,-150.5249985,315.3357112,8.904886355,0.001368657
70,0.002116753,0.00032551,NA,-3.63E-06,NA,NA,NA,-0.000193348,NA,NA,5,-150.5396704,315.365055,8.934230162,0.001348723
85,0.001275674,NA,NA,-7.59E-07,NA,1.71E-05,NA,-0.000362588,NA,NA,5,-150.5862637,315.4582416,9.027416712,0.001287323
89,0.001274587,NA,NA,NA,-6.27E-09,1.70E-05,NA,-0.000361082,NA,NA,5,-150.5869912,315.4596967,9.0288718,0.001286387
465,0.0015118,NA,NA,NA,NA,2.23E-05,NA,-0.000104529,-0.000249441,-1.56E-06,6,-148.5180349,315.4976082,9.066783302,0.001262232
345,0.001167897,NA,NA,NA,-4.15E-07,2.42E-05,NA,-0.000126389,NA,-1.65E-06,6,-148.5223242,315.5061868,9.075361901,0.00125683
341,0.001152122,NA,NA,-1.53E-06,NA,2.34E-05,NA,-0.000111888,NA,-1.61E-06,6,-148.5289759,315.5194903,9.088665415,0.001248497
338,0.001142212,-1.52E-05,NA,NA,NA,2.30E-05,NA,-0.000107522,NA,-1.66E-06,6,-148.5315755,315.5246895,9.093864644,0.001245256
339,0.001144985,NA,-7.59E-08,NA,NA,2.35E-05,NA,-0.000110759,NA,-1.59E-06,6,-148.5316648,315.524868,9.094043119,0.001245145
369,0.001146551,NA,NA,NA,NA,2.33E-05,-4.74E-07,-0.000105796,NA,-1.61E-06,6,-148.5324921,315.5265227,9.09569782,0.001244115
433,0.002030878,NA,NA,NA,NA,1.76E-05,3.56E-05,NA,-0.000573277,-1.87E-06,6,-148.5330167,315.5275719,9.096747002,0.001243463
101,0.001876022,NA,NA,3.86E-06,NA,NA,-8.91E-05,-0.000393277,NA,NA,5,-150.632592,315.5508983,9.120073419,0.001229044
306,0.001164839,2.76E-05,NA,NA,NA,2.11E-05,2.21E-05,NA,NA,-1.82E-06,6,-148.5887143,315.638967,9.208142127,0.001176098
307,0.001153511,NA,9.23E-08,NA,NA,2.06E-05,1.98E-05,NA,NA,-1.90E-06,6,-148.5907679,315.6430743,9.212249415,0.001173685
313,0.001153701,NA,NA,NA,2.89E-08,2.05E-05,2.21E-05,NA,NA,-1.89E-06,6,-148.5919536,315.6454457,9.214620766,0.001172295
309,0.001155825,NA,NA,-4.64E-08,NA,2.05E-05,2.25E-05,NA,NA,-1.90E-06,6,-148.5920058,315.64555,9.214725159,0.001172233
53,0.000695091,NA,NA,1.00E-05,NA,2.42E-05,-0.000123313,NA,NA,NA,5,-150.6806503,315.647015,9.216190066,0.001171375
403,0.001525457,NA,3.34E-07,NA,NA,2.07E-05,NA,NA,-0.000292615,-1.73E-06,6,-148.5938723,315.649283,9.218458109,0.001170048
201,0.003501308,NA,NA,NA,2.34E-07,NA,NA,-0.00028456,-0.001295225,NA,5,-150.6934393,315.6725929,9.241768063,0.00115649
197,0.003596448,NA,NA,2.50E-07,NA,NA,NA,-0.000298865,-0.001344452,NA,5,-150.6974605,315.6806353,9.249810429,0.001151849
283,0.001091536,NA,2.77E-07,NA,2.09E-07,2.15E-05,NA,NA,NA,-1.76E-06,6,-148.6096448,315.6808281,9.250003249,0.001151738
405,0.001480119,NA,NA,1.82E-06,NA,2.15E-05,NA,NA,-0.000284309,-1.65E-06,6,-148.6111236,315.6837856,9.252960677,0.001150036
276,0.001102915,2.01E-05,2.81E-07,NA,NA,2.23E-05,NA,NA,NA,-1.73E-06,6,-148.6113912,315.6843209,9.25349604,0.001149728
279,0.001095635,NA,2.94E-07,8.12E-07,NA,2.19E-05,NA,NA,NA,-1.79E-06,6,-148.6118529,315.6852443,9.254419369,0.001149197
409,0.001408254,NA,NA,NA,2.12E-07,2.13E-05,NA,NA,-0.000235706,-1.63E-06,6,-148.6127623,315.687063,9.256238082,0.001148153
402,0.001426523,2.44E-05,NA,NA,NA,2.21E-05,NA,NA,-0.000239767,-1.59E-06,6,-148.6138651,315.6892687,9.25844384,0.001146887
169,0.002904707,NA,NA,NA,1.77E-06,NA,-7.01E-05,NA,-0.001123564,NA,5,-150.7063599,315.6984342,9.267609299,0.001141643
282,0.001076312,2.66E-05,NA,NA,2.48E-07,2.26E-05,NA,NA,NA,-1.62E-06,6,-148.6221362,315.7058109,9.274986025,0.00113744
285,0.001065325,NA,NA,5.71E-07,2.60E-07,2.20E-05,NA,NA,NA,-1.69E-06,6,-148.6245127,315.7105638,9.279738905,0.001134741
278,0.001080232,2.92E-05,NA,7.49E-07,NA,2.30E-05,NA,NA,NA,-1.64E-06,6,-148.6259413,315.7134212,9.282596275,0.00113312
177,0.001730176,NA,NA,NA,NA,1.81E-05,-9.97E-05,NA,-0.000608712,NA,5,-150.7212678,315.7282499,9.297424965,0.00112475
8,0.001986735,0.000381975,-2.63E-07,-3.28E-06,NA,NA,NA,NA,NA,NA,5,-150.7258302,315.7373747,9.30654982,0.00111963
38,0.001971344,0.000373062,NA,-2.33E-06,NA,NA,-1.27E-05,NA,NA,NA,5,-150.7322947,315.7503037,9.3194788,0.001112416
51,0.000734664,NA,-3.57E-07,NA,NA,2.33E-05,-0.000104978,NA,NA,NA,5,-150.7771295,315.8399734,9.409148486,0.001063642
75,0.001744664,NA,-1.05E-06,NA,7.40E-07,NA,NA,-0.000323492,NA,NA,5,-150.842093,315.9699003,9.539075373,0.000996741
71,0.001837236,NA,-1.16E-06,-2.92E-07,NA,NA,NA,-0.000372706,NA,NA,5,-150.8890319,316.0637782,9.632953272,0.000951036
481,0.003608506,NA,NA,NA,NA,NA,8.27E-05,7.78E-05,-0.001381464,-2.02E-06,6,-148.8493951,316.1603287,9.72950378,0.000906215
418,0.003470902,-8.82E-05,NA,NA,NA,NA,6.18E-05,NA,-0.001311364,-2.01E-06,6,-148.8547998,316.1711381,9.740313252,0.000901331
425,0.003776701,NA,NA,NA,-5.68E-07,NA,7.45E-05,NA,-0.001432233,-1.92E-06,6,-148.8633973,316.1883331,9.757508212,0.000893615
421,0.00353733,NA,NA,-3.95E-07,NA,NA,6.49E-05,NA,-0.00129206,-1.80E-06,6,-148.8830207,316.2275799,9.796755057,0.00087625
419,0.003542264,NA,-3.15E-08,NA,NA,NA,6.56E-05,NA,-0.001296112,-1.80E-06,6,-148.8831219,316.2277823,9.796957454,0.000876161
45,0.001315579,NA,NA,-3.28E-06,2.47E-06,NA,-8.24E-05,NA,NA,NA,5,-150.9879324,316.2615792,9.830754289,0.00086148
165,0.003502659,NA,NA,5.42E-06,NA,NA,-7.03E-05,NA,-0.001503146,NA,5,-151.0105832,316.3068808,9.876055894,0.000842186
163,0.003504328,NA,-2.24E-07,NA,NA,NA,-6.08E-05,NA,-0.001498699,NA,5,-151.0341603,316.3540349,9.92321003,0.000822562
139,0.003022666,NA,-6.67E-07,NA,1.54E-06,NA,NA,NA,-0.001217473,NA,5,-151.047318,316.3803503,9.949525396,0.00081181
77,0.001644639,NA,NA,-1.82E-06,1.11E-06,NA,NA,-0.000275239,NA,NA,5,-151.0685545,316.4228233,9.991998401,0.000794752
153,0.002446522,NA,NA,NA,1.55E-06,4.92E-06,NA,NA,-0.000925979,NA,5,-151.1287811,316.5432764,10.11245153,0.000748299
141,0.00294061,NA,NA,-3.84E-06,1.70E-06,NA,NA,NA,-0.001173787,NA,5,-151.14687,316.5794543,10.14862944,0.000734885
27,0.000959066,NA,-8.76E-07,NA,1.85E-06,1.17E-05,NA,NA,NA,NA,5,-151.1507103,316.5871348,10.15630994,0.000732068
388,0.003033825,-0.0001241,7.41E-07,NA,NA,NA,NA,NA,-0.001052823,-1.86E-06,6,-149.0933859,316.6483103,10.21748538,0.000710015
450,0.003144364,-0.000150541,NA,NA,NA,NA,NA,-0.000111273,-0.001094653,-1.60E-06,6,-149.0990718,316.659682,10.22885716,0.000705989
451,0.003217571,NA,5.61E-07,NA,NA,NA,NA,-6.05E-05,-0.001058637,-1.42E-06,6,-149.1259807,316.7134998,10.28267489,0.000687245
395,0.003003542,NA,6.48E-07,NA,4.68E-07,NA,NA,NA,-0.000964443,-1.47E-06,6,-149.1324834,316.7265053,10.29568039,0.000682791
391,0.003187339,NA,7.24E-07,2.88E-06,NA,NA,NA,NA,-0.001077479,-1.52E-06,6,-149.1379474,316.7374332,10.30660833,0.00067907
394,0.002792197,-0.000136787,NA,NA,7.79E-07,NA,NA,NA,-0.000942065,-1.61E-06,6,-149.152314,316.7661664,10.33534155,0.000669384
298,0.001653213,-9.17E-05,NA,NA,4.00E-07,NA,4.63E-05,NA,NA,-2.14E-06,6,-149.1582326,316.7780036,10.3471787,0.000665434
292,0.001688088,-9.11E-05,1.86E-07,NA,NA,NA,4.74E-05,NA,NA,-2.24E-06,6,-149.1644831,316.7905047,10.35967986,0.000661288
294,0.001701637,-8.02E-05,NA,-9.38E-07,NA,NA,5.37E-05,NA,NA,-2.21E-06,6,-149.167349,316.7962365,10.36541163,0.000659395
354,0.001692049,-8.01E-05,NA,NA,NA,NA,5.53E-05,1.20E-05,NA,-2.24E-06,6,-149.1680008,316.79754,10.36671511,0.000658965
147,0.002588312,NA,-8.29E-07,NA,NA,7.33E-06,NA,NA,-0.001016061,NA,5,-151.2613469,316.8084081,10.37758324,0.000655394
457,0.003115148,NA,NA,NA,2.57E-07,NA,NA,-8.83E-05,-0.000990653,-1.21E-06,6,-149.1749651,316.8114686,10.38064372,0.000654392
453,0.003225773,NA,NA,1.53E-06,NA,NA,NA,-9.85E-05,-0.001053623,-1.22E-06,6,-149.1761605,316.8138594,10.38303448,0.00065361
301,0.001749108,NA,NA,-2.53E-06,4.22E-07,NA,5.06E-05,NA,NA,-1.92E-06,6,-149.1801013,316.821741,10.39091616,0.00065104
361,0.001716756,NA,NA,NA,4.11E-07,NA,5.73E-05,4.24E-05,NA,-2.03E-06,6,-149.1806677,316.8228739,10.39204903,0.000650671
390,0.003069,-0.000135731,NA,4.08E-06,NA,NA,NA,NA,-0.001111549,-1.66E-06,6,-149.1822266,316.8259917,10.39516681,0.000649658
357,0.001765267,NA,NA,-1.55E-06,NA,NA,6.19E-05,2.78E-05,NA,-2.09E-06,6,-149.1869068,316.8353521,10.40452719,0.000646624
299,0.00175193,NA,1.08E-07,NA,3.22E-07,NA,4.68E-05,NA,NA,-1.93E-06,6,-149.188636,316.8388105,10.4079856,0.000645507
355,0.00175742,NA,1.22E-07,NA,NA,NA,5.83E-05,3.38E-05,NA,-2.10E-06,6,-149.189251,316.8400405,10.40921566,0.00064511
295,0.001783687,NA,5.94E-08,-1.68E-06,NA,NA,5.46E-05,NA,NA,-2.02E-06,6,-149.1907909,316.8431202,10.4122953,0.000644117
29,0.000983697,NA,NA,-3.65E-06,2.05E-06,9.93E-06,NA,NA,NA,NA,5,-151.2905895,316.8668933,10.43606838,0.000636506
397,0.002901652,NA,NA,8.07E-07,6.49E-07,NA,NA,NA,-0.0009171,-1.26E-06,6,-149.2192193,316.899977,10.4691521,0.000626064
268,0.001537846,-0.000137662,6.34E-07,NA,9.24E-07,NA,NA,NA,NA,-2.01E-06,6,-149.2298175,316.9211735,10.49034864,0.000619464
135,0.003326628,NA,-6.81E-07,1.28E-06,NA,NA,NA,NA,-0.001389609,NA,5,-151.3334132,316.9525407,10.52171578,0.000609824
324,0.001660805,-0.000140173,5.87E-07,NA,NA,NA,NA,-6.90E-05,NA,-2.03E-06,6,-149.2682335,316.9980055,10.5671806,0.000596118
330,0.001589377,-0.000139678,NA,NA,7.93E-07,NA,NA,-7.08E-05,NA,-1.78E-06,6,-149.2760405,317.0136195,10.5827946,0.000591482
114,0.00123068,0.000215575,NA,NA,NA,2.83E-05,-8.02E-05,-0.000279405,NA,NA,6,-149.2782901,317.0181187,10.58729384,0.000590153
264,0.001605485,-0.000135682,7.94E-07,2.33E-06,NA,NA,NA,NA,NA,-2.16E-06,6,-149.2920462,317.0456308,10.61480589,0.00058209
271,0.001672037,NA,5.70E-07,-1.22E-06,9.18E-07,NA,NA,NA,NA,-1.61E-06,6,-149.2970434,317.0556252,10.62480028,0.000579189
331,0.00169532,NA,5.40E-07,NA,7.89E-07,NA,NA,-1.76E-05,NA,-1.60E-06,6,-149.2975929,317.0567242,10.62589932,0.000578871
149,0.002741234,NA,NA,2.56E-06,NA,5.92E-06,NA,NA,-0.001114385,NA,5,-151.3881031,317.0619205,10.63109565,0.000577369
270,0.001512646,-0.000124485,NA,-8.33E-07,1.16E-06,NA,NA,NA,NA,-1.76E-06,6,-149.3083849,317.0783083,10.6474834,0.000572657
15,0.001298819,NA,-6.51E-07,-6.51E-06,2.24E-06,NA,NA,NA,NA,NA,5,-151.4029025,317.0915193,10.66069437,0.000568887
326,0.001675874,-0.000140972,NA,1.27E-06,NA,NA,NA,-0.000108615,NA,-1.83E-06,6,-149.3179599,317.0974582,10.66663331,0.0005672
327,0.001785292,NA,5.58E-07,3.25E-07,NA,NA,NA,-5.62E-05,NA,-1.66E-06,6,-149.3395952,317.1407289,10.70990405,0.00055506
333,0.001714544,NA,NA,-1.87E-06,8.53E-07,NA,NA,-6.02E-05,NA,-1.39E-06,6,-149.3426969,317.1469323,10.71610746,0.000553341
23,0.000996398,NA,-9.47E-07,2.58E-06,NA,1.30E-05,NA,NA,NA,NA,5,-151.5272801,317.3402744,10.90944951,0.000502353
115,0.001113107,NA,-7.30E-07,NA,NA,2.80E-05,-0.000101917,-0.000434973,NA,NA,6,-149.449432,317.3604025,10.92957764,0.000497323
84,0.001404691,0.000308711,-1.11E-06,NA,NA,2.53E-05,NA,-0.000239047,NA,NA,6,-149.486951,317.4354405,11.00461565,0.00047901
241,0.000641408,NA,NA,NA,NA,3.00E-05,-0.000129117,-0.000445088,0.0002992,NA,6,-149.507051,317.4756405,11.04481562,0.000469478
