,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
412,0.001500154,8.31E-06,3.14E-07,NA,1.01E-07,2.08E-05,NA,NA,-0.000274923,-1.70E-06,8,-148.5926995,326.276308,19.84548315,5.76E-06
288,0.001096507,1.44E-05,2.64E-07,2.22E-07,1.80E-07,2.19E-05,NA,NA,NA,-1.72E-06,8,-148.6086424,326.3081938,19.87736894,5.67E-06
414,0.001438208,1.33E-05,NA,1.25E-06,1.23E-07,2.16E-05,NA,NA,-0.00025247,-1.61E-06,8,-148.609382,326.3096731,19.87884826,5.67E-06
490,0.003700302,-6.15E-05,NA,NA,-3.85E-07,NA,8.22E-05,5.48E-05,-0.001460328,-2.18E-06,8,-148.8259023,326.7427136,20.31188872,4.56E-06
486,0.003553699,-6.78E-05,NA,8.77E-07,NA,NA,7.72E-05,6.50E-05,-0.001387789,-2.14E-06,8,-148.8331087,326.7571264,20.32630152,4.53E-06
484,0.003545158,-6.61E-05,1.27E-08,NA,NA,NA,7.69E-05,6.26E-05,-0.001378142,-2.14E-06,8,-148.8342591,326.7594273,20.32860241,4.53E-06
493,0.003827346,NA,NA,1.62E-06,-5.21E-07,NA,8.95E-05,7.19E-05,-0.001507939,-2.11E-06,8,-148.8354017,326.7617126,20.33088768,4.52E-06
430,0.003721128,-8.23E-05,NA,1.65E-06,-5.71E-07,NA,7.06E-05,NA,-0.001456542,-2.10E-06,8,-148.8376395,326.7661881,20.33536318,4.51E-06
491,0.003777489,NA,-3.01E-08,NA,-4.32E-07,NA,8.87E-05,6.75E-05,-0.001472941,-2.08E-06,8,-148.8389072,326.7687235,20.33789863,4.50E-06
428,0.003686768,-7.80E-05,-4.45E-08,NA,-4.85E-07,NA,7.17E-05,NA,-0.001431225,-2.08E-06,8,-148.840841,326.772591,20.34176613,4.50E-06
487,0.003614198,NA,1.45E-08,5.82E-07,NA,NA,8.25E-05,8.02E-05,-0.001387458,-2.03E-06,8,-148.8488855,326.78868,20.35785513,4.46E-06
424,0.003471953,-8.93E-05,-2.69E-09,3.54E-07,NA,NA,6.15E-05,NA,-0.001313483,-2.01E-06,8,-148.854613,326.800135,20.36931013,4.43E-06
