"","year","commGIS","ForPix","khum_name","area","diffPix"
"199",2007,50202,0,"Kandaol Dom",9076838.77,0
"200",2007,141009,0,"Samraong",66413490.39,0
"201",2007,81106,0,"Kampong Samnanh",3500640.03,0
"202",2007,200414,36,"Sambatt Mean Chey",39327637.25,0
"203",2007,80124,0,"Spean Thma",7794998.41,0
"204",2007,140507,0,"Svay Chrum",85413082.19,0
"205",2007,81101,0,"Ta Kdol",2472351.17,0
"206",2007,50701,0,"Roleang Chak",24475849.01,0
"207",2007,120513,0,"Prateah Lang",8417629.44,0
"208",2007,81102,0,"Preaek Ruessei",2105434.2,0
"209",2007,141101,0,"Baray",30051006.43,0
"210",2007,80606,0,"Lvea Sa",10175639.69,0
"211",2007,80211,6,"Samraong Thum",96419930.7,0
"212",2007,50702,0,"Kahaeng",20962799.39,0
"213",2007,80604,0,"Kaoh Kaev",11368434.57,0
"214",2007,80126,0,"Tien",5160423.74,0
"215",2007,120512,0,"Krang Pongro",6959921.45,0
"216",2007,81011,15,"Setbou",17195373.08,0
"217",2007,80118,0,"Roleang Kaen",12813172.42,0
"218",2007,80117,0,"Roka",5836062.44,0
"219",2007,50205,0,"Svay Kravan",15578567.76,0
"220",2007,50611,3,"Tang Sya",55762266.24,0
"221",2007,80204,0,"Kampong Svay",55322889.2,0
"222",2007,81013,1,"Svay Rolum",17143646.33,0
"223",2007,80114,0,"Preaek Kampis",11171598.17,0
"224",2007,80106,0,"Daeum Rues",23443310.02,0
"225",2007,81002,0,"Kaoh Anlong Chen",8409431.84,0
"226",2007,81105,0,"Preaek Hour",10083261.91,0
"227",2007,50710,1,"Skuh",42977766.33,0
"228",2007,80105,0,"Cheung Kaeub",16113113.64,0
"229",2007,81009,15,"Roka Khpos",34522657.54,0
"230",2007,140504,2,"Prey Khnes",55360025.5,0
"231",2007,80102,0,"Anlong Romiet",5745906.66,0
"232",2007,50305,0,"Preah Nipean",31282343.2,0
"233",2007,90803,4391,"Ou Bak Roteh",457131710.5,0
"234",2007,50308,0,"Roka Kaoh",30379812.15,0
"235",2007,80110,0,"Kong Noy",3195351.13,0
"236",2007,50608,14,"Prey Rumduol",43266748.33,0
"237",2007,90302,0,"Kaoh Kapi",58451462.13,0
"238",2007,90302,0,"Kaoh Kapi",153422.51,0
"239",2007,80103,0,"Barku",7000818.8,0
"240",2007,50606,5,"Moha Sang",51054948.2,0
"241",2007,140708,0,"Prey Kandieng",44726426.34,0
"242",2007,80119,0,"Roluos",4479934.45,0
"243",2007,80612,0,"Sambuor",18970787.82,0
"244",2007,80127,0,"Trapeang Veaeng",12187710.27,0
"245",2007,80109,0,"Kouk Trab",6663774.91,0
"246",2007,140701,0,"Ba Baong",50464078.59,0
"247",2007,80108,0,"Thmei",6136700.11,0
"248",2007,80122,0,"Siem Reab",4712230.96,0
"249",2007,50712,41,"Thommoda Ar",53489098.22,0
"250",2007,81012,0,"Svay Prateal",33879637.25,0
"251",2007,200402,1,"Andoung Pou",26950356.31,0
"252",2007,50709,0,"Saen Dei",47760013.72,0
"253",2007,50601,416,"Chambak",82573221.79,0
"254",2007,140704,0,"Peam Mean Chey",34096508.81,0
"255",2007,80107,11,"Kandaok",23699065.99,0
"256",2007,141011,0,"Tuek Thla",37232535.28,0
"257",2007,200408,0,"Kampong Trach",51125747.93,0
"258",2007,80113,0,"Preah Putth",9781400.22,0
"259",2007,90301,1079,"Chrouy Pras",325864056,-14
"260",2007,90301,1079,"Chrouy Pras",105412875,0
"261",2007,200711,27,"Svay Rumpea",25810883.09,0
"262",2007,90602,224,"Chi Kha Kraom",71398024.11,8
"263",2007,140309,0,"Prasat",32069716.75,0
"264",2007,50103,0,"Nitean",29726780.63,0
"265",2007,200509,0,"Kouk Pring",27502419.54,0
"266",2007,50101,0,"Basedth",33300268.41,0
"267",2007,80403,4,"Kampong Kong",39926275.65,0
"268",2007,140307,0,"Kampong Trabaek",28761865.75,0
"269",2007,200706,1,"Prey Ta Ei",39817035.88,0
"270",2007,140610,0,"Svay Phluoh",35008223.5,0
"271",2007,80404,0,"Kaoh Thum Ka",8580271.54,0
"272",2007,210710,0,"Sla",20161810.66,0
"273",2007,50109,0,"Pou Mreal",49177601.91,0
"274",2007,50111,0,"Tuol Ampil",24904255.21,0
"275",2007,90202,2142,"Phnhi Meas",216498340.5,0
"276",2007,90202,2142,"Phnhi Meas",265792.21,0
"277",2007,90202,2142,"Phnhi Meas",136311.06,0
"278",2007,90202,2142,"Phnhi Meas",174024.16,0
"279",2007,140906,0,"Krang Svay",24793331.11,0
